time_s,H,S,V
0.041,154.40,11.80,69.01
0.092,154.10,11.64,68.95
0.146,155.94,11.73,68.99
0.206,155.13,11.81,68.97
0.259,154.72,11.93,69.03
0.311,154.72,11.93,69.03
0.364,154.78,11.76,69.01
0.414,155.65,11.83,68.97
0.463,154.40,11.87,69.00
0.513,155.30,11.82,68.99
0.563,156.18,12.02,69.03
0.613,154.51,11.84,69.00
0.672,155.91,11.86,68.92
0.725,156.42,12.02,68.91
0.778,154.21,11.78,68.90
0.830,155.39,11.82,68.93
0.883,156.92,11.99,69.17
0.935,155.97,11.70,69.35
0.986,155.86,11.69,69.51
1.038,157.06,11.79,69.62
1.094,156.71,11.62,69.53
1.149,156.90,11.81,69.46
1.221,156.56,11.80,69.47
1.293,158.11,11.83,69.47
1.361,156.61,11.82,69.47
1.414,157.18,11.78,69.48
1.470,156.94,11.80,69.41
1.521,156.99,11.79,69.51
1.572,156.46,11.67,69.41
1.623,157.00,11.85,69.39
1.676,156.85,11.80,69.23
1.730,153.96,11.68,69.15
1.780,156.24,11.81,69.24
1.830,157.61,11.79,69.34
1.881,155.64,11.74,69.24
1.934,155.81,11.68,69.19
1.987,155.11,11.75,69.10
2.039,156.01,11.74,69.08
2.088,154.91,11.73,69.07
2.138,155.25,11.81,69.10
2.189,155.66,11.85,69.10
2.239,154.31,11.68,69.04
2.287,156.07,11.67,69.18
2.339,155.46,11.71,69.09
2.389,153.21,11.70,69.14
2.441,154.31,11.76,69.14
2.493,154.85,11.77,69.15
2.544,154.10,11.69,69.17
2.595,155.13,11.66,69.12
2.648,154.67,11.84,69.17
2.699,155.99,11.69,69.17
2.751,155.30,11.67,69.13
2.804,155.18,11.86,69.23
2.857,154.89,11.76,69.24
2.906,156.21,11.66,69.20
2.960,155.23,11.74,69.27
3.013,155.74,11.70,69.24
3.065,155.21,11.72,69.24
3.118,153.87,11.59,69.23
3.168,156.18,11.74,69.28
3.223,155.47,11.83,69.28
3.277,154.90,11.71,69.30
3.329,154.49,11.62,69.25
3.384,155.22,11.83,69.34
3.437,154.90,11.67,69.28
3.489,155.43,11.80,69.33
3.538,154.12,11.65,69.35
3.590,155.03,11.56,69.33
3.640,155.15,11.78,69.44
3.692,154.07,11.61,69.42
3.743,154.43,11.55,69.45
3.792,154.49,11.52,69.39
3.842,154.92,11.46,69.45
3.894,154.86,11.63,69.45
3.949,154.76,11.63,69.46
4.001,154.60,11.50,69.39
4.052,156.31,11.76,69.48
4.103,156.31,11.76,69.48
4.169,154.17,11.75,69.48
4.222,155.65,11.64,69.40
4.280,155.05,11.53,69.39
4.332,154.16,11.69,69.36
4.384,154.91,11.69,69.37
4.435,154.15,11.64,69.38
4.487,155.07,11.66,69.41
4.538,156.41,11.78,69.33
4.589,155.74,11.84,69.18
4.641,154.97,11.87,69.18
4.693,153.60,11.51,69.42
4.742,154.76,11.52,69.40
4.796,155.04,11.56,69.41
4.848,154.65,11.63,69.41
4.897,154.17,11.53,69.42
4.950,154.48,11.46,69.35
5.003,154.73,11.72,69.46
5.054,155.12,11.65,69.45
5.124,154.93,11.62,69.40
5.179,153.21,11.61,69.42
5.235,153.89,11.56,69.39
5.290,154.26,11.79,69.48
5.340,153.55,11.41,69.40
5.388,154.58,11.69,69.48
5.459,153.86,11.66,69.51
5.510,153.37,11.53,69.47
5.561,154.91,11.52,69.44
5.611,153.97,11.58,69.50
5.660,153.96,11.56,69.48
5.709,153.85,11.54,69.44
5.758,153.76,11.69,69.51
5.836,153.90,11.61,69.46
5.926,154.39,11.57,69.47
5.988,155.44,11.61,69.56
6.067,154.35,11.56,69.43
6.148,153.98,11.57,69.52
6.230,153.56,11.63,69.51
6.307,153.81,11.59,69.51
6.385,153.12,11.54,69.51
6.464,154.51,11.59,69.53
6.541,153.76,11.60,69.54
6.618,154.70,11.58,69.58
6.698,155.13,11.73,69.64
6.777,153.10,11.52,69.55
6.857,154.58,11.51,69.60
6.936,154.13,11.54,69.56
7.017,152.17,11.41,69.59
7.093,154.07,11.53,69.60
