time_s,H,S,V
0.027,104.56,10.05,65.97
0.103,106.41,9.99,66.31
0.182,107.06,10.14,63.62
0.259,110.07,10.03,63.93
0.337,111.77,10.34,62.52
0.414,113.01,10.46,62.16
0.492,113.56,10.31,62.24
0.571,112.23,10.63,61.50
0.649,113.94,10.69,61.22
0.724,112.94,10.92,60.72
0.800,112.58,10.85,60.47
0.865,111.89,11.06,60.50
0.942,111.26,11.04,59.81
1.010,112.11,11.24,59.55
1.084,114.68,11.46,58.49
1.163,113.88,11.49,58.45
1.241,115.52,11.64,57.62
1.317,116.08,11.77,57.48
1.394,115.46,11.92,57.31
1.470,115.81,11.76,57.39
1.546,115.84,11.81,57.35
1.623,114.34,11.71,57.29
1.684,113.51,11.83,57.25
1.763,114.26,11.77,57.19
1.841,114.18,11.86,57.00
1.920,114.83,12.00,56.99
1.997,113.98,11.91,56.87
2.074,114.72,11.92,56.82
2.155,115.76,12.11,56.33
2.231,116.27,11.98,56.17
2.310,117.02,12.00,56.03
2.390,118.26,12.10,56.09
2.466,117.33,12.27,56.28
2.543,116.15,12.15,56.13
2.623,117.14,12.05,55.96
2.699,116.20,12.27,56.13
2.777,117.47,12.15,56.21
2.852,114.68,12.16,56.13
2.929,116.29,12.11,55.99
3.007,117.98,12.52,55.28
3.085,117.21,12.50,54.95
3.148,117.08,12.46,54.69
3.228,110.14,12.23,56.31
3.301,110.27,12.22,56.44
3.383,109.57,12.05,56.97
3.458,108.51,12.07,56.99
3.536,109.40,12.08,57.04
3.616,107.02,12.24,56.95
3.693,109.34,12.02,56.91
3.770,108.86,12.06,56.85
3.847,108.26,12.24,56.89
3.923,109.38,12.20,56.84
3.983,109.38,12.20,56.84
4.046,110.28,12.07,56.84
4.108,108.25,12.22,56.84
4.184,108.98,12.32,56.82
4.263,107.94,12.29,56.77
4.340,107.50,12.03,56.72
4.420,106.51,12.20,56.72
4.498,108.02,12.30,56.73
4.575,108.97,12.22,56.76
4.654,107.73,12.30,56.72
4.727,107.94,12.30,56.73
4.805,108.63,12.09,56.69
4.885,109.24,12.25,56.72
4.961,107.95,12.15,56.67
5.041,109.21,12.10,56.69
5.117,108.18,12.26,56.70
5.195,108.74,12.36,56.73
5.273,107.95,12.06,56.71
5.351,109.69,12.25,56.76
5.428,108.50,12.24,56.75
5.504,110.10,12.26,56.80
5.583,109.38,12.35,56.80
5.662,108.28,12.15,56.79
5.738,108.46,12.34,56.76
5.815,108.24,12.35,56.78
5.892,109.28,12.17,56.81
5.969,108.32,12.12,56.80
6.048,109.41,12.20,56.85
6.123,108.74,12.08,56.83
6.202,107.55,12.10,56.79
6.278,107.54,12.19,56.80
6.357,107.37,12.35,56.83
6.434,107.19,12.28,56.81
6.515,107.78,12.33,56.83
6.591,105.86,12.30,56.82
6.669,105.78,12.32,56.77
6.749,106.62,12.24,56.79
6.825,107.67,12.37,56.82
6.904,106.60,12.27,56.77
6.981,107.68,12.16,56.81
7.060,107.93,12.27,56.80
7.138,107.60,12.20,56.78
7.216,106.38,12.22,56.78
7.293,106.99,12.44,56.83
7.369,107.97,12.37,56.82
7.450,105.94,12.42,56.80
7.524,108.98,12.22,56.78
7.602,107.04,12.30,56.81
7.679,120.72,11.85,56.82
7.758,128.87,12.42,56.95
7.835,129.23,12.48,56.97
7.912,129.84,12.46,56.96
7.975,131.15,12.53,56.96
8.054,129.32,12.49,56.94
8.130,129.50,12.41,56.93
8.191,129.05,12.39,56.92
8.270,127.67,12.25,56.87
8.348,129.60,12.37,56.89
8.426,127.33,12.37,56.89
8.503,129.03,12.27,56.88
8.583,129.00,12.54,56.90
8.661,128.46,12.27,56.87
8.738,130.05,12.35,56.88
8.816,128.77,12.48,56.90
8.892,128.36,12.36,56.84
8.968,128.86,12.59,56.89
9.048,129.59,12.32,56.79
9.125,129.59,12.46,56.83
9.193,126.85,12.48,56.79
9.269,127.95,12.49,56.79
9.348,129.00,12.56,56.77
9.424,127.99,12.50,56.77
9.501,130.09,12.39,56.78
9.581,129.88,12.45,56.76
9.658,127.97,12.43,56.77
9.737,129.83,12.45,56.80
9.815,128.34,12.42,56.77
9.893,127.77,12.42,56.83
9.957,128.34,12.41,56.81
10.031,127.44,12.46,56.85
10.107,129.78,12.50,56.88
10.185,128.26,12.45,56.87
10.263,129.17,12.50,56.86
10.342,126.34,12.29,56.84
10.420,128.58,12.38,56.87
10.496,128.66,12.33,56.84
10.574,129.44,12.32,56.85
10.651,127.36,12.26,56.85
10.728,127.71,12.35,56.86
10.808,128.67,12.36,56.85
10.886,128.50,12.38,56.89
10.962,127.40,12.24,56.85
11.042,127.04,12.37,56.83
11.118,126.80,12.25,56.82
11.196,128.13,12.34,56.83
11.274,128.71,12.48,56.87
11.352,127.56,12.36,56.86
11.430,127.71,12.46,56.86
11.508,129.20,12.43,56.86
11.585,128.06,12.39,56.84
11.663,128.73,12.26,56.80
11.742,128.13,12.49,56.86
11.821,128.14,12.47,56.85
11.897,126.75,12.32,56.83
11.975,126.28,12.31,56.84
12.053,128.26,12.27,56.82
12.130,128.64,12.46,56.83
12.208,128.14,12.36,56.86
12.287,128.08,12.41,56.83
12.365,129.14,12.46,56.85
12.443,127.41,12.40,56.82
12.519,127.66,12.48,56.83
12.597,126.97,12.35,56.85
12.676,127.18,12.30,56.83
12.753,128.92,12.53,56.86
12.832,129.91,12.51,56.84
12.910,129.10,12.36,56.85
12.985,127.45,12.46,56.84
13.063,128.95,12.45,56.84
13.143,126.86,12.33,56.83
13.225,125.94,12.38,56.82
13.297,127.61,12.44,56.85
13.363,127.13,12.30,56.82
13.440,127.37,12.53,56.83
13.518,127.33,12.19,56.79
13.595,126.04,12.34,56.83
13.673,127.19,12.38,56.83
13.753,128.02,12.45,56.84
13.831,128.72,12.31,56.80
13.908,128.38,12.29,56.84
13.985,126.49,12.23,56.79
14.061,128.20,12.38,56.82
14.138,128.31,12.49,56.82
14.218,126.32,12.55,56.84
14.294,126.50,12.29,56.82
14.372,127.19,12.40,56.84
14.451,127.81,12.36,56.81
14.526,127.65,12.38,56.80
14.603,127.40,12.48,56.83
14.683,126.80,12.31,56.81
14.758,126.85,12.33,56.82
14.838,126.12,12.27,56.81
14.916,128.71,12.33,56.82
14.993,129.43,12.29,56.81
15.070,128.27,12.42,56.81
15.149,127.56,12.55,56.85
15.226,127.37,12.54,56.82
15.308,127.59,12.46,56.83
15.384,126.85,12.49,56.82
15.461,127.21,12.54,56.85
15.538,128.03,12.39,56.80
15.615,127.58,12.37,56.82
15.692,126.63,12.38,56.79
15.770,126.88,12.41,56.82
15.851,127.60,12.47,56.84
15.928,127.27,12.42,56.82
16.005,126.41,12.31,56.82
16.087,127.94,12.32,56.82
16.160,128.02,12.33,56.82
16.240,126.97,12.37,56.82
16.317,126.80,12.46,56.82
16.394,128.64,12.53,56.84
16.473,125.30,12.46,56.78
16.550,126.62,12.44,56.81
16.626,126.91,12.31,56.81
16.703,127.11,12.49,56.82
16.781,127.67,12.42,56.81
16.857,128.34,12.46,56.83
16.936,125.78,12.41,56.82
17.013,125.33,12.29,56.79
17.090,127.20,12.34,56.81
17.167,128.34,12.54,56.82
17.246,127.05,12.37,56.78
17.322,128.13,12.29,56.78
17.403,127.60,12.40,56.77
17.481,127.11,12.47,56.81
17.563,127.67,12.54,56.83
17.639,126.63,12.46,56.80
17.716,127.69,12.50,56.80
17.794,125.98,12.59,56.84
17.869,125.70,12.45,56.80
17.950,125.73,12.26,56.79
18.027,125.62,12.22,56.78
18.100,125.79,12.43,56.81
18.178,127.52,12.35,56.81
18.252,126.48,12.48,56.81
18.331,127.78,12.37,56.83
18.409,126.65,12.42,56.83
18.492,126.22,12.35,56.78
18.596,126.72,12.36,56.79
18.672,125.84,12.25,56.77
18.749,125.85,12.34,56.81
18.828,126.15,12.29,56.77
18.906,126.86,12.42,56.81
18.986,128.22,12.35,56.80
19.064,127.30,12.29,56.79
19.142,126.51,12.26,56.79
19.219,127.29,12.43,56.75
19.294,126.71,12.40,56.78
19.374,126.40,12.20,56.79
19.450,126.95,12.50,56.82
19.526,126.74,12.37,56.80
19.606,125.84,12.37,56.78
19.686,125.18,12.24,56.78
19.762,127.79,12.42,56.81
19.840,126.80,12.36,56.77
19.920,126.38,12.27,56.78
19.995,127.60,12.44,56.79
20.075,126.16,12.40,56.77
20.153,125.79,12.38,56.76
20.230,125.95,12.38,56.78
20.308,125.88,12.42,56.78
20.385,127.49,12.44,56.79
20.462,125.94,12.32,56.77
20.539,125.15,12.35,56.77
20.618,126.46,12.45,56.76
20.693,126.26,12.48,56.76
20.771,126.55,12.32,56.76
20.848,128.81,12.49,56.83
20.927,126.92,12.26,56.77
21.004,127.00,12.38,56.77
21.083,127.69,12.42,56.77
21.161,127.10,12.41,56.80
21.239,126.82,12.55,56.77
21.317,126.54,12.55,56.82
21.395,126.91,12.44,56.77
21.473,126.00,12.26,56.75
21.549,125.88,12.32,56.78
21.627,126.17,12.47,56.78
21.704,126.65,12.43,56.78
21.784,126.07,12.36,56.74
21.861,127.26,12.52,56.81
21.936,127.26,12.52,56.81
21.998,126.64,12.34,56.78
22.077,126.63,12.50,56.77
22.154,126.52,12.41,56.76
22.231,125.69,12.41,56.76
22.311,126.11,12.37,56.75
22.388,125.24,12.39,56.74
22.464,125.91,12.51,56.80
22.544,126.80,12.44,56.81
22.620,125.30,12.59,56.77
22.697,126.29,12.31,56.76
22.778,125.79,12.49,56.74
22.856,125.82,12.45,56.74
22.933,126.07,12.47,56.76
23.011,125.66,12.35,56.74
23.088,125.88,12.49,56.78
23.168,127.15,12.27,56.74
23.246,126.80,12.41,56.75
23.321,126.72,12.51,56.77
23.398,125.76,12.61,56.76
23.477,125.14,12.33,56.72
23.553,124.33,12.38,56.73
23.632,125.52,12.49,56.73
23.710,123.96,12.29,56.71
23.787,126.97,12.56,56.77
23.866,126.91,12.39,56.74
23.946,125.70,12.44,56.71
24.024,126.15,12.49,56.72
24.102,125.10,12.46,56.72
24.179,125.87,12.44,56.71
24.258,125.95,12.49,56.72
24.335,125.17,12.56,56.73
24.415,125.13,12.51,56.72
24.492,124.25,12.51,56.74
24.572,123.52,12.43,56.70
24.647,123.85,12.45,56.74
24.723,123.87,12.36,56.72
24.801,123.36,12.33,56.69
24.881,123.42,12.54,56.73
24.958,124.00,12.60,56.74
25.035,124.59,12.41,56.72
25.113,122.89,12.49,56.69
25.192,124.65,12.49,56.70
25.272,124.17,12.50,56.69
25.350,123.17,12.38,56.66
25.429,122.64,12.53,56.73
25.504,124.85,12.44,56.72
25.587,123.67,12.46,56.69
25.664,125.84,12.51,56.72
25.740,123.45,12.42,56.72
25.818,123.20,12.45,56.70
25.894,124.12,12.49,56.70
25.974,125.40,12.46,56.69
26.051,123.93,12.44,56.67
26.130,122.61,12.51,56.69
26.210,123.10,12.61,56.68
26.290,125.20,12.45,56.69
26.377,122.53,12.48,56.68
26.458,122.36,12.42,56.67
26.548,124.06,12.56,56.70
26.630,121.79,12.60,56.63
26.718,120.56,12.56,56.58
26.791,121.19,12.82,56.56
26.866,122.42,12.66,56.55
26.942,120.89,12.70,56.54
27.022,122.77,12.69,56.48
27.095,122.85,12.69,56.45
27.181,122.30,12.72,56.31
27.260,122.79,12.92,56.12
27.342,123.38,12.97,56.08
27.424,107.33,13.46,55.95
27.496,106.70,13.50,55.89
27.588,101.17,13.70,55.82
27.669,100.92,13.63,55.72
27.751,101.15,13.81,55.76
27.836,99.27,13.76,55.75
27.921,100.68,13.76,55.45
28.008,102.14,13.81,55.36
28.094,101.86,13.95,55.12
28.169,102.02,13.95,55.10
28.244,101.82,14.20,54.93
28.321,101.13,14.06,54.94
28.411,100.61,14.20,54.86
28.489,101.42,14.14,54.82
28.567,101.24,14.25,54.74
28.649,101.44,14.36,54.74
28.725,101.33,14.36,54.77
28.804,100.67,14.49,54.66
28.880,101.67,14.42,54.66
28.959,99.52,14.71,54.65
29.035,99.48,14.57,54.62
29.112,97.77,14.73,54.61
29.190,97.16,14.97,54.64
29.265,96.35,14.95,54.63
29.347,96.34,15.09,54.63
29.424,95.97,15.03,54.61
29.503,94.25,15.44,54.60
29.579,93.14,15.43,54.60
29.654,92.47,15.86,54.57
29.732,92.83,15.92,54.53
29.812,90.42,16.19,54.44
29.889,89.21,16.24,54.40
29.966,87.47,16.86,54.32
