time_s,H,S,V
0.012,146.95,10.37,62.50
0.101,145.38,10.20,62.60
0.197,144.67,10.22,62.77
0.288,145.27,10.23,62.61
0.381,145.52,10.01,62.92
0.473,145.36,10.13,62.81
0.550,146.28,10.21,62.66
0.628,146.36,10.24,62.79
0.720,144.89,10.21,62.93
0.795,144.07,10.17,62.91
0.875,144.52,10.13,62.91
0.951,144.17,10.09,62.92
1.030,144.97,10.10,62.83
1.123,145.14,10.15,62.84
1.218,143.27,10.10,62.79
1.309,144.04,10.14,62.84
1.401,141.70,9.87,63.16
1.483,137.82,9.59,63.91
1.573,136.40,9.62,64.11
1.664,136.86,9.50,64.10
1.744,138.12,9.58,64.12
1.836,137.21,9.63,64.08
1.928,136.00,9.50,64.07
2.006,136.64,9.61,64.07
2.085,137.39,9.59,64.09
2.176,137.22,9.59,64.06
2.239,136.92,9.60,64.04
2.329,136.77,9.52,64.02
2.407,137.48,9.54,64.03
2.483,137.62,9.61,64.03
2.561,138.28,9.58,64.05
2.639,137.02,9.51,64.01
2.701,137.34,9.60,64.05
2.780,136.18,9.55,64.03
2.842,136.25,9.58,64.03
2.936,137.46,9.60,64.07
3.016,137.45,9.51,64.10
3.106,137.25,9.53,64.14
3.185,136.63,9.57,64.12
3.248,136.09,9.62,64.15
3.341,135.58,9.59,64.16
3.436,137.25,9.58,64.18
3.529,137.24,9.57,64.17
3.620,135.33,9.55,64.19
3.697,136.99,9.51,64.16
3.774,135.94,9.61,64.19
3.853,136.11,9.51,64.18
3.946,135.43,9.47,64.19
4.024,135.60,9.58,64.19
4.102,135.17,9.58,64.19
4.179,137.20,9.61,64.19
4.242,137.04,9.57,64.18
4.320,137.42,9.58,64.17
4.397,136.57,9.56,64.17
4.473,136.13,9.58,64.17
4.552,136.51,9.67,64.17
4.630,136.63,9.60,64.15
4.709,135.89,9.58,64.03
4.805,140.04,9.99,63.23
4.898,140.94,9.95,62.91
4.991,142.03,10.14,62.85
5.067,143.27,10.26,62.69
5.144,144.64,10.27,62.70
5.220,143.35,10.18,62.74
5.299,143.20,10.12,62.73
5.375,144.42,10.22,62.78
5.454,142.31,10.13,62.84
5.532,143.24,10.12,62.79
5.610,143.69,10.27,62.84
5.703,143.47,10.16,62.83
5.798,141.96,10.09,62.86
5.891,141.52,10.05,62.88
5.952,143.83,10.09,62.87
6.030,143.65,10.18,62.89
6.108,142.12,10.16,62.97
6.172,142.45,10.03,62.94
6.253,143.82,10.12,62.98
6.343,141.75,10.07,62.94
6.419,142.28,10.08,62.94
6.514,143.18,10.05,62.92
6.607,142.42,10.10,62.94
6.684,141.94,10.19,62.96
6.763,141.34,10.03,62.93
6.840,141.49,10.09,62.94
6.920,141.63,10.08,62.95
7.011,142.82,10.07,62.91
7.089,142.04,10.03,62.91
7.167,141.93,10.12,62.93
7.228,142.43,10.02,62.92
7.307,141.79,10.14,62.92
7.385,142.47,10.05,62.89
7.449,141.51,10.09,62.91
7.527,141.00,10.01,62.89
7.606,140.97,9.97,62.87
7.701,141.11,10.09,62.91
7.791,140.93,10.17,62.93
7.854,142.79,10.13,62.91
7.932,141.95,10.13,62.91
8.024,142.24,10.05,62.91
8.116,141.80,10.11,62.89
8.211,141.04,10.11,62.91
8.290,141.35,10.07,62.89
8.368,141.24,9.97,62.86
8.458,141.25,10.05,62.87
8.552,142.06,10.07,62.89
8.647,140.91,10.10,62.90
8.738,141.30,10.05,62.88
8.819,141.93,10.06,62.86
8.909,140.84,10.03,62.87
9.001,141.97,10.03,62.88
9.078,141.06,10.14,62.90
9.157,141.35,10.10,62.91
9.250,141.34,10.00,62.89
9.327,140.89,10.05,62.89
9.404,140.84,10.06,62.90
9.482,141.45,10.05,62.92
9.559,140.17,10.04,62.91
9.651,141.52,10.00,62.90
9.745,140.36,10.04,62.91
9.820,140.47,10.10,62.91
9.899,141.08,10.02,62.89
9.977,140.07,10.08,62.93
10.052,139.97,10.09,62.92
10.145,141.12,10.09,62.93
10.222,140.28,10.02,62.88
10.300,139.99,9.98,62.87
10.396,139.68,10.14,62.90
10.472,141.32,10.10,62.88
10.549,141.18,10.10,62.87
10.628,140.31,10.11,62.87
10.720,140.26,10.12,62.87
10.812,139.81,10.00,62.82
10.888,139.20,10.10,62.85
10.966,139.74,10.02,62.83
11.042,139.30,10.15,62.86
11.121,140.54,10.04,62.85
11.212,139.01,10.08,62.83
11.286,138.85,10.09,62.86
11.367,139.64,10.05,62.81
11.458,139.56,10.18,62.78
11.552,140.35,10.12,62.79
11.628,139.67,10.11,62.77
11.691,138.87,10.19,62.79
11.768,138.46,10.07,62.80
11.846,138.95,10.16,62.77
11.924,138.99,10.11,62.76
12.001,138.53,10.05,62.73
12.093,139.11,10.12,62.74
12.186,138.77,10.15,62.72
12.279,140.09,10.13,62.70
12.358,138.49,10.17,62.72
12.451,140.35,10.19,62.71
12.544,140.38,10.20,62.70
12.622,139.65,10.14,62.69
12.715,139.47,10.14,62.68
12.808,138.72,10.16,62.72
12.887,138.81,10.11,62.70
12.979,139.30,10.14,62.68
13.059,138.35,10.11,62.66
13.136,138.15,10.10,62.60
13.212,137.87,10.10,62.59
13.290,138.68,10.29,62.61
13.367,138.29,10.15,62.60
13.445,137.51,10.19,62.69
13.521,137.49,10.18,62.74
13.600,137.15,10.10,62.73
13.679,138.00,10.21,62.72
13.771,138.65,10.14,62.75
13.834,137.04,10.05,62.76
13.912,137.69,10.09,62.75
14.005,138.27,10.15,62.83
14.081,136.69,10.04,62.81
14.160,136.08,10.06,62.84
14.224,136.53,10.08,62.84
14.318,135.25,10.17,62.84
14.410,135.36,10.06,62.83
14.504,135.40,10.08,62.82
14.581,135.85,10.14,62.84
14.659,135.30,10.13,62.81
14.736,135.63,10.10,62.81
14.814,135.24,10.00,62.80
14.891,134.68,10.17,62.81
14.955,135.17,10.14,62.82
15.033,134.44,10.13,62.80
