time_s,H,S,V
0.036,154.91,11.67,69.01
0.093,154.39,11.75,68.99
0.147,155.08,11.82,69.04
0.197,154.68,11.73,68.96
0.246,155.89,11.86,69.02
0.296,157.86,12.00,69.31
0.349,157.53,11.89,69.43
0.401,157.23,11.97,69.51
0.449,156.40,11.76,69.36
0.500,158.33,11.92,69.46
0.554,156.96,11.35,69.95
0.606,144.69,10.65,68.81
0.659,143.15,10.83,66.50
0.712,150.02,11.52,67.48
0.764,156.06,11.27,70.55
0.816,148.12,11.51,68.25
0.869,144.48,10.79,68.66
0.920,136.00,10.83,63.47
0.974,124.40,12.01,59.49
1.029,125.00,11.77,59.54
1.081,126.10,11.47,60.14
1.137,130.41,11.14,61.25
1.189,120.86,11.33,60.14
1.256,120.04,11.18,59.40
1.324,116.69,11.25,59.49
1.388,116.89,11.43,58.98
1.441,118.52,11.61,58.88
1.492,114.81,11.74,58.46
1.544,116.34,11.74,58.57
1.594,116.29,11.73,58.37
1.646,116.65,11.81,58.26
1.698,116.66,11.74,58.21
1.749,114.85,11.89,58.27
1.800,115.94,11.65,58.38
1.853,116.65,11.81,58.29
1.906,114.47,11.89,58.27
1.958,115.81,11.90,57.95
2.015,114.26,12.03,57.93
2.074,115.65,11.93,58.11
2.126,115.91,11.82,57.95
2.181,113.04,11.93,58.10
2.233,112.39,11.86,58.25
2.290,114.69,11.87,58.20
2.350,112.98,11.89,58.29
2.405,113.87,11.88,58.22
2.458,113.35,11.93,58.25
2.512,112.89,11.85,58.23
2.560,112.62,11.80,58.24
2.610,114.83,11.77,58.19
2.662,112.19,11.78,58.22
2.715,114.56,12.03,58.17
2.765,114.40,12.01,58.18
2.819,112.11,11.84,58.12
2.873,114.46,11.90,58.13
2.925,114.46,11.90,58.13
2.976,114.21,11.93,58.09
3.027,112.99,11.87,58.05
3.079,111.68,11.83,57.97
3.132,111.45,11.85,57.98
3.185,113.54,12.19,58.04
3.234,113.44,12.21,57.97
3.290,112.47,11.95,57.90
3.341,112.98,12.01,57.83
3.393,111.19,11.96,57.80
3.445,112.77,12.06,57.78
3.493,112.33,12.18,57.77
3.556,112.76,12.15,57.73
3.608,111.58,12.16,57.70
3.663,112.71,12.11,57.69
3.716,111.58,12.00,57.69
3.764,113.00,12.01,57.64
3.817,111.31,11.91,57.58
3.869,114.10,12.11,57.58
3.920,114.10,12.11,57.58
3.969,112.84,12.19,57.58
4.024,112.35,12.04,57.57
4.082,112.33,12.03,57.51
4.135,112.52,12.23,57.53
4.189,113.87,12.15,57.52
4.240,111.77,12.02,57.53
4.294,111.77,12.02,57.53
4.345,114.13,12.14,57.54
4.399,111.72,12.07,57.56
4.448,111.18,12.14,57.57
4.496,111.31,12.10,57.48
4.551,111.44,12.17,57.56
4.606,110.50,12.18,57.52
4.662,109.68,12.30,57.34
4.713,111.11,12.19,57.52
4.763,110.27,12.08,57.35
4.816,111.54,12.04,57.45
4.867,109.63,12.02,57.48
4.918,112.34,12.26,57.38
4.978,112.05,12.13,57.43
5.035,110.99,12.27,57.44
5.085,111.33,12.19,57.44
5.135,109.49,12.38,57.45
5.189,109.82,12.26,57.40
5.246,110.51,12.15,57.37
5.297,112.35,12.27,57.49
5.348,111.66,12.28,57.44
5.400,112.51,12.31,57.45
5.449,112.12,12.00,57.37
5.499,112.57,12.28,57.40
5.549,111.65,12.35,57.41
5.602,110.88,12.12,57.35
5.656,114.28,12.06,57.34
5.708,110.18,12.27,57.33
5.763,111.73,12.27,57.33
5.815,113.17,12.34,57.31
5.866,110.79,12.28,57.33
5.918,112.64,12.26,57.30
5.969,112.65,12.20,57.28
6.025,111.55,12.17,57.30
6.076,111.44,12.27,57.25
6.130,112.61,12.28,57.29
6.182,111.65,12.23,57.22
6.233,110.79,12.23,57.21
6.287,112.13,12.39,57.29
6.339,111.87,12.21,57.20
6.389,111.54,12.03,57.16
6.442,110.93,12.38,57.27
6.493,111.92,12.25,57.20
6.543,111.25,12.40,57.23
6.593,111.58,12.19,57.22
6.646,113.30,12.24,57.16
6.694,112.27,12.46,57.22
6.752,111.78,12.36,57.25
6.802,112.85,12.36,57.22
6.853,109.93,12.27,57.24
6.903,111.96,12.30,57.24
6.956,112.75,12.51,57.27
7.007,110.68,12.31,57.25
7.058,112.20,12.26,57.21
7.111,112.36,12.29,57.23
7.163,110.99,12.27,57.24
7.216,111.87,12.29,57.20
7.266,111.96,12.29,57.27
7.318,111.63,12.32,57.23
7.369,112.75,12.27,57.21
7.422,113.30,12.48,57.28
7.472,113.29,12.19,57.20
7.523,111.82,12.33,57.21
7.573,113.43,12.32,57.24
7.630,113.64,12.44,57.23
7.685,113.70,12.28,57.19
7.737,112.20,12.31,57.26
7.791,113.50,12.37,57.19
7.842,110.39,12.34,57.23
7.897,111.48,12.15,57.21
7.951,112.36,12.43,57.22
8.000,109.91,12.31,57.23
8.054,109.91,12.31,57.23
8.104,115.15,12.21,57.22
8.156,111.25,12.58,57.22
8.210,112.55,12.30,57.23
8.268,111.84,12.40,57.22
8.323,111.15,12.28,57.22
8.373,112.13,12.31,57.19
8.426,111.03,12.28,57.17
8.478,112.47,12.36,57.26
8.529,113.24,12.29,57.18
8.580,113.41,12.31,57.23
8.632,111.31,12.35,57.17
8.683,112.41,12.29,57.20
8.735,111.18,12.41,57.21
8.788,112.63,12.35,57.21
8.840,111.30,12.35,57.17
8.893,112.10,12.45,57.26
8.946,111.54,12.16,57.17
8.998,111.44,12.39,57.27
9.053,112.00,12.40,57.28
9.107,112.87,12.23,57.19
9.158,112.31,12.46,57.24
9.207,110.14,12.42,57.24
9.260,111.79,12.29,57.20
9.310,112.35,12.46,57.25
9.364,110.92,12.33,57.23
9.416,113.34,12.31,57.23
9.467,113.56,12.20,57.25
9.521,111.20,12.31,57.23
9.572,112.08,12.51,57.29
9.624,111.33,12.30,57.30
9.675,110.84,12.37,57.26
9.726,110.82,12.33,57.25
9.775,110.52,12.34,57.30
9.829,110.81,12.40,57.24
9.880,111.29,12.53,57.31
9.933,111.10,12.35,57.28
9.984,112.40,12.43,57.26
10.035,109.87,12.32,57.27
10.088,112.75,12.34,57.26
10.138,110.03,12.52,57.24
10.190,109.59,12.37,57.31
10.240,111.35,12.36,57.25
10.295,111.77,12.46,57.26
10.344,110.14,12.47,57.29
10.399,111.64,12.40,57.25
10.450,109.92,12.29,57.24
10.502,112.05,12.38,57.21
10.558,111.67,12.42,57.24
10.609,111.01,12.36,57.22
10.664,110.91,12.53,57.19
10.718,111.18,12.61,57.23
10.773,110.18,12.44,57.21
10.829,110.61,12.46,57.19
10.884,110.83,12.53,57.21
10.936,110.25,12.39,57.18
10.991,111.52,12.36,57.05
11.042,110.47,12.55,57.12
11.093,110.30,12.41,57.07
11.146,111.92,12.39,57.04
11.199,110.24,12.32,57.08
11.251,110.68,12.42,57.02
11.304,111.75,12.49,57.02
11.357,110.00,12.41,57.02
11.408,111.82,12.40,57.00
11.461,112.13,12.44,57.01
11.518,111.21,12.39,57.00
11.568,112.02,12.39,56.98
11.620,110.50,12.20,56.95
11.673,111.21,12.53,57.00
11.726,110.40,12.55,56.95
11.780,111.07,12.44,57.01
11.830,112.79,12.53,56.97
11.884,112.01,12.56,56.97
11.936,111.97,12.54,56.99
11.990,112.62,12.46,56.94
12.041,111.99,12.37,56.98
12.093,111.41,12.35,56.95
12.146,111.43,12.56,56.94
12.195,112.09,12.51,57.00
12.249,110.69,12.47,56.92
