time_s,H,S,V
0.016,184.50,9.07,77.09
0.105,183.41,9.07,77.08
0.181,183.64,9.15,77.14
0.258,183.45,9.05,77.07
0.337,183.01,9.13,77.11
0.415,184.09,9.11,77.10
0.506,183.89,9.11,77.13
0.585,183.06,9.11,77.10
0.662,184.90,9.21,76.98
0.740,185.28,9.22,76.81
0.820,187.26,10.17,75.49
0.911,184.29,10.44,73.39
0.990,162.51,10.05,69.13
1.084,142.54,10.27,64.96
1.178,106.19,10.25,58.17
1.269,116.20,9.28,58.63
1.362,133.59,9.60,62.29
1.454,107.04,15.80,63.21
1.546,103.98,16.26,63.30
1.639,107.07,13.44,67.31
1.733,115.83,16.02,67.82
1.826,116.22,15.52,68.13
1.918,153.43,7.70,73.36
1.998,158.33,7.65,74.62
2.092,156.92,7.38,76.99
2.167,156.92,7.38,76.99
2.246,144.97,6.96,77.50
2.324,158.68,7.34,76.55
2.419,159.71,8.95,74.23
2.510,160.11,8.88,74.17
2.588,160.48,9.18,72.73
2.665,160.31,9.48,71.15
2.743,159.01,9.47,71.19
2.822,160.11,9.52,71.22
2.915,158.40,9.89,69.53
2.992,158.47,9.87,69.53
3.070,157.92,9.85,69.57
3.165,157.48,9.84,69.57
3.241,158.35,9.83,69.59
3.321,158.12,9.88,69.62
3.398,158.11,9.71,69.58
3.476,158.20,9.77,69.62
3.568,158.22,9.75,69.58
3.646,159.32,9.75,69.62
3.724,157.66,9.84,69.61
3.802,157.87,9.78,69.60
3.879,157.71,9.78,69.61
3.955,158.56,9.73,69.54
4.034,158.39,9.83,69.51
4.113,159.31,9.99,69.39
4.205,158.46,9.99,69.31
4.299,158.79,10.07,69.19
4.392,159.23,10.09,69.19
4.488,159.43,10.04,69.15
4.578,158.79,10.05,69.04
4.659,158.72,10.09,69.03
4.750,159.16,10.06,69.04
4.829,158.28,10.20,68.86
4.920,159.73,10.06,69.10
5.000,159.65,10.17,68.95
5.092,158.85,9.97,69.00
5.172,159.07,10.07,68.94
5.262,159.27,10.18,68.98
5.327,159.96,10.09,68.99
5.421,159.52,10.13,68.99
5.498,159.75,10.18,69.04
5.576,162.21,10.06,69.61
5.668,161.61,9.67,70.10
5.761,156.15,9.67,70.44
5.859,153.84,8.79,70.28
5.952,155.19,9.20,69.87
6.043,156.54,9.39,68.15
6.134,149.80,9.53,66.98
6.213,147.02,9.13,67.40
6.293,156.67,9.42,67.69
6.388,138.49,8.99,63.92
6.460,133.53,9.19,63.02
6.543,131.36,9.16,62.40
6.623,132.57,9.33,62.41
6.715,128.09,9.25,61.84
6.806,126.46,9.40,61.32
6.902,125.35,9.54,61.02
6.995,126.25,9.55,60.97
7.090,125.40,9.60,60.97
7.182,126.59,9.53,61.02
7.273,126.66,9.58,61.10
7.369,127.72,9.40,61.02
7.462,125.48,9.49,61.25
7.555,125.98,9.40,61.31
7.634,125.14,9.38,61.40
7.727,137.18,9.63,61.56
7.822,146.14,9.45,61.62
7.912,145.11,9.35,61.60
8.006,142.74,9.49,61.54
8.100,145.57,9.53,61.55
8.195,143.50,9.48,61.55
8.288,146.30,9.48,61.54
8.380,145.53,9.50,61.54
8.473,143.85,9.46,61.53
8.565,144.29,9.49,61.54
8.660,144.99,9.48,61.54
8.753,145.80,9.50,61.51
8.845,144.72,9.43,61.50
8.939,145.01,9.54,61.51
9.032,144.99,9.53,61.54
9.125,146.27,9.46,61.52
9.204,144.95,9.48,61.52
9.297,146.31,9.51,61.53
9.392,144.12,9.47,61.49
9.485,143.43,9.47,61.49
9.577,145.03,9.52,61.48
9.668,144.97,9.51,61.50
9.747,144.66,9.42,61.49
9.824,144.68,9.52,61.52
9.902,146.43,9.50,61.51
9.994,146.62,9.47,61.50
10.072,145.91,9.53,61.52
10.150,145.15,9.48,61.52
10.231,146.22,9.46,61.49
10.308,145.25,9.45,61.45
10.402,145.94,9.59,61.52
10.472,146.28,9.53,61.55
10.559,145.56,9.48,61.58
10.652,143.79,9.49,61.62
10.743,145.04,9.48,61.65
10.836,144.24,9.48,61.64
10.930,144.47,9.40,61.63
11.024,146.67,9.36,61.63
11.116,145.83,9.40,61.62
11.208,145.82,9.48,61.64
11.301,144.49,9.43,61.62
11.380,144.46,9.42,61.59
11.472,146.12,9.41,61.54
11.566,146.80,9.43,61.56
11.660,144.74,9.38,61.53
11.754,146.24,9.46,61.54
11.832,145.94,9.43,61.56
11.909,145.04,9.55,61.56
12.008,143.95,9.43,61.54
12.097,142.51,9.51,61.58
12.174,144.98,9.46,61.55
12.254,144.05,9.41,61.52
12.348,144.63,9.41,61.53
12.439,143.75,9.33,61.48
12.533,144.26,9.44,61.50
12.612,145.30,9.44,61.49
12.704,145.31,9.41,61.50
12.783,144.49,9.53,61.51
12.874,144.65,9.50,61.50
12.969,146.14,9.48,61.52
13.046,145.64,9.43,61.50
13.127,145.81,9.37,61.59
13.204,144.14,9.47,61.63
13.281,143.85,9.41,61.63
13.357,144.06,9.44,61.61
13.436,145.86,9.43,61.63
13.514,145.19,9.37,61.62
13.577,144.16,9.49,61.64
13.653,144.19,9.46,61.61
13.730,144.31,9.39,61.61
13.823,144.44,9.42,61.62
13.901,144.73,9.39,61.59
13.977,145.13,9.39,61.61
14.057,145.90,9.38,61.61
14.137,145.01,9.41,61.63
14.231,144.43,9.53,61.63
14.322,145.82,9.45,61.61
14.415,145.79,9.38,61.60
14.491,144.97,9.44,61.55
14.570,145.43,9.47,61.50
14.649,146.11,9.49,61.38
14.725,146.62,9.57,61.35
14.802,147.12,9.51,61.37
14.878,147.08,9.55,61.28
14.960,147.04,9.56,61.25
15.050,146.58,9.58,61.29
15.099,148.64,9.56,61.31
15.159,148.00,9.59,61.31
15.211,144.77,9.52,61.29
15.261,147.92,9.50,61.30
15.310,145.25,9.46,61.29
15.359,146.35,9.56,61.32
15.406,147.37,9.48,61.30
15.456,145.71,9.56,61.33
15.504,145.94,9.58,61.34
