time_s,H,S,V
0.024,198.49,41.13,12.78
0.077,201.86,41.21,12.75
0.130,202.09,42.75,12.78
0.181,203.00,43.14,12.79
0.232,199.43,42.10,12.76
0.285,198.63,42.14,12.74
0.337,201.52,41.68,12.72
0.390,200.90,41.47,12.69
0.442,200.17,41.80,12.67
0.497,201.54,42.78,12.60
0.547,206.09,42.67,12.61
0.600,202.55,42.58,12.62
0.652,202.55,42.58,12.62
0.706,200.98,43.15,12.57
0.756,206.23,43.75,12.57
0.805,201.07,43.60,12.54
0.856,205.62,43.39,12.57
0.908,202.31,43.69,12.52
0.959,204.56,43.94,12.70
1.012,208.13,46.10,12.87
1.062,202.04,44.95,12.82
1.109,207.34,45.82,12.85
1.160,199.10,42.82,12.98
1.220,203.38,43.57,13.01
1.271,203.16,43.90,12.97
1.323,201.00,46.20,13.62
1.373,200.29,47.00,14.30
1.421,197.26,46.16,13.73
1.469,197.33,47.07,13.50
1.518,208.43,47.04,13.31
1.566,207.43,46.46,13.31
1.614,207.87,45.27,14.67
1.663,225.21,56.77,15.45
1.712,233.16,53.12,15.85
1.759,165.59,40.07,25.21
1.808,172.42,22.78,57.77
1.855,166.59,11.48,90.11
1.905,71.00,7.22,93.76
1.957,41.85,6.40,94.35
2.012,62.91,6.71,93.89
2.065,79.83,7.14,93.72
2.118,110.97,7.87,93.57
2.170,138.32,8.46,93.43
2.220,181.53,10.26,89.87
2.269,182.25,10.04,88.28
2.319,179.03,9.09,86.30
2.371,181.08,8.96,84.75
2.425,179.08,9.84,83.66
2.475,177.60,9.96,83.68
2.528,173.59,9.64,81.77
2.579,172.49,9.71,80.23
2.631,171.28,9.47,80.23
2.683,171.38,9.43,80.25
2.736,171.08,9.43,80.20
2.788,170.63,9.39,80.20
2.843,168.52,9.51,78.45
2.897,169.01,9.48,78.46
2.949,169.90,9.53,78.50
3.002,169.54,9.54,78.44
3.052,169.12,9.48,78.47
3.105,169.63,9.56,78.47
3.156,169.84,9.55,78.50
3.206,169.84,9.55,78.50
3.257,168.64,9.53,78.47
3.314,169.44,9.58,78.50
3.366,170.22,9.53,78.48
3.417,170.33,9.54,78.45
3.468,168.60,9.46,78.43
3.519,169.09,9.53,78.47
3.568,170.04,9.53,78.45
3.619,170.63,9.54,78.49
3.672,170.44,9.54,78.53
3.726,168.49,9.56,78.48
3.777,168.62,9.55,78.49
3.833,169.11,9.50,78.46
3.886,169.99,9.58,78.50
3.940,169.91,9.61,78.54
3.996,170.26,9.44,78.50
4.046,169.20,9.57,78.52
4.100,169.03,9.62,78.55
4.152,169.73,9.56,78.51
4.206,169.65,9.53,78.55
4.260,169.56,9.52,78.56
4.310,168.18,9.51,78.51
4.361,168.95,9.64,78.55
4.411,171.39,9.66,77.85
4.472,175.12,10.41,76.58
4.525,175.43,11.14,75.89
4.574,175.43,11.14,75.89
4.626,177.13,11.88,75.20
4.682,180.84,12.25,75.67
4.735,180.32,12.35,74.91
4.787,160.55,12.50,69.07
4.840,132.80,12.58,63.41
4.893,111.20,14.26,54.99
4.945,120.36,13.29,60.45
4.996,121.23,14.34,55.12
5.048,120.52,13.18,57.00
5.099,129.20,13.50,63.55
5.151,121.09,13.96,61.31
5.203,120.87,12.75,59.00
5.256,131.64,12.87,67.91
5.307,136.78,12.75,70.03
5.358,144.33,12.48,70.84
5.407,148.09,11.92,71.01
5.459,154.03,11.42,73.26
5.509,153.06,10.07,73.22
