time_s,H,S,V
15.379,189.06,10.28,70.75
15.443,188.49,10.34,70.75
15.506,189.38,10.36,70.77
15.585,188.49,10.38,70.73
15.662,188.98,10.35,70.77
15.740,189.20,10.36,70.77
15.819,188.32,10.32,70.75
15.896,188.92,10.39,70.77
15.976,188.75,10.40,70.78
16.051,188.58,10.33,70.74
16.127,188.27,10.29,70.72
16.205,189.09,10.39,70.78
16.282,188.54,10.43,70.78
16.360,188.92,10.37,70.79
16.439,188.30,10.41,70.78
16.517,189.25,10.36,70.75
16.597,188.77,10.40,70.78
16.676,188.56,10.32,70.72
16.751,188.61,10.33,70.78
16.829,188.27,10.40,70.78
16.907,188.01,10.43,70.75
16.982,189.30,10.39,70.82
17.057,188.96,10.45,70.77
17.123,189.07,10.34,70.78
17.199,188.20,10.33,70.76
17.278,188.53,10.29,70.73
17.356,188.84,10.40,70.81
17.437,188.70,10.32,70.73
17.513,188.58,10.36,70.76
17.590,187.81,10.38,70.74
17.669,189.16,10.40,70.76
17.746,189.13,10.39,70.80
17.824,188.80,10.27,70.75
17.902,188.94,10.27,70.72
17.979,188.97,10.42,70.79
18.059,188.97,10.39,70.76
18.136,188.78,10.36,70.76
18.196,188.36,10.36,70.73
18.274,189.42,10.37,70.77
18.353,187.91,10.34,70.77
18.436,187.94,10.32,70.72
18.511,188.31,10.31,70.74
18.587,187.63,10.38,70.74
18.665,188.94,10.30,70.75
18.746,188.67,10.32,70.76
18.822,188.20,10.28,70.72
18.898,189.15,10.30,70.76
18.975,188.61,10.35,70.78
19.052,188.95,10.28,70.74
19.132,188.29,10.30,70.75
19.209,188.97,10.32,70.77
19.289,188.69,10.30,70.73
19.366,188.20,10.40,70.76
19.443,188.82,10.31,70.74
19.526,188.41,10.36,70.75
19.601,189.22,10.29,70.77
19.677,188.91,10.36,70.73
19.790,188.33,10.39,70.77
19.880,187.78,10.28,70.74
19.958,188.69,10.34,70.77
20.037,188.53,10.32,70.72
20.107,188.88,10.36,70.75
20.191,188.52,10.28,70.71
20.270,188.15,10.41,70.75
20.346,189.36,10.39,70.76
20.424,188.44,10.40,70.75
20.503,188.64,10.48,70.77
20.582,188.50,10.32,70.70
20.657,188.35,10.40,70.75
20.736,189.80,10.46,70.79
20.816,188.41,10.43,70.78
20.893,188.39,10.29,70.71
20.970,188.47,10.35,70.72
21.046,188.91,10.32,70.74
21.126,188.75,10.43,70.78
21.203,188.31,10.42,70.74
21.281,188.62,10.44,70.75
21.357,188.58,10.39,70.73
21.438,188.12,10.43,70.76
21.514,188.68,10.39,70.73
21.589,189.66,10.46,70.80
21.667,188.53,10.34,70.74
21.746,188.60,10.37,70.72
21.821,188.58,10.41,70.76
21.898,188.27,10.35,70.74
21.976,189.00,10.37,70.76
22.052,188.78,10.36,70.77
22.133,189.11,10.40,70.75
22.208,189.04,10.41,70.77
22.287,188.35,10.41,70.75
22.365,189.04,10.46,70.76
22.441,188.50,10.51,70.80
22.517,189.53,10.44,70.77
22.594,189.08,10.43,70.75
22.660,188.15,10.38,70.73
22.737,188.98,10.39,70.74
22.816,188.62,10.43,70.75
22.878,188.52,10.39,70.72
22.942,189.32,10.38,70.73
23.019,188.67,10.43,70.77
23.097,188.97,10.40,70.74
23.174,188.93,10.42,70.75
23.254,188.48,10.36,70.71
23.318,188.67,10.34,70.72
23.392,188.48,10.43,70.74
23.472,188.95,10.38,70.74
23.548,188.91,10.33,70.75
23.625,188.58,10.42,70.75
23.703,188.52,10.32,70.71
23.782,188.29,10.46,70.76
23.857,189.05,10.42,70.77
23.937,188.66,10.41,70.74
24.011,188.24,10.47,70.78
24.091,188.37,10.37,70.73
24.169,189.40,10.42,70.78
24.245,188.14,10.41,70.72
