time_s,H,S,V
0.035,142.14,10.20,60.87
0.119,141.76,10.09,60.91
0.202,142.45,10.12,60.96
0.280,141.21,10.01,60.92
0.373,140.84,10.04,60.93
0.453,140.79,10.12,60.93
0.531,141.54,10.13,60.93
0.624,141.95,10.16,60.93
0.719,142.17,10.13,60.94
0.795,142.37,10.10,60.92
0.872,143.15,10.07,60.92
0.965,141.58,10.18,60.92
1.045,141.27,10.14,60.94
1.139,140.93,10.13,60.91
1.219,142.04,10.10,60.91
1.310,142.94,10.11,60.87
1.400,142.05,10.19,60.86
1.478,141.98,10.10,60.84
1.556,141.14,10.10,60.86
1.634,142.36,10.12,60.84
1.710,140.71,10.12,60.82
1.788,142.38,10.12,60.85
1.867,142.25,10.23,60.85
1.956,142.50,10.33,60.84
2.033,141.46,10.35,60.86
2.112,142.82,10.16,60.83
2.201,142.60,10.17,60.84
2.251,141.16,10.12,60.82
2.309,140.91,10.16,60.83
2.360,142.09,10.22,60.86
2.406,142.86,10.22,60.87
2.453,142.93,10.22,60.84
2.500,142.46,10.16,60.86
2.547,141.63,10.14,60.82
2.596,142.17,10.27,60.87
2.645,141.39,10.13,60.84
2.693,140.47,10.12,60.83
2.740,141.51,10.16,60.83
2.787,141.48,10.15,60.84
2.836,142.06,10.12,60.83
2.883,141.77,10.11,60.83
2.931,141.77,10.11,60.83
2.977,142.11,10.18,60.85
3.026,141.16,10.11,60.81
3.073,141.03,10.12,60.82
3.123,141.36,10.18,60.84
3.169,140.43,10.14,60.81
3.216,140.73,10.16,60.81
3.281,140.18,10.14,60.80
3.333,140.52,10.10,60.81
3.383,140.93,10.17,60.80
3.436,141.41,10.10,60.79
3.487,141.36,10.03,60.77
3.539,141.46,10.12,60.79
3.590,141.02,10.14,60.79
3.643,141.97,10.06,60.79
3.692,140.71,10.08,60.81
3.746,141.08,10.17,60.79
3.797,141.44,10.21,60.79
3.848,141.01,10.19,60.81
3.901,141.93,10.22,60.81
3.954,141.93,10.14,60.79
4.007,142.19,10.26,60.77
4.060,141.41,10.26,60.79
4.116,141.98,10.16,60.74
4.169,141.33,10.19,60.79
4.220,141.61,10.17,60.77
4.269,141.61,10.17,60.77
4.321,140.99,10.10,60.75
4.374,140.78,10.22,60.75
4.425,141.33,10.13,60.74
4.482,140.75,10.07,60.73
4.533,141.49,10.19,60.76
4.585,141.75,10.22,60.73
4.635,141.67,10.24,60.76
4.687,142.54,10.09,60.74
4.739,141.07,10.18,60.73
4.788,141.15,10.10,60.74
4.840,140.79,10.18,60.71
4.886,140.76,10.14,60.72
4.936,141.17,10.14,60.75
4.986,140.24,10.09,60.72
5.038,141.15,10.20,60.77
5.088,140.61,10.08,60.74
5.139,141.28,10.10,60.73
5.192,139.51,10.17,60.75
5.244,141.57,10.16,60.75
5.293,140.13,10.10,60.71
5.344,140.30,10.11,60.71
5.398,140.77,10.19,60.72
5.449,140.76,10.27,60.74
5.503,140.63,10.11,60.68
5.554,141.94,10.19,60.71
5.603,142.23,10.11,60.69
5.653,141.04,10.17,60.72
5.703,141.27,10.10,60.69
5.752,139.89,10.05,60.69
5.804,141.96,10.17,60.70
5.855,141.23,10.20,60.70
5.909,140.20,10.25,60.70
5.957,140.71,10.17,60.67
6.005,140.88,10.22,60.69
6.052,141.53,10.13,60.68
6.102,140.83,10.17,60.68
6.152,140.28,10.13,60.67
6.203,140.33,10.08,60.66
6.255,140.12,10.15,60.68
6.306,141.01,10.16,60.69
6.358,139.90,10.13,60.67
6.412,140.51,10.11,60.65
6.462,140.73,10.18,60.67
6.513,140.05,10.15,60.66
6.564,140.60,10.22,60.66
6.616,140.55,10.17,60.64
6.668,141.14,10.09,60.63
6.718,142.28,10.18,60.64
6.770,141.43,10.21,60.64
6.822,141.97,10.20,60.63
6.874,140.76,10.14,60.62
6.923,140.79,10.21,60.62
6.975,140.87,10.19,60.61
7.026,140.44,10.20,60.60
7.080,140.89,10.21,60.60
7.133,141.51,10.14,60.61
7.184,140.09,10.17,60.59
7.238,139.59,10.19,60.60
