time_s,H,S,V
0.041,192.66,7.37,70.71
0.098,189.67,7.42,70.66
0.159,186.13,7.36,70.70
0.224,189.83,7.27,70.68
0.282,188.84,7.36,70.71
0.335,187.99,7.39,70.70
0.389,190.82,7.26,70.70
0.438,191.09,7.36,70.73
0.492,193.46,7.32,70.70
0.550,190.89,7.32,70.73
0.604,188.21,7.34,70.70
0.678,190.28,7.35,70.70
0.748,188.14,7.37,70.74
0.801,191.39,7.39,70.72
0.854,188.10,7.38,70.73
0.909,190.44,7.42,70.73
0.960,195.56,7.39,70.76
1.016,191.34,7.50,70.77
1.070,190.05,7.46,70.72
1.119,189.87,7.35,70.71
1.171,188.98,7.43,70.74
1.223,189.39,7.33,70.70
1.318,190.77,7.38,70.73
1.428,189.24,7.37,70.72
1.540,192.78,7.41,70.70
1.625,191.83,7.40,70.71
1.696,190.35,7.28,70.67
1.777,191.94,7.35,70.70
1.852,189.43,7.33,70.71
1.932,187.69,7.33,70.67
2.010,188.88,7.41,70.75
2.088,195.08,7.42,70.73
2.168,193.32,7.47,70.75
2.244,186.93,7.33,70.68
2.324,191.85,7.41,70.70
2.404,190.51,7.38,70.73
2.482,185.75,7.34,70.70
2.562,192.37,7.34,70.71
2.641,189.99,7.31,70.69
2.717,192.26,7.37,70.70
