time_s,H,S,V
0.057,149.42,54.78,15.18
0.110,141.29,53.73,15.18
0.163,157.40,54.91,15.22
0.215,163.39,55.28,15.22
0.267,171.21,55.12,15.16
0.319,170.82,55.20,15.13
0.372,154.19,54.90,15.14
0.425,159.88,54.27,15.06
0.481,153.00,55.77,15.18
0.532,168.09,54.98,15.14
0.584,165.34,54.00,15.07
0.635,167.12,54.35,15.09
0.689,150.91,53.74,15.01
0.738,158.89,54.36,15.05
0.787,150.64,54.54,15.10
0.837,156.04,54.37,15.11
0.886,163.30,54.65,15.07
0.937,160.08,54.49,15.08
0.988,154.74,54.91,15.16
1.038,155.69,53.68,15.03
1.088,154.82,53.11,14.98
1.135,155.73,53.48,14.94
1.184,161.46,54.32,14.99
1.242,154.23,54.01,15.00
1.291,160.80,53.90,15.00
1.343,155.59,53.74,14.99
1.393,152.44,52.80,14.93
1.442,168.87,53.04,14.91
1.490,163.39,52.90,14.96
1.539,165.61,52.89,14.95
1.589,153.37,53.87,14.94
1.638,165.69,52.61,14.89
1.686,168.14,53.00,15.01
1.733,150.56,53.37,15.03
1.782,139.68,53.40,14.92
1.831,168.97,53.49,14.93
1.879,157.84,53.34,14.92
1.929,151.05,53.63,14.91
1.978,154.21,52.13,14.92
2.025,155.89,52.98,14.91
2.073,163.97,53.08,15.00
2.123,149.83,52.24,14.84
2.173,160.17,51.82,14.87
2.228,159.99,53.19,14.86
2.278,165.96,52.37,14.89
2.326,167.22,51.66,14.80
2.372,166.72,52.39,14.87
2.421,165.98,51.59,14.76
2.469,152.04,52.66,14.83
2.518,151.41,53.06,14.81
2.570,156.65,52.04,14.79
2.621,160.96,51.84,14.82
2.673,164.83,52.59,14.85
2.725,164.29,52.25,14.81
2.777,169.32,52.83,14.81
2.829,162.46,52.08,14.70
2.879,162.17,52.45,14.74
2.930,170.09,52.77,14.70
2.980,173.14,51.97,14.61
3.031,183.75,51.92,14.65
3.082,174.22,51.36,14.58
3.131,178.68,51.43,14.59
3.182,177.06,51.38,14.60
3.234,161.39,51.25,14.66
3.285,167.19,50.46,14.56
3.335,169.89,51.02,14.62
3.387,175.15,50.75,14.61
3.439,177.49,49.94,14.58
3.506,173.30,51.45,14.60
3.559,165.44,51.05,14.55
3.609,180.05,51.04,14.49
3.658,169.61,50.65,14.44
3.708,169.61,50.65,14.44
3.759,174.69,49.14,14.25
3.811,189.45,49.54,14.30
