time_s,H,S,V
0.044,28.27,87.25,50.62
0.094,26.84,87.27,50.66
0.142,26.38,87.38,50.72
0.190,27.56,87.32,50.81
0.237,25.66,87.37,50.82
0.287,26.51,87.24,50.83
0.335,26.51,87.24,50.83
0.386,27.01,87.32,50.85
0.435,26.92,87.32,50.88
0.484,25.22,87.31,50.89
0.534,26.83,87.39,50.87
0.582,25.76,87.28,50.84
0.633,26.60,87.33,50.81
0.685,26.67,87.41,50.81
0.733,26.67,87.41,50.81
0.787,26.94,87.29,50.76
0.835,25.81,87.35,50.76
0.882,24.49,87.24,50.59
0.930,27.12,87.23,50.60
0.980,26.88,87.35,50.61
1.028,26.14,87.27,50.62
1.078,26.14,87.27,50.62
1.128,27.10,87.23,50.59
1.177,26.35,87.29,50.60
1.230,25.90,87.28,50.50
1.282,26.00,87.32,50.53
1.330,27.20,87.32,50.57
1.377,26.89,87.34,50.55
1.426,26.62,87.26,50.49
1.474,26.08,87.23,50.44
1.522,26.81,87.33,50.52
1.571,28.24,87.20,50.53
1.622,26.47,87.25,50.47
1.669,27.10,87.23,50.50
1.718,28.00,87.23,50.52
1.766,26.13,87.25,50.57
1.814,26.27,87.28,50.58
1.865,28.01,87.25,50.62
1.912,26.16,87.25,50.58
1.959,27.87,87.30,50.64
2.007,26.16,87.24,50.60
2.055,28.60,87.24,50.62
2.106,26.86,87.27,50.64
2.153,27.20,87.29,50.73
2.204,28.72,87.17,50.60
2.252,26.73,87.22,50.67
2.301,26.98,87.19,50.72
2.348,27.05,87.14,50.65
2.404,26.12,87.27,50.80
2.451,25.63,87.30,50.84
2.500,27.12,87.32,50.84
2.549,26.77,87.24,50.86
2.596,26.41,87.16,50.86
2.644,27.51,87.23,50.80
2.693,27.36,87.21,50.85
2.744,27.11,87.29,50.94
2.795,27.49,87.29,50.98
2.849,28.08,87.23,51.01
2.901,27.28,87.21,51.00
2.953,27.75,87.14,51.00
3.002,28.15,87.25,51.08
3.049,26.43,87.28,51.11
3.100,28.30,87.29,51.16
3.148,25.56,87.36,51.11
3.197,26.72,87.34,51.16
3.248,25.57,87.32,51.12
3.296,25.86,87.27,51.18
3.345,27.37,87.31,51.19
3.397,26.36,87.44,51.15
3.450,25.56,87.43,51.16
3.504,27.58,87.36,51.14
3.555,26.34,87.37,51.21
3.606,26.79,87.34,51.18
3.659,26.63,87.36,51.20
3.711,26.67,87.30,51.19
3.766,25.72,87.24,51.25
3.818,25.70,87.34,51.26
3.871,27.73,87.21,51.32
3.923,26.81,87.22,51.33
3.973,26.31,87.18,51.39
