time_s,H,S,V
0.075,178.37,8.92,74.42
0.146,179.26,8.85,74.37
0.207,178.54,8.95,74.42
0.283,179.35,8.91,74.42
0.361,179.14,8.89,74.41
0.439,179.40,8.83,74.38
0.517,179.20,8.89,74.39
0.596,179.07,8.98,74.40
0.671,180.30,8.98,74.44
0.748,179.60,8.95,74.40
0.827,179.15,9.03,74.43
0.904,179.45,8.92,74.37
0.978,178.86,8.93,74.37
1.057,179.13,9.23,74.23
1.136,180.46,9.33,74.10
1.211,180.84,9.96,73.59
1.289,181.09,10.02,73.57
1.365,180.95,10.01,73.54
1.443,181.19,10.10,73.46
1.519,181.45,10.04,73.46
1.583,180.42,10.02,73.57
1.660,181.01,9.86,73.54
1.739,180.99,9.81,73.53
1.817,180.78,10.00,73.58
1.893,181.90,9.89,73.58
1.975,180.95,10.06,73.60
2.049,180.46,9.97,73.59
2.127,181.75,9.93,73.55
2.207,180.58,9.91,73.57
2.284,181.20,9.97,73.59
2.362,180.79,9.90,73.54
2.438,181.44,9.96,73.61
2.515,181.23,9.91,73.56
2.593,180.62,9.95,73.56
2.670,181.24,9.75,73.65
2.749,181.02,9.82,73.78
2.826,179.77,9.67,73.81
2.904,180.30,9.63,73.79
2.982,179.93,9.68,73.82
3.058,180.72,9.62,73.79
3.137,180.43,9.67,73.80
3.215,179.59,9.61,73.78
3.292,180.40,9.59,73.79
3.368,179.82,9.68,73.80
3.446,180.70,9.66,73.78
3.524,180.35,9.68,73.76
3.604,179.99,9.66,73.75
3.680,180.30,9.71,73.77
3.756,180.25,9.75,73.78
3.835,179.61,9.73,73.75
3.912,180.59,9.74,73.71
3.990,179.94,9.81,73.64
4.069,181.24,9.81,73.54
4.146,180.32,9.82,73.52
4.222,181.38,9.92,73.49
4.301,181.29,10.11,73.38
4.365,181.55,10.20,73.07
4.457,182.98,10.47,72.78
4.532,182.16,10.52,72.85
4.598,182.20,10.42,72.86
4.674,182.12,10.55,72.91
4.751,182.41,10.60,72.77
4.829,182.57,10.55,72.74
4.907,183.45,10.53,72.78
4.984,182.07,10.49,72.76
5.064,182.39,10.80,72.47
5.138,182.55,10.85,72.39
5.216,182.79,10.96,72.18
5.296,183.80,10.92,72.19
5.371,184.07,11.07,72.03
5.448,184.74,11.37,71.31
5.512,180.51,10.18,71.08
5.588,179.35,10.24,70.55
5.668,144.46,28.14,58.94
5.742,136.68,32.63,57.50
5.824,77.32,64.15,39.65
5.900,70.97,67.43,38.78
5.978,63.19,66.68,43.58
6.054,69.94,64.07,44.62
6.134,76.11,63.65,50.03
6.209,77.45,62.57,50.93
6.287,76.88,62.42,50.78
6.364,73.29,64.01,51.05
6.442,73.87,63.64,52.37
6.518,78.66,60.34,54.47
6.598,79.00,59.87,54.55
6.673,79.57,59.21,54.64
6.751,79.83,59.13,54.75
6.830,81.53,58.92,54.70
6.905,80.73,59.61,53.88
6.984,81.29,59.28,54.10
7.063,83.16,59.21,53.52
7.140,83.01,59.13,53.71
7.216,82.99,59.47,53.42
7.294,83.22,59.19,53.51
7.356,83.31,59.19,53.59
7.431,82.59,59.72,53.32
7.508,82.96,59.08,53.90
7.587,82.80,58.90,54.14
7.665,81.86,59.35,53.87
7.741,83.20,58.24,54.55
7.820,83.25,58.57,54.64
7.899,79.50,59.76,52.76
7.976,158.18,25.15,75.92
8.054,168.95,20.97,77.45
8.132,162.11,19.07,72.13
8.208,147.15,24.99,68.70
8.286,83.09,50.62,50.28
8.363,60.27,66.80,41.43
8.442,62.38,66.75,43.57
8.518,62.92,66.76,43.47
8.598,62.40,67.56,42.83
8.672,55.79,72.80,39.04
8.751,50.88,75.21,37.40
8.830,61.08,71.65,39.82
8.907,62.01,71.13,40.25
8.985,74.81,64.44,48.21
9.060,77.15,63.38,49.32
9.138,78.86,61.64,50.78
9.217,83.97,59.73,51.93
9.295,82.09,61.68,50.34
9.369,82.43,60.91,51.03
9.447,82.52,60.62,50.96
9.524,82.46,60.97,50.65
9.602,82.28,61.06,50.58
9.678,83.02,60.82,50.80
9.757,83.44,60.68,50.84
9.834,83.41,60.62,50.76
9.911,83.38,60.74,50.66
9.989,83.26,60.81,50.64
10.068,82.90,60.90,50.71
10.143,83.41,60.50,51.09
10.221,186.64,13.54,77.12
10.300,199.58,12.38,85.24
10.378,196.38,11.25,85.11
10.455,192.67,10.11,83.02
10.534,191.50,10.83,79.05
10.609,178.11,13.14,69.22
10.685,129.08,34.11,57.06
10.764,70.42,66.42,42.75
10.838,72.55,66.43,44.14
10.917,75.99,62.97,48.08
10.995,77.09,61.84,49.63
11.072,79.01,61.84,50.60
11.147,79.47,61.37,51.08
11.229,80.77,60.24,52.74
11.304,80.31,61.33,58.67
11.384,80.36,61.47,60.50
11.463,81.47,61.65,62.92
11.537,81.22,61.59,62.96
11.616,81.79,61.45,62.59
11.698,82.27,61.40,62.66
11.770,82.31,61.52,62.74
11.847,82.63,61.39,63.19
11.927,82.39,61.43,63.24
12.004,82.26,61.44,63.44
12.081,82.42,61.39,63.42
12.158,82.67,61.35,63.50
12.236,82.81,61.33,63.56
12.315,82.57,61.40,63.39
12.391,82.31,61.35,63.40
12.471,82.34,61.33,63.49
12.548,82.69,61.35,63.49
12.626,82.42,61.32,63.54
12.703,82.59,61.22,63.53
12.781,82.76,61.30,63.59
12.858,82.63,61.34,63.58
12.936,82.55,61.31,63.53
13.011,82.57,61.28,63.58
13.089,82.97,61.33,63.57
13.164,82.69,61.25,63.57
13.244,82.83,61.30,63.58
13.320,82.56,61.30,63.57
13.399,82.43,61.28,63.58
13.473,82.83,61.31,63.58
13.550,82.88,61.33,63.59
13.657,82.73,61.24,63.60
13.738,82.23,61.30,63.54
13.816,82.88,61.22,63.56
13.902,82.61,61.27,63.53
13.970,82.25,61.27,63.51
14.048,82.49,61.26,63.61
14.125,82.82,61.28,63.55
14.202,82.89,61.28,63.57
14.282,82.98,61.22,63.61
14.357,82.85,61.31,63.62
14.438,82.68,61.23,63.54
14.514,83.12,61.31,63.56
14.593,82.31,61.33,63.60
14.671,82.53,61.29,63.59
14.756,82.98,61.33,63.62
14.825,82.69,61.37,63.62
14.902,82.70,61.39,63.60
14.980,82.50,61.30,63.53
15.058,82.80,61.39,63.55
15.135,82.75,61.35,63.51
15.211,82.86,61.36,63.58
15.290,82.62,61.36,63.55
15.369,82.61,61.35,63.53
