time_s,H,S,V
0.051,108.47,10.40,58.58
0.125,108.66,10.29,58.56
0.203,108.66,10.30,58.57
0.280,108.23,10.41,58.53
0.341,109.03,10.33,58.55
0.404,109.16,10.47,58.54
0.481,108.39,10.31,58.50
0.544,108.94,10.32,58.53
0.621,108.61,10.28,58.50
0.700,109.48,10.32,58.54
0.775,109.02,10.45,58.55
0.840,108.98,10.34,58.53
0.915,109.65,10.38,58.53
0.993,108.92,10.37,58.51
1.072,109.15,10.47,58.39
1.157,111.31,10.41,58.40
1.228,111.57,10.47,58.42
1.306,110.26,10.36,58.39
1.384,110.08,10.33,58.40
1.462,110.47,10.40,58.41
1.541,109.97,10.35,58.43
1.605,110.19,10.46,58.45
1.680,109.26,10.36,58.40
1.739,109.58,10.45,58.41
1.787,109.77,10.35,58.42
1.835,109.99,10.44,58.43
1.883,110.38,10.35,58.41
1.931,108.37,10.32,58.39
1.980,110.12,10.34,58.40
2.029,109.68,10.45,58.43
2.075,109.67,10.46,58.45
2.122,110.14,10.33,58.42
2.170,108.92,10.35,58.44
2.217,110.25,10.36,58.47
2.264,110.25,10.36,58.47
2.312,108.90,10.29,58.43
2.360,108.82,10.34,58.45
2.407,108.69,10.36,58.41
2.455,109.35,10.43,58.44
2.502,109.77,10.42,58.44
2.550,109.83,10.39,58.44
2.599,109.83,10.39,58.44
2.647,109.28,10.40,58.45
2.697,108.64,10.44,58.44
2.746,108.53,10.41,58.41
2.793,108.06,10.38,58.44
2.840,108.74,10.38,58.44
2.887,109.29,10.46,58.47
2.935,107.89,10.33,58.40
2.981,108.62,10.49,58.41
3.059,109.72,10.28,58.39
3.148,109.55,10.37,58.39
3.225,110.08,10.35,58.42
3.288,109.60,10.48,58.43
3.367,108.19,10.52,58.46
3.443,108.52,10.50,58.44
3.519,107.50,10.55,58.46
3.598,108.92,10.48,58.51
3.673,108.88,10.36,58.51
3.751,107.56,10.49,58.52
3.830,108.19,10.37,58.49
3.923,108.35,10.47,58.53
3.999,108.67,10.38,58.51
4.078,108.66,10.39,58.49
4.155,108.09,10.49,58.49
4.235,108.40,10.46,58.51
4.327,108.09,10.39,58.48
4.420,108.90,10.30,58.48
4.498,108.93,10.34,58.46
4.576,108.33,10.49,58.47
4.639,106.90,10.45,58.42
4.717,108.29,10.46,58.45
4.792,108.42,10.46,58.47
4.871,108.53,10.43,58.48
4.948,108.71,10.40,58.46
5.025,107.59,10.42,58.50
5.103,108.81,10.34,58.51
5.181,109.65,10.39,58.53
5.258,108.06,10.33,58.57
5.323,107.52,10.36,58.61
5.385,109.68,10.27,58.61
5.463,109.05,10.26,58.58
5.540,108.45,10.30,58.60
5.618,108.88,10.26,58.55
5.696,107.40,10.41,58.59
5.773,108.65,10.35,58.61
5.853,130.37,9.46,58.68
5.947,130.07,9.58,58.69
6.040,131.37,9.57,58.76
6.131,130.17,9.46,58.69
6.197,130.52,9.55,58.70
6.290,131.56,9.54,58.70
6.381,128.80,9.50,58.70
6.473,129.71,9.54,58.71
6.551,128.48,9.46,58.68
6.631,129.00,9.61,58.74
6.723,130.56,9.56,58.73
6.802,129.89,9.62,58.73
6.895,129.07,9.47,58.71
6.988,129.65,9.46,58.71
7.065,130.54,9.59,58.70
7.158,132.04,9.60,58.70
7.252,130.01,9.52,58.69
7.343,128.50,9.47,58.67
7.437,129.85,9.52,58.70
7.533,129.01,9.48,58.71
7.626,129.24,9.53,58.68
7.718,129.12,9.52,58.68
7.811,129.33,9.52,58.69
7.890,128.98,9.53,58.69
7.983,128.21,9.64,58.70
8.074,129.11,9.49,58.63
8.167,128.86,9.45,58.62
8.259,129.87,9.48,58.61
8.351,129.14,9.56,58.59
8.430,129.72,9.58,58.64
8.524,131.01,9.60,58.65
8.617,129.82,9.54,58.67
8.710,128.20,9.63,58.68
8.790,130.72,9.49,58.67
8.882,130.15,9.51,58.69
8.973,129.81,9.47,58.66
9.050,131.21,9.52,58.68
9.144,129.70,9.54,58.68
9.236,130.51,9.50,58.66
9.331,129.29,9.50,58.65
9.422,129.76,9.63,58.69
9.515,132.00,9.52,58.65
9.606,129.06,9.55,58.68
9.700,130.32,9.45,58.65
9.778,130.28,9.44,58.66
9.854,129.94,9.61,58.68
9.948,129.30,9.53,58.65
10.041,129.56,9.63,58.65
10.134,129.76,9.58,58.67
10.227,128.51,9.40,58.64
10.321,130.41,9.56,58.69
10.414,128.92,9.57,58.69
10.506,128.00,9.47,58.65
10.600,127.64,9.58,58.65
10.691,130.33,9.58,58.67
10.783,130.21,9.53,58.66
10.864,129.44,9.51,58.64
10.957,130.24,9.47,58.63
11.038,129.24,9.61,58.68
11.127,130.30,9.59,58.66
11.221,129.57,9.63,58.64
11.314,129.42,9.60,58.67
11.405,130.71,9.39,58.64
11.499,129.71,9.50,58.63
11.594,129.34,9.55,58.64
11.685,129.65,9.59,58.66
11.779,128.85,9.58,58.65
11.871,127.91,9.56,58.60
11.967,130.27,9.59,58.67
12.060,130.06,9.49,58.64
12.151,128.85,9.59,58.61
12.242,129.66,9.59,58.62
12.320,129.71,9.49,58.62
12.414,127.60,9.69,58.66
12.508,127.62,9.52,58.64
12.600,129.14,9.49,58.64
12.677,129.14,9.49,58.64
12.741,130.39,9.56,58.64
12.820,131.04,9.57,58.66
12.913,128.83,9.64,58.67
13.007,129.68,9.54,58.65
13.103,129.35,9.58,58.67
13.196,129.40,9.44,58.63
13.289,130.02,9.60,58.67
13.380,130.01,9.49,58.66
13.475,131.10,9.67,58.69
13.566,129.10,9.59,58.64
13.660,129.40,9.54,58.64
13.754,130.85,9.53,58.65
13.848,129.93,9.57,58.65
13.942,128.43,9.43,58.60
14.035,129.26,9.52,58.64
14.127,128.08,9.55,58.63
14.220,130.41,9.57,58.62
14.297,128.54,9.55,58.64
14.374,130.02,9.57,58.64
14.454,131.04,9.59,58.65
14.549,130.41,9.57,58.64
14.640,130.05,9.45,58.65
14.734,130.38,9.55,58.62
14.825,130.03,9.59,58.66
14.920,128.46,9.51,58.64
15.014,129.32,9.55,58.63
15.107,130.83,9.54,58.62
15.199,131.32,9.58,58.62
15.294,129.42,9.59,58.65
15.386,130.43,9.52,58.61
15.478,130.36,9.59,58.63
15.574,129.99,9.63,58.63
15.667,131.10,9.68,58.63
15.762,130.89,9.65,58.62
15.857,129.79,9.58,58.60
15.948,129.09,9.60,58.62
16.040,131.42,9.64,58.60
16.135,130.13,9.56,58.57
16.228,130.81,9.55,58.60
16.321,130.34,9.60,58.60
16.412,130.13,9.68,58.59
16.507,131.03,9.65,58.61
16.600,127.28,9.61,58.61
16.692,128.04,9.59,58.58
16.785,129.75,9.59,58.62
16.877,129.25,9.68,58.65
16.969,129.40,9.55,58.63
17.063,128.92,9.52,58.62
17.143,129.23,9.72,58.65
17.234,130.53,9.51,58.64
17.326,128.85,9.57,58.63
17.421,130.69,9.58,58.64
17.520,128.74,9.46,58.63
17.608,128.63,9.52,58.64
17.702,129.80,9.49,58.63
17.794,129.56,9.45,58.62
17.886,127.95,9.56,58.63
17.981,128.35,9.48,58.62
18.075,144.88,10.11,58.71
18.166,157.88,11.01,58.84
18.261,158.34,11.00,58.83
18.352,165.38,11.24,58.93
18.444,167.49,11.93,58.99
18.536,168.12,12.03,58.94
18.630,167.41,11.99,58.89
18.723,167.51,12.07,58.86
18.800,167.83,12.02,58.87
18.894,167.78,12.08,58.68
18.986,167.39,12.25,58.40
19.081,167.03,12.29,58.43
19.172,165.85,12.15,58.47
19.265,166.92,12.17,58.46
19.359,147.07,10.41,58.03
19.451,146.00,10.38,57.91
19.543,141.77,9.88,57.59
19.636,133.18,9.05,57.33
19.729,132.48,9.15,57.31
19.821,131.96,9.01,57.47
19.916,133.59,8.93,57.59
19.995,133.27,9.03,57.62
20.086,132.53,8.99,57.64
20.181,131.85,9.03,57.68
20.274,132.68,9.02,57.74
20.366,132.79,8.97,57.72
20.458,133.05,9.04,57.57
20.551,132.62,9.04,57.48
20.645,132.19,9.03,57.49
20.737,133.83,9.01,57.49
20.827,132.72,8.99,57.48
20.919,132.59,9.09,57.41
21.013,134.07,9.06,57.37
21.103,133.57,9.14,57.37
21.195,131.72,9.09,57.37
21.270,132.99,9.09,57.36
21.349,132.50,9.02,57.40
21.442,131.58,8.96,57.40
21.520,134.24,9.10,57.43
21.597,132.83,9.04,57.47
21.674,133.71,8.94,57.45
21.753,134.00,9.11,57.51
21.830,133.83,9.06,57.49
21.907,134.02,8.95,57.40
22.004,131.78,9.13,57.39
22.081,134.23,9.14,57.33
22.175,133.10,9.09,57.33
22.267,133.75,9.09,57.45
22.358,131.04,8.89,57.56
22.448,131.64,9.08,57.59
22.543,132.88,9.07,57.62
22.608,133.22,9.00,57.60
22.703,131.41,9.06,57.68
22.794,131.17,8.96,57.74
22.874,132.82,8.94,58.04
22.966,130.54,9.02,58.10
23.059,132.18,8.98,58.08
23.150,130.14,8.97,58.09
23.243,131.73,8.86,58.02
23.307,129.76,8.91,57.91
23.400,129.30,8.98,57.91
23.492,131.72,8.99,57.85
23.586,131.00,9.05,57.88
