time_s,H,S,V
0.058,165.58,40.94,15.86
0.152,153.30,40.75,15.89
0.244,136.32,41.17,15.85
0.336,147.42,40.20,15.88
0.429,152.73,41.75,15.91
0.521,147.95,40.61,15.87
0.615,152.49,39.84,15.79
0.708,170.00,40.33,15.76
0.800,147.45,39.61,15.79
0.894,151.87,41.24,15.84
0.987,156.19,39.71,15.79
1.079,149.84,41.09,15.84
1.173,143.82,41.26,15.81
1.266,147.53,41.84,15.88
1.359,152.85,42.18,15.88
1.451,152.06,41.04,15.81
1.544,155.29,40.99,15.86
1.639,165.76,40.19,15.82
1.733,161.00,40.90,15.86
1.826,155.30,40.83,15.83
1.919,170.97,40.84,15.80
2.011,149.61,42.53,15.88
2.105,154.25,42.45,15.92
2.198,150.12,41.15,15.81
2.289,156.19,41.44,15.88
2.381,156.19,41.44,15.88
2.476,143.54,42.22,15.94
2.556,156.88,41.93,15.94
2.648,155.68,40.77,15.79
2.739,155.68,40.77,15.79
2.834,176.03,41.58,15.89
2.926,140.55,41.39,15.86
3.005,151.84,42.12,15.92
3.098,157.27,42.12,15.93
3.176,155.95,43.07,15.98
3.256,149.75,42.37,15.93
3.348,154.13,41.93,15.90
3.443,148.53,42.02,15.86
3.522,154.28,42.78,15.94
3.614,147.76,41.97,15.97
3.708,150.00,42.15,15.92
3.799,149.61,43.00,15.96
3.891,141.84,41.74,15.92
3.986,146.16,41.69,15.94
4.080,142.62,42.35,15.97
4.173,149.53,41.29,15.96
4.265,150.50,41.61,15.94
4.345,149.71,41.71,15.98
4.438,148.48,42.26,16.04
4.531,142.10,42.57,15.95
4.625,150.57,41.89,15.88
4.718,153.25,43.42,16.06
4.811,144.20,41.88,15.99
4.903,148.19,42.05,15.96
4.997,134.14,41.83,16.01
5.091,153.92,41.95,15.96
5.183,138.19,40.48,15.88
5.277,143.50,42.56,16.00
5.370,147.73,40.88,15.92
5.461,155.58,42.33,15.95
5.554,162.71,42.24,15.99
5.649,147.84,42.58,15.99
5.744,146.21,41.81,16.00
5.835,155.78,42.34,15.94
5.914,157.21,41.78,15.99
5.992,164.10,41.87,15.97
6.087,146.41,41.99,15.95
6.163,142.15,41.73,15.95
6.241,149.08,41.95,15.93
6.336,158.55,42.62,16.01
6.427,160.68,43.06,16.03
6.524,166.73,42.31,15.96
6.616,153.61,42.16,15.98
6.708,133.28,41.80,16.01
6.803,153.08,41.72,15.96
6.895,158.38,41.70,15.99
6.988,148.48,42.18,16.10
7.080,142.87,41.55,15.98
7.157,139.57,42.36,16.03
7.249,131.38,42.94,16.08
7.343,145.07,42.07,16.10
7.436,143.68,42.94,16.13
7.530,136.22,42.46,16.06
7.621,147.59,42.25,16.05
7.715,140.93,41.87,16.01
7.808,159.97,40.51,15.96
7.904,146.25,41.76,15.95
7.995,136.44,40.31,15.85
8.089,164.15,42.22,16.01
8.182,147.17,42.33,15.92
8.274,157.22,41.15,15.95
8.368,162.19,41.02,15.89
8.461,161.69,41.88,16.01
8.554,147.46,41.31,15.99
8.632,140.90,42.28,15.97
8.725,166.37,40.68,15.89
8.802,152.12,40.36,15.95
8.851,146.27,41.37,15.96
8.944,156.01,41.97,15.95
9.038,144.64,41.38,15.87
9.130,153.00,41.76,15.91
9.224,145.72,40.20,15.85
9.317,147.55,41.96,15.99
9.411,158.85,40.88,15.92
9.504,158.49,40.38,15.83
9.598,152.94,39.72,15.90
9.691,143.51,41.03,15.83
9.785,164.09,41.69,15.91
9.878,148.29,40.60,15.88
9.971,143.24,41.83,15.90
10.066,147.66,40.86,15.84
10.157,150.92,41.97,15.90
10.249,164.87,41.37,15.85
10.329,160.98,41.12,15.87
10.424,156.15,41.42,15.92
10.517,167.15,41.59,15.83
10.610,160.76,41.38,15.83
10.701,147.42,41.37,15.85
10.779,136.09,41.68,15.90
10.874,144.99,42.27,15.87
10.967,144.67,41.54,15.87
11.061,161.59,42.35,15.94
11.153,160.22,40.68,15.78
11.245,156.04,41.66,15.90
11.338,153.72,41.96,15.90
11.432,152.85,41.65,15.89
11.523,170.58,41.68,15.88
11.618,165.61,42.57,15.90
11.711,169.05,43.68,15.94
11.806,152.01,41.52,15.86
11.899,153.99,42.23,15.91
11.994,159.25,42.34,15.90
12.085,153.91,41.99,15.89
12.178,159.25,41.68,15.88
12.271,162.39,41.03,15.83
12.349,162.39,41.03,15.83
12.443,146.85,40.26,15.80
12.536,149.68,41.04,15.83
12.630,147.60,41.24,15.91
12.724,157.53,40.63,15.86
12.818,154.02,40.64,15.83
12.911,127.77,40.54,16.10
13.004,145.84,40.40,16.05
13.082,131.09,40.63,16.06
13.176,148.87,40.55,16.06
13.269,127.17,41.99,16.11
13.361,154.00,41.03,16.05
13.453,129.82,40.98,16.04
13.546,144.52,40.50,15.97
13.626,147.38,41.82,15.99
13.719,150.63,41.78,16.08
13.813,143.17,40.88,16.04
13.907,138.80,40.87,16.04
14.001,123.54,40.48,16.10
14.092,111.98,41.18,16.25
14.185,113.36,41.00,16.32
14.281,118.72,40.08,16.27
14.372,111.43,39.76,16.29
14.465,109.73,41.12,16.39
14.559,115.60,39.01,16.21
14.651,108.01,41.45,16.44
14.747,115.86,40.36,16.26
14.840,123.75,39.52,16.19
14.933,106.26,39.80,16.21
15.027,117.73,39.75,16.17
15.121,120.05,40.74,16.27
15.213,129.41,40.23,16.22
15.308,121.72,38.85,16.21
15.402,131.53,40.43,16.15
15.494,131.57,40.83,16.19
15.586,141.45,40.52,16.07
15.679,138.57,40.13,16.03
15.771,150.51,40.27,16.04
15.864,146.11,41.94,16.14
15.957,147.02,40.26,16.04
16.053,141.06,41.27,16.08
16.147,149.16,40.66,16.03
16.241,158.57,40.78,16.04
16.307,146.92,40.67,15.99
16.435,142.59,40.58,16.00
16.491,155.25,39.91,15.92
16.544,136.42,40.22,15.92
16.596,147.25,40.06,15.93
16.648,144.06,40.09,16.00
16.705,150.33,39.26,15.91
16.758,156.89,40.81,15.99
16.809,150.28,40.06,15.98
16.861,160.90,40.44,16.04
16.912,152.75,40.22,15.97
16.964,153.65,39.93,15.95
17.017,143.47,41.57,16.06
17.123,159.27,39.93,15.98
17.200,147.73,40.32,16.00
17.295,166.20,39.77,15.95
17.388,153.74,40.17,15.94
17.466,166.22,39.78,16.02
17.529,149.94,38.91,15.96
17.681,146.32,40.61,16.04
17.738,166.67,41.16,16.12
17.806,156.85,40.69,16.04
17.862,141.49,40.74,16.01
17.917,142.24,41.09,16.07
17.973,145.68,41.29,16.10
18.028,147.68,39.64,15.98
18.084,152.25,40.26,16.01
18.139,140.79,40.15,16.01
18.197,140.79,40.15,16.01
18.251,151.74,39.36,15.99
18.307,149.46,40.41,16.01
18.362,158.72,40.44,15.97
18.417,153.29,40.05,16.00
18.470,146.36,39.53,16.02
18.524,163.94,40.43,16.06
18.577,153.76,40.10,16.02
18.631,145.17,40.19,16.01
18.688,144.03,39.74,15.96
18.741,155.09,40.61,16.06
18.833,153.76,40.58,16.02
18.888,153.76,40.58,16.02
18.947,152.65,39.04,15.94
19.001,143.80,40.31,16.04
19.057,149.78,39.29,15.89
19.111,148.68,39.86,16.01
19.165,145.95,40.42,15.97
19.225,155.10,40.30,15.95
19.282,153.71,38.59,15.90
19.346,145.91,39.33,15.96
19.401,151.86,40.01,15.91
19.455,140.84,39.71,15.96
19.512,140.99,39.79,15.98
19.564,151.33,39.99,16.00
19.617,146.18,40.11,16.02
19.675,160.40,40.88,16.10
19.731,164.05,39.44,16.02
19.788,160.24,39.22,15.97
19.852,137.70,39.29,15.94
19.929,150.08,39.87,15.97
20.035,147.75,40.72,16.01
20.116,145.94,40.45,16.01
20.223,150.79,41.29,16.06
20.301,159.66,39.84,15.94
20.375,146.51,38.51,15.86
20.452,157.69,39.39,15.90
20.515,156.05,39.29,15.91
20.592,150.06,40.37,15.98
20.669,158.36,39.51,15.96
20.749,149.22,38.63,15.90
20.824,159.38,38.90,15.87
20.901,142.94,39.83,15.91
20.979,165.11,39.75,15.95
21.058,148.52,39.16,15.87
21.221,147.49,39.66,15.94
21.271,133.22,39.47,15.93
21.322,144.61,38.90,15.90
21.371,145.04,39.10,15.88
21.421,148.72,40.68,15.97
21.472,140.84,40.06,15.99
21.528,154.73,39.83,15.92
21.620,156.81,38.60,15.87
21.671,146.74,39.18,15.92
21.732,152.64,39.74,15.90
21.781,149.37,39.01,15.92
21.828,149.63,39.18,15.90
21.877,156.92,39.17,15.92
21.927,148.16,38.78,15.84
21.975,158.20,40.40,15.96
22.028,145.22,38.81,15.87
22.080,146.21,40.85,15.96
22.131,154.03,39.15,15.92
22.184,153.68,40.41,15.93
22.238,160.17,40.56,15.93
22.291,160.35,40.73,15.98
22.348,155.98,39.36,15.91
22.396,148.00,39.43,15.92
22.445,157.80,40.29,15.92
22.495,149.30,39.34,15.92
22.543,146.41,39.31,15.93
22.591,144.49,39.31,16.01
22.640,142.59,40.18,16.00
22.689,141.20,40.13,16.00
22.738,147.28,39.72,15.92
22.788,152.45,39.98,15.98
22.837,136.47,40.46,15.92
22.887,137.64,39.39,15.92
22.937,139.74,39.42,15.98
22.984,151.20,38.66,15.96
23.042,149.99,38.97,15.93
23.094,151.29,39.46,15.97
23.149,149.15,39.22,15.93
23.200,147.95,38.20,15.90
23.248,141.64,39.60,15.94
23.297,138.94,39.64,15.98
23.346,138.94,39.64,15.98
23.398,147.13,39.71,15.97
23.449,145.80,39.31,15.92
23.500,159.49,38.76,15.90
23.550,145.83,39.00,15.92
23.599,142.35,38.82,15.89
23.648,150.31,39.15,15.91
23.695,150.31,39.15,15.91
23.745,154.95,38.95,15.94
23.795,151.92,38.21,15.92
23.842,146.89,38.87,15.82
23.891,135.96,38.37,15.92
23.941,152.09,38.43,15.92
23.991,145.86,38.93,15.94
24.043,141.36,38.88,15.88
24.093,139.25,38.17,15.85
24.143,151.68,38.83,15.95
24.190,144.70,38.34,15.93
24.241,153.99,38.73,15.90
24.290,147.49,39.00,15.92
24.341,141.81,38.42,15.92
24.389,150.51,38.56,15.88
24.438,141.43,38.74,15.89
24.488,150.08,38.90,15.92
24.538,151.17,38.94,15.95
24.587,148.43,38.55,15.88
24.637,151.35,38.43,15.88
24.688,133.57,38.68,15.89
24.738,151.06,38.57,15.88
24.785,153.85,39.03,15.89
24.835,149.31,40.25,15.97
24.885,150.04,38.51,15.83
24.941,153.23,38.80,15.88
24.989,148.49,38.95,15.90
25.037,162.78,39.26,15.82
25.084,139.20,38.93,15.84
25.139,157.61,38.56,15.78
25.191,150.49,39.36,15.91
25.243,139.75,39.06,15.79
25.294,159.50,38.77,15.80
25.345,167.11,38.44,15.78
25.399,153.68,39.00,15.84
25.456,156.54,38.48,15.79
25.509,154.22,38.32,15.78
25.560,144.30,38.93,15.82
25.610,138.43,38.82,15.86
25.660,154.75,39.11,15.84
25.712,143.88,39.11,15.88
25.762,141.50,39.25,15.83
25.813,164.28,39.99,15.89
25.866,150.08,38.33,15.78
25.918,150.65,38.70,15.88
25.972,156.72,38.97,15.88
26.022,150.77,39.40,15.86
26.076,136.80,38.32,15.86
26.131,137.39,38.46,15.84
26.191,153.49,37.92,15.84
26.243,146.27,39.00,15.85
26.294,153.32,38.47,15.84
26.350,154.89,39.08,15.82
26.406,151.40,38.39,15.85
26.464,138.78,39.26,15.85
26.520,145.09,39.25,15.84
26.575,160.89,38.85,15.85
26.629,135.42,38.72,15.82
26.684,160.50,39.44,15.83
26.740,152.51,38.71,15.83
26.794,158.49,39.28,15.86
26.851,149.15,37.67,15.83
26.908,146.47,38.85,15.81
26.968,147.02,38.41,15.83
27.025,150.87,38.55,15.84
27.076,146.95,39.09,15.85
27.135,142.45,39.39,15.91
27.188,133.74,39.43,15.87
27.245,155.74,39.18,15.86
27.301,144.00,39.15,15.93
27.361,145.54,38.87,15.87
27.416,147.40,38.63,15.80
27.474,147.40,38.63,15.80
27.531,154.89,38.36,15.80
27.586,155.76,39.41,15.87
27.643,150.59,37.78,15.82
27.702,143.60,38.65,15.80
27.761,146.59,38.73,15.81
27.815,146.87,38.04,15.80
27.872,146.54,39.58,15.82
27.934,145.71,38.76,15.83
27.988,145.22,38.22,15.82
28.043,144.87,38.81,15.82
28.095,151.88,37.80,15.83
28.150,145.00,38.14,15.78
28.210,157.27,38.52,15.85
28.284,144.37,38.16,15.78
28.336,160.91,37.96,15.76
28.387,138.38,36.94,15.71
28.444,158.66,38.66,15.75
28.496,144.58,38.01,15.77
28.549,161.22,38.97,15.85
28.608,149.96,38.76,15.79
28.661,150.30,38.01,15.78
28.715,147.55,36.83,15.75
28.771,146.07,37.95,15.80
28.822,146.58,38.30,15.78
28.875,134.40,38.25,15.82
