time_s,H,S,V
0.022,155.27,11.50,69.66
0.079,153.46,11.46,69.66
0.132,154.03,11.49,69.62
0.183,154.33,11.48,69.64
0.236,153.21,11.57,69.67
0.287,153.52,11.52,69.64
0.338,153.33,11.54,69.61
0.390,153.66,11.64,69.67
0.439,154.89,11.52,69.62
0.492,153.50,11.58,69.65
0.543,153.76,11.43,69.63
0.595,153.98,11.58,69.64
0.654,154.83,11.57,69.70
0.706,154.17,11.53,69.64
0.768,153.09,11.44,69.61
0.817,153.15,11.48,69.63
0.872,154.61,11.48,69.58
0.928,152.50,11.53,69.61
0.980,152.68,11.39,69.59
1.034,154.58,11.63,69.65
1.086,152.35,11.49,69.61
1.138,154.05,11.35,69.54
1.211,154.30,11.52,69.58
1.283,153.35,11.49,69.61
1.347,154.00,11.47,69.56
1.414,153.41,11.58,69.60
1.470,153.44,11.40,69.58
1.525,154.51,11.58,69.59
1.575,152.88,11.48,69.56
1.626,153.87,11.44,69.54
1.674,152.13,11.44,69.50
1.724,152.13,11.44,69.50
1.778,153.89,11.46,69.54
1.830,154.51,11.66,69.58
1.880,152.65,11.49,69.59
1.932,154.47,11.50,69.56
1.984,154.66,11.60,69.58
2.038,154.27,11.48,69.59
2.086,154.27,11.48,69.59
2.140,154.38,11.69,69.61
2.191,153.65,11.46,69.57
2.240,155.12,11.64,69.59
2.290,153.52,11.56,69.61
2.342,154.56,11.50,69.59
2.394,156.11,11.47,69.60
2.447,153.66,11.56,69.54
2.498,153.43,11.58,69.60
2.555,153.59,11.57,69.60
2.609,154.00,11.54,69.63
2.659,153.38,11.50,69.56
2.710,154.47,11.63,69.58
2.760,151.98,11.55,69.53
2.813,152.93,11.44,69.51
2.865,153.63,11.47,69.59
2.917,151.13,11.40,69.54
2.967,153.21,11.49,69.60
3.021,152.69,11.46,69.56
3.082,152.69,11.46,69.56
3.132,154.39,11.51,69.60
3.184,154.81,11.75,69.68
3.234,152.74,11.37,69.58
3.319,153.50,11.55,69.60
3.395,154.01,11.46,69.64
3.457,153.82,11.53,69.60
3.535,153.38,11.52,69.61
3.616,154.62,11.50,69.64
3.693,154.17,11.61,69.69
3.774,153.66,11.68,69.69
3.852,153.31,11.44,69.65
3.929,153.59,11.37,69.61
4.010,153.32,11.42,69.66
4.088,155.13,11.63,69.73
4.165,153.49,11.52,69.69
4.244,153.42,11.46,69.69
4.321,153.38,11.61,69.65
4.399,153.81,11.57,69.73
4.475,153.84,11.36,69.62
4.553,153.13,11.67,69.67
