time_s,H,S,V
0.029,161.81,12.01,70.60
0.085,162.57,12.14,70.66
0.140,162.76,12.08,70.74
0.195,162.18,12.09,70.73
0.246,162.29,12.16,70.74
0.303,162.16,12.01,70.72
0.351,162.33,11.99,70.65
0.410,162.22,12.02,70.65
0.462,161.73,11.99,70.67
0.515,161.49,12.04,70.74
0.570,162.48,12.04,70.97
0.620,163.79,11.74,72.27
0.677,151.46,11.06,70.20
0.729,150.06,11.18,69.70
0.781,154.26,11.32,71.42
0.834,150.40,11.23,70.06
0.882,147.43,11.80,68.93
0.933,144.61,11.32,70.09
0.980,139.37,11.35,69.42
1.029,143.29,11.40,66.75
1.079,143.29,11.40,66.75
1.130,133.64,11.31,62.55
1.192,126.27,12.03,58.36
1.268,155.32,11.29,66.24
1.333,151.29,11.54,62.63
1.387,139.50,11.29,61.66
1.449,131.08,11.65,59.17
1.504,132.04,11.56,59.29
1.554,132.06,11.56,59.16
1.610,132.63,11.53,59.37
1.665,131.96,11.46,59.32
1.717,130.67,11.54,59.17
1.770,132.23,11.64,59.12
1.825,132.22,11.54,59.21
1.880,132.26,11.57,59.24
1.934,131.32,11.56,59.23
1.984,132.41,11.54,59.29
2.034,132.39,11.45,59.29
2.086,132.63,11.48,59.28
2.138,132.63,11.48,59.28
2.189,132.43,11.57,59.43
2.241,131.18,11.57,59.43
2.290,132.47,11.47,59.36
2.343,131.92,11.50,59.32
2.393,131.51,11.44,59.39
2.444,132.38,11.51,59.38
2.495,132.23,11.53,59.34
2.548,131.10,11.51,59.34
2.600,131.49,11.52,59.33
2.655,132.41,11.46,59.32
2.712,131.20,11.56,59.31
2.765,130.43,11.41,59.22
2.817,131.62,11.38,59.21
2.873,130.92,11.57,59.25
2.921,131.40,11.35,59.24
2.974,131.08,11.37,59.20
3.026,130.72,11.49,59.18
3.099,130.83,11.47,59.16
3.148,130.83,11.47,59.16
3.202,130.19,11.52,59.16
3.254,131.20,11.45,59.16
3.307,129.78,11.37,59.12
3.356,129.79,11.50,59.12
3.405,131.78,11.48,59.18
3.457,131.10,11.51,59.14
3.508,130.58,11.51,59.15
3.563,130.18,11.59,59.19
3.612,130.62,11.56,59.11
3.663,130.11,11.61,59.14
3.714,131.54,11.52,59.12
3.771,131.84,11.55,59.12
3.824,130.50,11.56,59.11
3.877,129.92,11.48,59.09
3.928,128.88,11.49,59.11
3.980,130.17,11.64,59.12
4.033,130.25,11.53,59.13
4.084,129.46,11.55,59.11
4.135,130.18,11.55,59.13
4.186,130.23,11.50,59.22
4.239,130.69,11.44,59.26
4.290,130.37,11.56,59.26
4.341,131.12,11.57,59.28
4.394,130.92,11.54,59.28
4.445,130.75,11.42,59.28
4.495,128.66,11.48,59.26
4.544,129.63,11.46,59.28
4.595,130.59,11.52,59.31
4.648,130.24,11.50,59.28
4.700,130.77,11.46,59.31
4.749,129.76,11.43,59.27
4.802,129.80,11.53,59.32
4.853,129.11,11.43,59.27
4.906,129.89,11.39,59.28
4.958,130.28,11.45,59.27
5.008,128.99,11.54,59.31
5.060,129.29,11.64,59.27
5.111,129.76,11.61,59.28
5.166,129.59,11.52,59.28
5.214,130.37,11.34,59.23
5.267,129.68,11.55,59.29
5.317,129.39,11.58,59.29
5.368,130.25,11.40,59.27
5.419,129.36,11.42,59.29
5.473,129.50,11.38,59.26
5.521,128.26,11.47,59.27
5.571,129.11,11.44,59.28
5.622,130.28,11.45,59.28
5.675,129.53,11.48,59.26
