time_s,H,S,V
0.038,124.82,11.29,58.27
0.087,121.47,11.31,58.17
0.136,124.72,11.19,58.29
0.184,125.49,11.20,58.19
0.232,122.02,11.28,58.27
0.282,125.00,11.04,58.20
0.331,122.21,11.31,58.19
0.382,123.22,11.37,58.25
0.430,123.53,11.41,58.22
0.478,123.50,11.19,58.21
0.528,123.54,11.29,58.18
0.575,124.29,11.33,58.21
0.624,122.68,11.31,58.19
0.674,123.72,11.18,58.18
0.724,122.37,11.32,58.17
0.772,122.15,11.29,58.23
0.823,122.34,11.38,58.19
0.874,122.78,11.38,58.16
0.924,121.77,11.12,58.16
0.975,123.19,11.27,58.14
1.026,121.51,11.41,58.21
1.076,122.91,11.30,58.20
1.130,124.71,11.19,58.18
1.188,121.96,11.24,58.19
1.250,122.55,11.43,58.19
1.312,123.09,11.26,58.13
1.374,121.24,11.32,58.18
1.426,124.89,11.12,58.11
1.477,123.15,11.24,58.15
1.529,120.73,11.29,58.15
1.579,125.37,11.35,58.17
1.628,123.39,11.18,58.16
1.676,124.22,11.35,58.18
1.727,124.75,11.25,58.16
1.776,122.11,11.31,58.18
1.825,124.03,11.24,58.18
1.874,125.04,11.12,58.13
1.924,123.60,11.35,58.21
1.973,124.26,11.28,58.16
2.025,122.68,11.29,58.18
2.077,124.37,11.28,58.18
2.125,123.23,11.30,58.17
2.176,123.78,11.26,58.14
2.226,124.41,11.21,58.15
2.277,123.92,11.48,58.09
2.329,122.03,11.29,58.05
2.379,122.79,11.33,58.00
2.429,122.79,11.33,58.00
2.480,125.47,11.43,58.01
2.531,124.69,11.17,57.93
2.578,124.64,11.36,57.97
2.631,123.67,11.30,57.94
2.680,123.96,11.25,57.92
2.730,123.43,11.30,57.97
2.780,120.79,11.34,57.98
2.841,124.42,11.31,57.97
2.891,123.06,11.28,58.03
2.942,124.38,11.23,57.99
2.993,123.75,11.39,58.01
3.045,123.52,11.20,58.02
3.093,123.40,11.36,58.04
3.145,123.00,11.35,58.03
3.195,121.78,11.27,58.06
3.244,123.45,11.29,58.09
3.294,122.86,11.31,58.09
3.349,123.80,11.22,58.11
3.398,123.24,11.22,58.08
3.448,123.92,11.29,58.09
3.501,120.88,11.32,58.12
3.548,123.36,11.37,58.12
3.599,123.30,11.16,58.08
3.646,121.12,11.27,58.10
3.693,124.00,11.38,58.12
3.745,122.11,11.37,58.13
3.795,122.61,11.36,58.13
3.844,122.77,11.26,58.10
3.895,121.84,11.33,58.12
3.949,122.06,11.10,58.12
3.997,123.35,11.43,58.12
4.044,124.26,11.17,58.14
4.091,121.85,11.31,58.10
4.142,121.85,11.31,58.10
4.190,121.63,11.23,58.12
4.241,123.36,11.32,58.05
4.291,122.17,11.31,58.10
4.338,123.59,11.37,58.11
4.388,123.15,11.42,58.08
4.440,122.08,11.36,58.10
4.492,122.46,11.26,58.07
4.542,123.13,11.33,58.06
4.592,119.41,11.47,58.03
4.644,122.97,11.39,58.01
4.691,122.22,11.41,58.00
4.743,121.60,11.32,58.03
4.795,123.81,11.35,57.98
4.845,122.29,11.33,58.00
4.894,124.00,11.33,57.99
4.945,124.67,11.29,57.94
4.995,120.84,11.38,57.97
5.045,121.84,11.29,57.95
5.095,124.11,11.37,57.97
5.145,122.78,11.35,57.98
5.196,123.03,11.47,57.96
5.243,122.06,11.28,57.95
5.295,121.80,11.38,58.00
5.352,122.46,11.34,57.96
5.403,121.50,11.41,58.01
5.454,123.36,11.38,58.00
5.504,122.84,11.41,57.97
5.555,121.65,11.32,58.00
5.603,123.86,11.48,57.99
5.653,124.49,11.36,57.99
5.707,122.31,11.30,58.02
5.754,125.58,11.23,58.04
5.805,123.05,11.40,58.06
5.854,123.43,11.37,58.08
5.907,123.65,11.26,58.02
5.958,120.80,11.38,58.09
6.011,121.13,11.38,58.03
6.061,123.60,11.37,58.02
6.109,121.65,11.31,58.06
6.158,121.39,11.32,58.00
6.209,122.75,11.41,58.00
6.260,122.58,11.48,58.07
6.310,120.50,11.50,57.99
6.367,122.04,11.38,57.93
6.417,121.73,11.42,57.94
6.468,122.36,11.41,57.91
6.518,121.88,11.38,57.96
6.568,121.50,11.26,57.92
6.617,121.19,11.39,57.87
6.668,121.34,11.43,57.93
6.714,121.94,11.46,57.90
6.766,122.87,11.40,57.89
6.813,122.42,11.41,57.89
6.865,123.51,11.35,57.85
6.913,124.50,11.46,57.87
6.962,122.21,11.29,57.84
7.011,122.94,11.28,57.83
7.061,121.57,11.41,57.88
7.109,122.15,11.32,57.82
7.158,122.33,11.26,57.77
7.212,122.22,11.36,57.83
7.264,124.06,11.32,57.83
7.312,124.74,11.37,57.81
7.361,122.06,11.31,57.85
7.411,123.46,11.27,57.79
7.463,122.13,11.42,57.85
7.512,123.40,11.49,57.85
7.561,120.58,11.39,57.87
7.612,122.25,11.56,57.80
7.662,123.55,11.32,57.83
7.710,123.13,11.45,57.84
7.760,122.62,11.41,57.86
7.814,122.24,11.35,57.84
7.865,123.83,11.32,57.81
7.915,121.10,11.41,57.82
7.968,120.81,11.43,57.86
8.017,123.02,11.39,57.81
8.068,121.96,11.55,57.85
8.116,122.08,11.35,57.85
8.168,121.35,11.54,57.88
8.217,123.56,11.36,57.86
8.272,120.51,11.40,57.84
8.330,122.77,11.52,57.87
8.376,120.95,11.48,57.89
8.425,123.23,11.45,57.88
8.476,122.30,11.27,57.85
8.527,121.45,11.41,57.81
8.577,122.15,11.41,57.87
8.627,122.15,11.41,57.87
8.677,122.65,11.54,57.90
8.729,121.37,11.46,57.79
8.780,121.43,11.26,57.82
8.830,122.51,11.43,57.83
8.880,121.45,11.37,57.84
8.930,122.58,11.37,57.81
8.979,122.58,11.37,57.81
9.028,121.27,11.36,57.78
9.080,119.99,11.34,57.80
9.130,123.19,11.41,57.78
9.184,122.42,11.45,57.80
9.238,123.04,11.37,57.80
9.290,122.05,11.39,57.76
9.339,120.65,11.43,57.82
9.389,120.74,11.32,57.72
9.442,121.53,11.34,57.74
9.489,122.00,11.41,57.80
9.539,123.85,11.44,57.78
9.594,122.38,11.42,57.76
9.647,121.62,11.34,57.74
9.697,121.38,11.40,57.70
9.744,123.54,11.50,57.78
9.792,121.92,11.46,57.77
9.842,121.92,11.53,57.71
9.891,122.85,11.38,57.78
9.942,122.66,11.49,57.73
9.996,121.54,11.45,57.72
10.045,120.62,11.33,57.73
10.094,122.91,11.56,57.74
10.145,121.01,11.48,57.69
10.194,122.44,11.40,57.71
10.246,123.78,11.40,57.68
10.301,121.58,11.52,57.70
10.353,121.11,11.35,57.72
10.403,122.73,11.40,57.66
10.455,121.41,11.41,57.74
10.508,121.57,11.34,57.75
10.560,121.61,11.47,57.82
10.610,120.85,11.37,57.88
10.663,121.56,11.39,57.90
10.716,122.32,11.47,57.94
10.768,120.48,11.35,57.89
10.820,122.73,11.32,57.86
10.870,120.37,11.51,57.91
10.918,120.67,11.51,57.94
10.970,121.96,11.52,57.93
11.019,121.18,11.39,57.94
11.070,123.92,11.34,57.93
11.118,123.33,11.35,57.91
11.172,121.24,11.32,57.94
11.227,121.17,11.36,57.91
11.280,120.39,11.48,57.93
11.331,120.57,11.48,57.98
11.379,122.22,11.27,57.87
11.430,119.46,11.44,57.91
11.476,121.88,11.48,57.96
11.530,122.68,11.42,57.92
11.580,121.09,11.48,57.98
11.631,123.38,11.42,57.92
11.679,122.29,11.35,57.96
11.731,122.73,11.38,57.94
11.778,121.31,11.44,57.93
11.828,122.28,11.46,57.98
11.878,120.96,11.46,57.97
11.931,122.98,11.51,57.92
11.982,121.01,11.36,57.94
12.032,121.01,11.36,57.94
12.083,120.65,11.38,57.91
12.135,121.39,11.41,57.97
12.183,121.63,11.39,57.91
12.239,121.25,11.48,57.92
12.286,119.92,11.48,57.95
12.339,121.97,11.44,57.90
12.388,121.71,11.38,57.94
12.439,121.71,11.38,57.94
12.493,121.81,11.42,57.95
12.545,120.93,11.39,57.98
12.594,120.38,11.35,57.91
12.642,121.13,11.58,57.99
12.691,119.51,11.50,57.97
12.742,123.18,11.35,57.95
12.790,120.00,11.33,57.90
12.844,119.74,11.37,57.95
12.893,119.80,11.42,57.95
12.944,121.28,11.33,57.96
12.994,121.24,11.41,57.96
13.043,120.85,11.43,57.93
13.093,120.90,11.43,57.96
13.145,119.65,11.46,57.96
13.200,121.73,11.52,57.97
13.252,121.08,11.35,57.95
13.304,122.84,11.27,57.92
13.354,121.38,11.43,57.94
13.405,121.79,11.36,57.97
13.455,121.22,11.31,57.97
13.507,121.08,11.33,57.94
13.558,119.71,11.38,57.94
13.610,120.45,11.32,57.93
13.659,122.04,11.32,57.95
13.708,121.12,11.22,57.95
13.757,121.22,11.43,57.96
13.809,119.97,11.57,57.96
13.862,118.63,11.54,57.97
13.911,119.96,11.42,57.91
13.959,120.82,11.38,57.98
14.013,120.21,11.53,57.96
14.064,120.14,11.40,57.96
14.114,120.14,11.40,57.96
14.167,121.91,11.31,57.96
14.219,121.13,11.46,57.93
14.269,118.53,11.50,57.96
14.316,120.15,11.50,57.97
14.365,120.43,11.42,57.90
14.415,118.55,11.33,57.93
14.465,120.43,11.53,57.94
14.515,120.24,11.37,57.94
14.564,119.51,11.26,57.94
14.614,120.97,11.37,57.92
14.664,118.42,11.52,57.98
14.712,120.01,11.45,57.98
14.762,120.81,11.48,57.99
14.814,119.51,11.55,58.00
14.862,121.37,11.45,57.96
14.913,119.43,11.62,57.98
14.962,119.68,11.48,57.99
15.013,121.08,11.39,57.95
15.063,119.83,11.62,58.02
15.113,118.29,11.50,57.98
15.166,120.11,11.53,57.94
15.215,121.25,11.54,57.99
15.266,119.78,11.53,57.95
15.317,121.72,11.50,57.92
15.372,119.27,11.54,57.96
15.423,121.69,11.40,57.93
15.470,120.61,11.42,57.94
15.520,118.27,11.45,57.95
15.571,119.93,11.59,57.93
15.622,119.21,11.50,57.94
15.677,118.20,11.40,57.91
15.730,120.46,11.61,57.92
15.777,117.70,11.53,57.93
15.830,119.78,11.58,57.96
15.885,118.98,11.51,57.92
15.942,118.33,11.52,57.97
15.997,120.52,11.34,57.92
16.050,118.44,11.56,57.94
16.104,119.69,11.64,58.00
16.158,119.60,11.53,57.90
16.212,120.48,11.45,57.92
16.271,118.72,11.51,57.90
16.328,120.41,11.55,57.91
16.381,120.05,11.47,57.95
16.436,119.83,11.40,57.92
16.489,119.97,11.59,57.93
16.547,120.19,11.59,58.00
16.598,120.22,11.50,57.94
16.651,120.40,11.50,57.97
16.705,117.84,11.34,57.94
16.757,118.77,11.44,57.89
16.812,119.38,11.56,57.98
16.865,120.64,11.52,57.99
16.916,121.69,11.56,57.96
16.968,120.40,11.60,58.01
17.019,121.23,11.44,57.95
17.071,117.74,11.57,57.90
17.122,118.25,11.65,57.97
17.177,119.51,11.46,57.94
17.232,119.51,11.46,57.94
17.281,119.35,11.48,57.92
17.335,119.74,11.60,57.89
17.385,118.49,11.59,57.95
17.439,120.76,11.52,57.96
17.489,119.63,11.50,57.94
17.545,119.76,11.51,57.94
17.600,118.76,11.51,57.99
17.651,119.10,11.69,57.94
17.705,119.88,11.43,57.94
17.757,119.77,11.50,57.92
17.809,118.42,11.39,57.91
17.860,118.56,11.53,57.95
17.912,119.57,11.54,57.92
17.963,119.02,11.50,57.90
18.017,118.28,11.46,57.96
18.071,120.99,11.47,57.94
18.121,119.52,11.45,57.97
18.174,119.15,11.47,57.90
18.225,120.94,11.50,57.90
18.274,118.16,11.48,57.93
18.324,119.06,11.60,57.95
18.377,119.57,11.44,57.90
18.436,118.39,11.58,57.91
18.490,119.40,11.57,57.95
18.545,118.66,11.40,57.95
18.595,118.66,11.40,57.95
18.644,118.39,11.47,57.91
18.699,117.98,11.40,57.92
18.752,116.90,11.61,57.95
18.804,119.29,11.61,57.92
18.855,118.92,11.54,57.95
18.910,119.12,11.45,57.90
18.960,118.86,11.63,57.91
19.014,117.24,11.70,57.93
19.064,117.57,11.63,57.88
19.116,120.06,11.49,57.88
19.169,118.49,11.52,57.95
19.221,121.17,11.52,57.92
19.273,118.82,11.56,57.91
19.323,118.98,11.47,57.95
19.375,118.61,11.43,57.87
19.425,118.63,11.58,57.95
19.477,118.67,11.48,57.92
19.531,119.79,11.55,57.90
19.585,119.31,11.59,57.91
19.639,119.04,11.56,57.88
19.690,119.44,11.59,57.87
19.743,116.80,11.46,57.91
19.794,118.08,11.55,57.88
19.848,119.41,11.55,57.91
19.902,118.78,11.52,57.89
19.958,119.24,11.53,57.86
20.010,118.96,11.30,57.90
20.062,118.49,11.46,57.92
20.113,118.38,11.61,57.88
20.177,118.64,11.72,57.94
20.229,119.66,11.65,57.89
20.279,120.50,11.53,57.87
20.331,118.29,11.52,57.91
20.379,119.15,11.63,57.87
20.433,118.85,11.61,57.89
20.482,118.78,11.58,57.91
20.531,120.57,11.47,57.85
20.580,119.01,11.57,57.91
20.629,117.93,11.71,57.90
20.678,119.84,11.44,57.84
20.728,118.72,11.48,57.88
20.776,117.72,11.62,57.82
20.825,120.00,11.67,57.77
20.875,118.51,11.65,57.75
20.925,119.13,11.40,57.62
20.975,120.95,11.47,57.41
21.028,120.21,11.43,57.36
21.075,120.38,11.61,57.33
21.125,118.70,11.52,57.40
21.173,120.49,11.60,57.42
21.225,120.11,11.57,57.44
21.274,118.34,11.59,57.64
21.332,119.55,11.43,57.64
21.380,117.98,11.68,57.73
21.433,116.99,11.57,57.77
21.483,117.09,11.66,57.78
21.532,116.94,11.72,57.92
21.582,117.41,11.68,57.86
21.632,118.23,11.55,57.85
21.680,117.33,11.73,57.92
21.731,117.19,11.53,57.86
21.779,118.07,11.70,57.88
21.833,118.62,11.64,57.89
21.882,118.34,11.58,57.87
21.937,118.09,11.69,57.87
21.984,118.59,11.55,57.84
22.035,119.75,11.57,57.78
22.084,119.75,11.57,57.78
22.134,119.41,11.63,57.77
22.181,120.14,11.62,57.71
22.233,118.68,11.53,57.74
22.288,120.92,11.58,57.74
22.343,120.47,11.70,57.73
22.394,119.49,11.66,57.72
22.444,120.33,11.50,57.70
22.494,119.67,11.55,57.74
22.544,117.62,11.67,57.75
22.596,120.57,11.51,57.73
22.647,119.06,11.61,57.74
22.701,117.60,11.75,57.77
22.750,118.71,11.73,57.77
22.800,119.55,11.58,57.73
22.848,119.55,11.70,57.78
22.899,119.68,11.53,57.66
22.950,118.60,11.59,57.63
23.002,120.51,11.52,57.53
23.051,120.47,11.49,57.34
23.103,121.01,11.53,57.36
23.151,122.79,11.50,57.15
23.202,127.98,11.57,56.87
23.252,125.25,11.62,56.67
23.302,126.84,11.66,56.44
23.352,129.19,11.60,56.23
23.407,135.17,12.38,54.72
23.457,136.97,12.44,54.54
23.506,137.59,12.24,54.66
23.558,138.36,12.08,55.01
23.609,139.54,12.15,54.93
23.662,137.49,12.08,54.94
23.712,137.93,12.19,54.96
23.763,137.93,12.19,54.96
23.812,138.17,12.06,55.01
23.866,138.38,12.07,55.04
23.913,138.20,12.34,55.04
23.966,137.48,12.06,54.97
24.019,135.87,12.00,54.98
24.070,134.17,12.20,55.18
24.122,133.95,13.02,54.19
24.173,134.53,12.94,53.82
24.222,132.09,13.07,53.93
24.274,133.46,12.79,54.09
24.325,132.93,12.78,54.15
24.374,131.41,12.93,53.85
24.426,133.08,13.29,53.46
24.476,127.86,11.64,56.27
24.534,125.14,11.60,56.67
24.585,121.81,11.61,56.94
24.637,122.65,11.62,57.31
24.686,121.19,11.66,57.46
24.737,117.49,11.72,57.49
24.793,116.53,11.86,57.60
24.844,117.04,11.70,57.56
24.894,116.36,11.82,57.54
24.944,116.33,11.89,57.55
24.995,116.41,11.72,57.44
25.045,116.05,11.80,57.39
25.094,116.97,11.86,57.46
25.155,118.71,11.74,57.37
25.228,116.71,11.79,57.44
25.283,117.98,11.68,57.50
25.334,114.80,11.95,57.49
25.387,113.85,11.98,57.56
25.439,113.91,11.98,57.54
25.491,114.08,11.94,57.57
25.542,113.40,11.92,57.57
25.598,113.42,11.93,57.55
25.649,112.81,11.99,57.55
25.701,112.58,12.09,57.59
25.752,112.31,12.02,57.55
25.805,113.46,11.91,57.58
25.858,112.44,12.05,57.65
25.908,112.64,12.04,57.62
25.960,111.23,12.05,57.69
26.016,112.36,12.06,57.74
26.067,112.91,12.07,57.73
26.122,110.99,12.02,57.70
26.179,113.86,12.08,57.72
26.235,111.96,12.07,57.70
26.294,110.75,12.08,57.71
26.353,111.20,12.25,57.70
26.408,110.64,12.23,57.74
26.464,110.39,12.19,57.75
26.519,111.44,12.15,57.69
26.575,111.43,12.11,57.72
26.631,111.65,12.17,57.71
26.685,111.01,12.35,57.73
26.740,108.94,12.37,57.74
26.797,110.06,12.45,57.69
26.852,108.84,12.43,57.68
26.908,109.46,12.39,57.67
26.966,108.44,12.55,57.65
27.022,107.53,12.52,57.66
27.078,107.69,12.62,57.68
27.134,108.07,12.62,57.65
27.196,106.68,12.63,57.69
27.253,106.68,12.63,57.69
27.314,106.26,12.68,57.65
27.371,104.89,12.82,57.65
27.432,106.64,12.78,57.61
27.491,105.85,12.84,57.58
27.548,104.96,12.95,57.62
27.604,103.77,12.97,57.59
27.665,104.72,12.86,57.56
27.721,102.98,13.04,57.54
27.778,103.60,12.97,57.56
27.838,100.60,13.24,57.54
27.896,100.60,13.24,57.54
27.955,101.24,13.40,57.45
28.016,98.47,13.56,57.47
28.069,97.97,13.78,57.39
28.131,95.60,13.79,57.39
28.191,96.17,13.86,57.39
28.248,94.04,13.97,57.32
28.299,93.18,14.18,57.32
28.351,91.15,14.30,57.33
28.414,90.72,14.33,57.26
28.475,90.60,14.53,57.23
28.529,84.78,15.85,57.10
28.581,84.78,15.85,57.10
28.631,83.93,16.16,57.11
28.682,81.52,16.39,57.09
28.735,76.77,18.17,57.00
28.788,75.88,18.80,57.06
28.846,75.36,19.09,56.97
28.902,72.92,20.29,56.94
28.956,72.92,20.29,56.94
29.010,69.14,23.74,56.67
29.067,67.60,24.70,56.70
29.128,66.28,25.95,56.63
29.185,65.80,27.05,56.51
29.240,61.89,33.76,56.65
29.296,61.54,35.61,56.52
29.348,60.73,37.80,56.55
29.404,61.63,38.26,56.29
29.455,58.11,46.91,56.34
29.506,57.54,49.37,56.39
29.558,56.59,50.97,56.52
29.612,56.08,53.22,56.40
29.663,55.37,55.81,56.59
29.717,55.87,56.54,56.06
29.773,53.43,65.26,56.11
29.825,52.79,67.22,56.28
29.878,53.63,68.76,55.70
29.930,52.89,70.49,55.80
29.986,52.60,71.92,55.89
30.038,50.79,78.00,55.86
30.087,50.69,79.23,55.81
30.141,50.27,80.61,55.88
30.193,50.26,81.35,55.67
30.251,49.63,82.50,55.80
30.306,48.48,85.75,55.72
30.356,48.17,86.25,55.69
30.408,47.93,86.65,55.66
30.460,47.66,86.91,55.48
