time_s,H,S,V
0.024,132.82,11.81,59.34
0.079,132.14,11.77,59.33
0.133,131.48,11.58,59.35
0.186,131.28,11.74,59.34
0.239,130.38,11.68,59.34
0.294,132.17,11.66,59.32
0.344,131.92,11.71,59.33
0.396,130.68,11.59,59.34
0.448,131.47,11.58,59.34
0.498,131.56,11.63,59.30
0.550,131.95,11.58,59.34
0.600,129.06,11.54,59.34
0.646,131.99,11.63,59.34
0.701,130.74,11.60,59.38
0.752,131.69,11.62,59.29
0.803,131.32,11.68,59.33
0.855,131.02,11.54,59.36
0.906,130.98,11.61,59.28
0.958,130.74,11.50,59.33
1.008,130.76,11.53,59.33
1.060,130.55,11.59,59.31
1.106,130.12,11.54,59.34
1.155,132.14,11.71,59.34
1.213,130.32,11.65,59.34
1.263,129.86,11.51,59.36
1.311,131.47,11.73,59.29
1.359,129.61,11.56,59.32
1.405,130.69,11.51,59.30
1.453,131.65,11.56,59.29
1.501,129.39,11.63,59.33
1.549,131.53,11.67,59.34
1.597,131.46,11.63,59.30
1.645,130.07,11.66,59.32
1.692,133.02,11.78,59.34
1.741,130.35,11.64,59.34
1.791,129.81,11.53,59.30
1.840,132.13,11.81,59.34
1.888,131.42,11.55,59.33
1.938,131.07,11.56,59.31
1.989,130.57,11.76,59.32
2.038,131.03,11.64,59.32
2.089,131.98,11.52,59.28
2.140,131.70,11.65,59.31
2.190,130.34,11.56,59.34
2.241,132.71,11.75,59.32
2.294,131.77,11.58,59.32
2.348,129.63,11.52,59.33
2.398,129.60,11.58,59.32
2.450,129.44,11.62,59.36
2.501,130.06,11.44,59.28
2.556,130.55,11.68,59.32
2.606,129.17,11.53,59.33
2.657,132.66,11.66,59.30
2.706,129.01,11.62,59.27
2.757,130.22,11.69,59.33
2.806,129.62,11.48,59.23
2.857,128.52,11.56,59.29
2.907,129.13,11.53,59.28
2.956,130.38,11.58,59.27
3.006,129.38,11.45,59.30
3.056,131.54,11.63,59.31
3.105,131.23,11.58,59.29
3.157,130.50,11.60,59.30
3.208,131.15,11.54,59.28
3.256,129.34,11.59,59.33
3.306,129.50,11.69,59.33
3.359,130.17,11.61,59.27
3.411,128.92,11.54,59.32
3.463,129.64,11.50,59.27
3.515,129.00,11.50,59.29
3.566,129.04,11.61,59.36
3.619,132.02,11.67,59.33
3.673,129.68,11.53,59.32
3.725,130.27,11.54,59.29
3.777,131.68,11.61,59.30
3.831,129.49,11.61,59.32
3.883,128.88,11.45,59.29
3.930,129.17,11.54,59.32
3.981,130.45,11.62,59.35
4.031,130.60,11.68,59.31
4.080,131.14,11.62,59.31
4.128,130.36,11.57,59.32
4.180,130.83,11.50,59.28
4.228,130.83,11.50,59.28
4.281,130.84,11.57,59.31
4.332,131.75,11.52,59.28
4.385,129.87,11.59,59.31
4.436,129.71,11.60,59.25
4.490,132.10,11.64,59.29
4.539,130.95,11.67,59.31
4.591,128.97,11.51,59.30
4.641,128.15,11.67,59.36
4.692,129.92,11.49,59.28
4.741,130.54,11.58,59.28
4.794,130.05,11.45,59.28
4.843,131.79,11.56,59.32
4.894,130.22,11.62,59.29
4.946,129.86,11.56,59.29
4.996,129.96,11.60,59.31
5.047,129.97,11.64,59.28
5.096,130.27,11.77,59.34
5.150,130.20,11.56,59.30
5.202,130.20,11.56,59.30
5.253,129.51,11.70,59.30
5.303,130.81,11.76,59.30
5.356,131.15,11.70,59.27
5.404,131.37,11.60,59.26
5.450,130.32,11.52,59.29
5.498,129.98,11.62,59.30
5.545,129.98,11.62,59.30
5.595,129.88,11.60,59.25
5.647,131.85,11.74,59.33
5.694,129.94,11.57,59.27
5.745,131.54,11.75,59.28
5.796,128.22,11.56,59.31
5.846,129.99,11.60,59.28
5.900,129.68,11.65,59.31
5.952,130.15,11.52,59.30
6.003,130.37,11.62,59.25
6.053,129.27,11.62,59.32
6.102,131.54,11.61,59.33
6.156,131.39,11.75,59.29
6.206,129.75,11.70,59.32
6.257,131.38,11.58,59.26
6.310,129.23,11.67,59.31
6.360,129.89,11.55,59.28
6.413,130.82,11.66,59.26
6.466,130.43,11.67,59.28
6.520,129.74,11.56,59.28
6.570,132.17,11.52,59.23
6.621,130.76,11.57,59.32
6.670,129.55,11.55,59.28
6.720,130.66,11.72,59.28
6.772,128.30,11.47,59.28
6.822,130.17,11.58,59.24
6.873,131.03,11.66,59.29
6.923,130.10,11.54,59.27
6.974,131.28,11.73,59.28
7.025,129.82,11.54,59.29
7.076,130.79,11.60,59.27
7.127,131.04,11.72,59.26
7.175,130.98,11.60,59.32
7.228,131.67,11.69,59.26
7.281,129.66,11.64,59.29
7.333,128.78,11.51,59.25
7.385,130.68,11.68,59.24
7.437,130.02,11.54,59.28
7.491,131.64,11.67,59.30
7.541,131.46,11.59,59.24
7.592,129.45,11.62,59.29
7.638,129.28,11.48,59.26
7.684,129.25,11.61,59.25
7.732,129.08,11.42,59.25
7.781,129.73,11.55,59.24
7.835,129.07,11.69,59.29
7.885,129.98,11.54,59.27
7.935,130.81,11.73,59.29
7.989,130.50,11.62,59.28
8.040,128.58,11.63,59.27
8.091,129.02,11.60,59.25
8.145,129.43,11.48,59.28
8.197,130.37,11.58,59.23
8.247,129.03,11.63,59.30
8.298,130.41,11.60,59.31
8.349,130.82,11.68,59.26
8.402,129.73,11.55,59.29
8.453,129.56,11.62,59.27
8.506,130.93,11.68,59.27
8.556,128.51,11.67,59.33
8.606,131.02,11.54,59.24
8.660,131.09,11.75,59.30
8.712,131.02,11.57,59.32
8.763,131.53,11.67,59.26
8.817,131.49,11.74,59.34
8.869,132.33,11.69,59.31
8.918,130.51,11.51,59.25
8.969,129.34,11.63,59.31
9.022,129.34,11.63,59.31
9.076,129.65,11.49,59.24
9.129,129.69,11.69,59.30
9.180,129.81,11.64,59.26
9.234,130.09,11.59,59.28
9.286,130.83,11.59,59.31
9.335,129.62,11.50,59.28
9.399,128.37,11.53,59.29
9.450,130.34,11.67,59.30
9.499,130.59,11.74,59.27
9.549,130.84,11.71,59.33
9.598,130.54,11.57,59.25
9.647,131.38,11.62,59.25
9.698,129.39,11.58,59.27
9.750,129.73,11.65,59.28
9.801,131.33,11.71,59.27
9.854,129.24,11.67,59.26
9.905,130.31,11.60,59.26
9.955,130.27,11.65,59.27
10.004,131.78,11.66,59.29
10.056,131.38,11.64,59.21
10.108,130.22,11.61,59.26
10.158,129.17,11.56,59.27
10.208,129.29,11.63,59.24
10.258,130.11,11.56,59.28
10.308,129.55,11.67,59.24
10.358,129.10,11.63,59.24
10.410,128.04,11.55,59.28
10.460,129.33,11.56,59.22
10.513,129.17,11.67,59.27
10.565,129.14,11.65,59.27
10.616,129.33,11.74,59.28
10.666,129.69,11.62,59.31
10.716,129.69,11.62,59.31
10.765,129.17,11.69,59.25
10.818,129.99,11.64,59.29
10.868,130.85,11.71,59.27
10.921,129.37,11.59,59.24
10.970,129.57,11.56,59.27
11.021,128.08,11.56,59.22
11.072,128.25,11.57,59.29
11.122,129.78,11.57,59.26
11.184,129.85,11.70,59.27
11.238,127.78,11.50,59.27
11.285,128.71,11.52,59.24
11.334,128.45,11.71,59.27
11.385,127.66,11.61,59.27
11.435,129.18,11.54,59.20
11.485,128.87,11.75,59.29
11.533,127.33,11.67,59.30
11.583,129.03,11.63,59.25
11.635,128.20,11.53,59.26
11.688,129.95,11.52,59.26
11.736,128.67,11.57,59.26
11.787,127.10,11.62,59.28
11.836,129.01,11.58,59.25
11.889,129.12,11.59,59.30
11.936,127.61,11.63,59.30
11.990,127.91,11.59,59.23
12.038,127.95,11.60,59.28
12.086,128.76,11.59,59.25
12.136,128.37,11.61,59.24
12.188,128.01,11.60,59.27
12.241,129.70,11.67,59.27
12.292,129.25,11.65,59.25
12.343,128.79,11.51,59.27
12.395,128.92,11.61,59.25
12.446,127.07,11.60,59.25
12.500,128.25,11.50,59.27
12.551,128.55,11.60,59.23
12.603,128.09,11.73,59.31
12.658,128.73,11.66,59.25
12.710,129.58,11.68,59.25
12.761,127.85,11.54,59.27
12.815,128.43,11.50,59.23
12.865,127.46,11.66,59.26
12.918,128.73,11.64,59.24
12.966,129.22,11.71,59.23
13.019,128.42,11.49,59.24
13.069,128.46,11.51,59.23
13.121,128.07,11.67,59.21
13.169,127.44,11.56,59.23
13.224,128.36,11.62,59.21
13.275,127.73,11.68,59.25
13.327,127.01,11.60,59.23
13.377,128.63,11.52,59.21
13.428,127.68,11.55,59.23
13.477,128.66,11.60,59.25
13.534,127.27,11.56,59.21
13.588,128.23,11.46,59.24
13.638,129.96,11.61,59.23
13.693,129.02,11.57,59.24
13.745,128.64,11.71,59.28
13.794,128.64,11.71,59.28
13.844,125.67,11.54,59.22
13.896,127.43,11.60,59.24
13.943,129.02,11.81,59.27
