time_s,H,S,V
0.046,194.85,10.82,75.80
0.115,193.90,10.73,75.78
0.170,194.53,10.85,75.78
0.223,196.06,10.72,75.81
0.272,194.90,10.66,75.74
0.324,195.05,10.90,75.81
0.374,194.61,10.75,75.81
0.425,195.11,10.79,75.82
0.474,193.22,10.92,75.82
0.531,195.00,10.80,75.84
0.584,194.27,10.85,75.77
0.639,195.48,10.82,75.83
0.690,195.31,10.70,75.82
0.747,194.20,10.85,75.77
0.820,193.64,10.79,75.80
0.876,195.61,10.81,75.80
0.930,193.65,10.81,75.76
0.980,193.60,10.73,75.78
1.033,195.35,10.82,75.79
1.086,194.05,10.80,75.80
1.136,195.07,10.66,75.79
1.186,194.76,10.88,75.79
1.234,193.98,10.81,75.81
1.283,195.46,10.74,75.79
1.330,194.25,10.89,75.79
1.380,195.26,10.84,75.86
1.432,194.81,10.88,75.80
1.482,194.56,10.80,75.81
1.532,195.73,10.76,75.87
1.580,194.12,10.84,75.78
1.629,194.39,10.94,75.88
1.678,195.37,10.79,75.81
1.729,193.99,10.89,75.79
1.781,194.79,10.84,75.83
1.833,196.23,10.81,75.85
1.887,194.86,10.93,75.82
1.935,193.66,10.84,75.83
1.984,194.93,10.90,75.82
2.034,193.43,10.89,75.83
2.085,194.25,10.85,75.84
2.134,195.50,10.91,75.83
2.186,194.49,10.79,75.81
2.234,194.51,10.81,75.81
2.285,194.47,10.91,75.85
2.336,195.45,10.64,75.78
2.390,194.36,10.82,75.76
2.438,194.94,10.86,75.80
2.490,194.00,10.69,75.79
2.546,194.35,10.92,75.80
2.598,195.15,10.76,75.79
2.650,194.65,10.75,75.80
2.699,195.63,10.99,75.89
2.752,194.26,10.85,75.85
2.806,194.91,10.83,75.80
2.861,193.87,10.88,75.75
2.913,193.86,10.70,75.76
2.965,195.93,10.85,75.82
3.016,194.41,10.88,75.79
3.069,194.38,10.72,75.79
3.123,194.74,10.71,75.79
3.173,195.12,10.89,75.78
3.224,195.88,10.80,75.84
3.274,193.50,10.89,75.81
3.325,194.05,10.70,75.76
3.376,194.37,10.70,75.76
3.427,194.06,10.79,75.73
3.478,195.36,10.94,75.87
3.552,194.54,10.71,75.76
3.602,194.44,10.80,75.81
3.652,194.04,10.67,75.78
3.703,193.58,10.92,75.79
3.754,194.52,10.73,75.81
3.807,194.52,10.73,75.81
3.859,195.36,10.83,75.80
3.910,194.10,10.85,75.79
3.961,195.21,10.72,75.84
4.014,194.61,10.76,75.79
4.065,193.98,10.78,75.83
4.116,194.72,10.73,75.75
4.165,195.01,10.82,75.78
4.215,194.88,10.78,75.84
