time_s,H,S,V
0.047,188.68,10.42,70.82
0.103,188.39,10.38,70.74
0.153,188.85,10.51,70.84
0.200,188.87,10.51,70.85
0.249,188.53,10.41,70.81
0.301,188.53,10.49,70.85
0.352,188.68,10.46,70.80
0.400,188.73,10.43,70.80
0.450,188.00,10.48,70.81
0.499,188.10,10.40,70.81
0.549,188.54,10.39,70.77
0.599,188.75,10.39,70.82
0.649,189.13,10.40,70.84
0.698,188.80,10.48,70.85
0.748,188.80,10.51,70.84
0.817,188.85,10.36,70.79
0.866,188.05,10.44,70.80
0.917,188.75,10.44,70.84
0.970,189.15,10.45,70.82
1.020,188.57,10.41,70.79
1.068,189.02,10.46,70.83
1.122,188.57,10.42,70.83
1.174,188.69,10.44,70.82
1.233,189.14,10.45,70.83
1.286,188.48,10.32,70.76
1.335,188.77,10.30,70.79
1.383,188.65,10.40,70.79
1.431,188.88,10.44,70.83
1.484,189.08,10.44,70.82
1.536,188.68,10.39,70.79
1.588,189.14,10.38,70.83
1.636,188.28,10.40,70.79
1.685,189.09,10.37,70.80
1.734,189.12,10.45,70.85
1.783,188.94,10.46,70.83
1.832,189.29,10.43,70.83
1.880,188.14,10.48,70.83
1.929,189.16,10.44,70.81
1.981,188.79,10.42,70.82
2.032,188.70,10.45,70.82
2.084,188.80,10.45,70.81
2.133,188.61,10.46,70.84
2.181,189.19,10.42,70.82
2.231,189.29,10.47,70.85
2.281,188.52,10.31,70.78
2.333,188.97,10.37,70.81
2.382,188.89,10.37,70.80
2.431,188.55,10.39,70.80
2.483,189.08,10.39,70.77
2.532,188.39,10.40,70.80
2.582,187.84,10.41,70.78
2.630,188.78,10.35,70.77
2.685,188.55,10.38,70.80
2.735,188.37,10.40,70.77
2.786,188.83,10.48,70.81
2.836,188.28,10.46,70.80
2.884,189.15,10.42,70.80
2.932,189.02,10.41,70.81
2.982,188.09,10.42,70.79
3.030,188.93,10.39,70.77
3.081,188.52,10.45,70.83
3.129,189.08,10.51,70.84
3.179,188.70,10.50,70.83
3.227,189.03,10.41,70.82
3.277,188.61,10.46,70.79
3.331,188.66,10.44,70.82
3.386,188.54,10.45,70.81
3.434,189.12,10.41,70.80
3.484,188.80,10.52,70.82
3.534,188.56,10.38,70.80
3.585,188.92,10.42,70.78
3.638,188.63,10.41,70.80
3.689,188.50,10.39,70.78
3.738,189.14,10.39,70.83
3.790,188.27,10.48,70.81
3.840,189.00,10.42,70.79
3.889,188.97,10.35,70.79
3.939,188.48,10.45,70.78
3.987,189.25,10.46,70.84
4.037,187.93,10.38,70.75
4.089,188.31,10.49,70.80
4.139,188.98,10.48,70.80
4.190,188.68,10.41,70.80
4.242,188.54,10.38,70.79
4.290,189.18,10.50,70.82
4.339,188.50,10.44,70.83
4.389,188.95,10.44,70.82
4.439,188.75,10.52,70.83
4.487,188.66,10.47,70.80
4.537,188.92,10.38,70.78
4.586,188.63,10.50,70.85
4.637,189.46,10.39,70.80
4.686,188.70,10.40,70.77
4.736,187.84,10.46,70.82
4.787,189.16,10.50,70.84
4.836,188.79,10.50,70.86
4.885,188.67,10.43,70.82
4.935,188.98,10.41,70.82
4.986,188.68,10.48,70.82
5.035,188.68,10.48,70.82
5.082,189.16,10.47,70.80
5.131,188.64,10.52,70.88
5.181,188.24,10.39,70.79
5.230,188.88,10.42,70.83
5.280,188.71,10.41,70.81
5.328,188.51,10.43,70.80
5.377,188.51,10.43,70.80
5.426,188.67,10.35,70.83
5.475,188.88,10.41,70.83
5.528,188.18,10.34,70.79
5.576,188.73,10.40,70.82
5.626,189.20,10.35,70.80
5.678,188.63,10.38,70.82
5.727,188.46,10.40,70.81
5.778,189.63,10.47,70.84
5.831,187.97,10.39,70.80
5.881,189.44,10.37,70.82
5.931,189.26,10.36,70.83
5.984,188.99,10.38,70.82
6.033,188.98,10.39,70.83
6.090,188.74,10.32,70.80
6.139,187.82,10.38,70.80
6.190,188.89,10.43,70.83
6.240,189.13,10.43,70.81
6.293,188.98,10.35,70.80
6.344,188.09,10.37,70.76
6.392,188.41,10.38,70.80
6.440,188.92,10.47,70.85
6.490,188.11,10.37,70.78
6.540,187.97,10.41,70.80
6.589,189.33,10.38,70.82
6.637,188.66,10.39,70.79
6.690,188.61,10.39,70.82
6.741,188.66,10.38,70.81
6.789,189.33,10.46,70.85
6.843,188.24,10.39,70.80
6.894,189.04,10.50,70.85
6.947,188.96,10.48,70.86
6.994,188.48,10.39,70.79
7.045,188.84,10.38,70.80
7.095,188.52,10.38,70.81
7.145,188.91,10.39,70.81
7.193,188.26,10.38,70.80
7.242,188.73,10.47,70.83
7.293,188.48,10.40,70.79
7.343,188.61,10.35,70.80
7.391,188.15,10.35,70.80
7.440,188.72,10.35,70.80
7.494,188.20,10.31,70.76
7.544,188.67,10.44,70.81
7.593,189.22,10.37,70.80
7.648,188.23,10.42,70.79
7.700,188.45,10.41,70.82
7.750,189.05,10.42,70.80
7.800,188.54,10.39,70.79
7.851,189.32,10.42,70.83
7.898,188.86,10.45,70.86
7.949,188.86,10.43,70.84
7.999,188.74,10.47,70.80
8.053,189.17,10.42,70.84
8.101,188.63,10.42,70.81
8.150,188.63,10.48,70.82
8.197,188.97,10.46,70.86
8.250,188.93,10.45,70.81
8.299,188.71,10.38,70.81
8.350,188.29,10.41,70.82
8.398,188.97,10.31,70.79
8.450,188.97,10.38,70.82
8.499,188.24,10.42,70.81
8.550,188.72,10.44,70.81
8.597,189.20,10.47,70.87
8.648,188.96,10.45,70.83
8.698,188.62,10.44,70.80
8.749,188.29,10.41,70.82
8.799,188.82,10.37,70.79
8.850,188.53,10.32,70.80
8.898,188.51,10.37,70.79
8.948,189.24,10.42,70.81
8.995,188.40,10.40,70.81
9.046,189.09,10.41,70.81
9.095,189.12,10.45,70.79
9.146,188.45,10.40,70.82
9.195,188.57,10.42,70.80
9.245,189.19,10.38,70.81
9.298,188.07,10.38,70.81
9.353,189.23,10.37,70.80
9.401,189.02,10.39,70.80
9.453,188.59,10.41,70.81
9.502,189.13,10.36,70.81
9.555,188.47,10.27,70.78
9.604,188.25,10.42,70.80
9.657,188.35,10.42,70.78
9.707,188.01,10.40,70.78
9.762,187.86,10.34,70.74
9.811,188.39,10.33,70.77
9.863,188.39,10.33,70.77
9.912,188.60,10.40,70.78
9.961,187.95,10.37,70.78
10.011,188.34,10.35,70.78
10.060,188.33,10.39,70.78
10.113,188.70,10.40,70.79
10.161,188.31,10.38,70.80
10.211,188.81,10.43,70.77
10.264,188.42,10.47,70.83
10.319,188.43,10.37,70.77
10.368,188.48,10.33,70.76
10.418,188.07,10.47,70.80
10.465,188.57,10.35,70.79
10.516,188.78,10.38,70.79
10.563,188.19,10.35,70.76
10.612,188.40,10.37,70.76
10.661,188.32,10.36,70.78
10.714,188.36,10.41,70.79
10.762,188.82,10.37,70.80
10.813,188.94,10.39,70.81
10.860,188.12,10.36,70.79
10.919,189.07,10.40,70.80
10.970,188.93,10.39,70.82
11.019,189.02,10.39,70.80
11.069,189.16,10.36,70.79
11.118,188.04,10.36,70.79
11.167,188.19,10.37,70.76
11.217,188.57,10.30,70.76
