time_s,H,S,V
0.097,188.97,10.42,70.78
0.190,188.54,10.46,70.82
0.283,189.32,10.50,70.81
0.362,188.87,10.43,70.82
0.438,189.15,10.45,70.81
0.532,189.35,10.47,70.82
0.610,188.45,10.38,70.80
0.701,188.94,10.46,70.81
0.764,189.00,10.51,70.84
0.856,189.01,10.48,70.81
0.951,188.82,10.43,70.79
1.044,189.00,10.45,70.82
1.134,189.75,10.49,70.82
1.215,189.05,10.50,70.84
1.305,188.81,10.52,70.84
1.401,188.88,10.42,70.79
1.491,188.60,10.47,70.84
1.586,189.15,10.47,70.82
1.679,188.62,10.49,70.83
1.770,188.96,10.43,70.80
1.848,188.92,10.48,70.80
1.942,188.60,10.42,70.80
2.034,189.67,10.45,70.80
2.127,189.10,10.49,70.83
2.204,188.39,10.49,70.82
2.283,188.69,10.45,70.77
2.375,188.57,10.42,70.78
2.467,188.66,10.58,70.79
2.561,189.18,10.39,70.79
2.624,188.60,10.36,70.76
2.702,189.43,10.47,70.82
2.783,188.35,10.34,70.80
2.861,188.73,10.46,70.85
2.951,188.24,10.25,71.08
3.030,188.04,10.08,71.22
3.122,188.23,9.63,71.61
3.216,188.05,9.54,71.64
3.310,187.68,9.60,71.64
3.390,187.71,9.50,71.60
3.481,187.29,9.63,71.68
3.572,188.54,9.60,71.69
3.649,188.78,9.61,71.69
3.742,188.61,9.60,71.71
3.820,188.42,9.54,71.67
3.897,187.77,9.51,71.64
3.990,187.71,9.58,71.65
4.068,188.34,9.56,71.65
4.144,187.25,9.64,71.66
4.225,187.79,9.48,71.62
4.318,187.42,9.57,71.65
4.408,187.89,9.58,71.67
4.472,188.09,9.66,71.66
4.550,186.69,9.60,71.53
4.643,188.33,9.85,71.52
4.723,189.05,10.20,71.07
4.816,187.94,10.33,70.92
4.907,188.97,10.39,70.80
4.999,189.50,10.44,70.85
5.093,188.85,10.47,70.83
5.187,189.62,10.45,70.87
5.278,188.74,10.46,70.87
5.357,189.02,10.45,70.87
5.433,189.04,10.39,70.85
5.514,189.56,10.50,70.95
5.593,188.40,10.46,70.89
5.686,188.50,10.45,70.87
5.762,188.86,10.44,70.87
5.859,189.34,10.37,70.88
5.938,189.07,10.39,70.87
6.016,189.41,10.46,70.91
6.106,188.70,10.43,70.88
6.184,188.67,10.41,70.84
6.278,189.33,10.53,70.95
6.373,188.68,10.39,70.88
6.466,188.90,10.44,70.85
6.558,188.64,10.41,70.88
6.622,189.01,10.43,70.90
6.715,188.69,10.34,70.84
6.808,188.55,10.33,70.85
6.900,189.44,10.48,70.90
6.992,188.32,10.45,70.85
7.057,188.82,10.39,70.84
7.149,189.00,10.33,70.86
7.242,188.15,10.46,70.86
7.322,188.80,10.46,70.87
7.416,188.08,10.37,70.80
7.507,188.84,10.35,70.85
7.601,188.93,10.40,70.84
7.694,188.32,10.39,70.86
7.785,188.88,10.42,70.84
7.879,188.70,10.46,70.86
7.973,188.57,10.46,70.83
8.064,188.73,10.40,70.80
8.158,188.41,10.46,70.87
8.249,188.66,10.34,70.81
8.343,188.36,10.43,70.85
8.437,188.51,10.39,70.85
8.515,188.51,10.39,70.85
8.593,188.24,10.45,70.87
8.672,188.62,10.44,70.85
8.764,188.59,10.41,70.84
8.858,188.59,10.41,70.84
8.952,188.74,10.44,70.84
9.042,188.86,10.36,70.88
9.133,189.07,10.33,70.82
9.227,189.14,10.43,70.87
9.306,188.78,10.37,70.85
9.399,189.16,10.42,70.87
9.477,188.61,10.44,70.88
9.570,188.68,10.37,70.86
9.649,189.40,10.50,70.89
9.742,188.63,10.41,70.86
9.833,189.11,10.39,70.87
9.912,189.19,10.41,70.86
10.005,188.55,10.43,70.88
10.070,188.78,10.45,70.86
10.160,188.84,10.46,70.88
10.253,188.54,10.42,70.87
10.332,189.55,10.34,70.84
10.409,187.64,10.39,70.83
10.502,188.54,10.35,70.82
10.596,188.56,10.29,70.80
10.674,188.55,10.39,70.87
10.766,189.62,10.40,70.89
10.860,188.40,10.42,70.88
10.955,189.08,10.42,70.87
11.032,189.04,10.41,70.88
11.109,188.88,10.44,70.89
11.203,188.60,10.41,70.87
11.295,187.92,10.38,70.86
11.358,188.75,10.37,70.85
11.437,189.09,10.42,70.87
11.527,188.37,10.38,70.87
11.604,188.74,10.39,70.86
