time_s,H,S,V
0.075,167.93,12.06,69.71
0.151,168.21,12.10,69.68
0.229,167.39,11.97,69.71
0.306,168.70,12.10,69.73
0.397,167.74,12.06,69.72
0.531,170.55,12.13,71.03
0.591,167.39,12.61,69.22
0.645,155.50,12.57,67.44
0.699,153.87,12.13,67.51
0.752,145.40,11.21,68.67
0.801,140.68,10.69,69.89
0.854,149.51,11.28,68.50
0.910,140.43,11.83,65.51
0.963,144.60,10.97,67.51
1.019,140.71,11.13,64.81
1.070,131.46,12.89,58.90
1.122,127.73,11.41,58.24
1.173,123.80,11.62,57.60
1.226,124.30,11.48,57.68
1.296,133.39,11.47,58.76
1.379,122.92,11.86,57.65
1.453,125.31,11.93,57.80
1.529,126.81,11.63,58.01
1.587,125.45,11.71,57.90
1.641,125.69,11.60,57.72
1.693,125.42,11.83,57.71
1.745,123.72,11.62,57.76
1.796,126.02,11.69,57.66
1.846,124.43,11.86,57.58
1.896,125.89,11.79,57.63
1.949,125.20,11.69,57.47
2.002,123.44,11.80,57.36
2.054,124.66,11.75,57.37
2.104,126.02,11.73,57.35
2.152,123.46,11.90,57.32
2.203,124.34,11.74,57.30
2.255,123.17,11.92,57.38
2.306,122.35,11.80,57.52
2.356,124.28,11.83,57.48
2.409,123.43,11.81,57.60
2.461,121.97,11.86,57.74
2.512,124.57,11.75,57.73
2.560,122.93,11.78,57.70
2.609,124.10,11.86,57.75
2.658,122.90,11.95,57.72
2.712,122.04,11.67,57.75
2.765,123.66,11.89,57.73
2.815,122.16,11.79,57.68
2.866,122.85,11.68,57.57
2.915,124.64,11.82,57.52
2.964,122.31,11.85,57.52
3.014,124.06,11.78,57.49
3.064,124.52,11.90,57.44
3.116,122.27,11.97,57.42
3.165,124.15,12.00,57.42
3.218,124.57,11.88,57.24
3.268,123.84,11.82,57.22
3.318,122.81,11.91,57.14
3.377,124.61,12.02,57.16
3.426,122.12,11.96,57.14
3.478,123.94,11.96,57.04
3.528,123.07,12.17,57.11
3.578,121.99,11.80,57.06
3.628,123.57,11.93,57.04
3.678,124.28,12.00,57.16
3.726,123.98,12.00,57.23
3.776,122.91,11.86,57.22
3.825,122.61,12.03,57.27
3.882,122.97,12.05,57.29
3.937,122.59,11.94,57.27
3.987,121.76,11.84,57.35
4.038,122.07,11.71,57.49
4.089,123.78,11.97,57.52
4.138,121.34,11.91,57.51
4.189,123.20,11.69,57.49
4.243,122.98,11.90,57.50
4.293,122.47,12.03,57.60
4.344,122.04,12.05,57.59
4.394,121.05,11.85,57.73
4.446,121.05,11.85,57.73
4.496,121.79,11.85,57.66
4.546,121.98,11.80,57.69
4.609,121.27,11.75,57.64
4.659,121.86,11.75,57.69
4.710,121.08,11.77,57.70
4.759,122.05,11.87,57.70
4.809,122.05,11.87,57.70
4.859,120.91,11.86,57.71
4.906,121.59,11.81,57.71
4.956,121.87,11.67,57.66
5.003,121.67,12.00,57.75
5.053,122.45,11.80,57.67
5.103,121.51,11.75,57.68
5.151,121.51,11.75,57.68
5.204,122.21,11.88,57.65
5.254,121.99,11.82,57.71
5.307,121.83,11.89,57.71
5.357,123.40,11.73,57.68
5.411,120.61,11.88,57.70
5.464,121.33,11.86,57.68
5.518,121.47,12.05,57.68
5.570,121.47,11.94,57.71
5.619,121.46,11.78,57.65
5.667,120.33,12.00,57.72
5.718,119.70,11.95,57.68
5.768,122.18,11.97,57.66
