time_s,H,S,V
0.074,170.22,10.52,79.15
0.151,170.37,10.65,79.23
0.242,169.93,10.55,79.20
0.334,170.08,10.61,79.20
0.429,169.41,10.63,79.20
0.522,170.64,10.65,79.22
0.614,170.16,10.64,79.20
0.712,171.09,10.60,79.23
0.802,170.65,10.59,79.16
0.880,169.62,10.60,79.17
0.949,171.17,10.62,79.22
1.008,171.08,10.65,79.19
1.062,171.10,10.67,79.23
1.110,171.07,10.62,79.19
1.160,170.36,10.78,79.23
1.211,169.72,10.57,79.19
1.258,170.18,10.63,79.22
1.306,170.18,10.67,79.23
1.353,171.30,10.58,79.23
1.401,170.49,10.63,79.18
1.449,171.08,10.65,79.22
1.497,171.92,10.63,79.23
1.544,170.36,10.60,79.17
1.590,170.60,10.67,79.21
1.639,170.65,10.71,79.23
1.700,172.25,10.75,79.29
1.751,170.41,10.62,79.21
1.798,172.48,10.69,79.22
1.846,171.57,10.78,79.26
1.893,171.67,10.65,79.23
1.941,170.32,10.76,79.22
1.990,169.49,10.60,79.18
2.038,170.81,10.63,79.21
2.083,169.47,10.71,79.20
2.130,171.52,10.74,79.26
2.178,170.79,10.62,79.18
2.225,169.36,10.65,79.19
2.272,171.39,10.55,79.20
2.323,171.19,10.62,79.21
2.372,170.22,10.69,79.24
2.422,170.50,10.71,79.22
2.472,170.67,10.58,79.23
2.524,171.22,10.66,79.19
2.574,170.95,10.68,79.28
2.624,170.93,10.78,79.24
2.672,169.47,10.60,79.17
2.724,171.02,10.73,79.23
2.782,171.57,10.70,79.25
2.834,171.57,10.70,79.25
2.899,170.48,10.54,79.18
2.948,171.98,10.73,79.28
3.003,171.66,10.68,79.26
3.051,170.41,10.65,79.21
3.100,169.77,10.61,79.22
3.153,170.96,10.54,79.18
3.204,171.63,10.59,79.18
3.256,170.30,10.71,79.23
3.307,170.79,10.64,79.24
3.361,171.08,10.67,79.23
3.413,172.03,10.64,79.23
3.463,171.37,10.69,79.23
3.514,170.10,10.66,79.16
3.567,170.62,10.64,79.23
3.618,171.07,10.55,79.18
3.671,170.76,10.69,79.19
3.721,170.93,10.64,79.22
3.771,170.77,10.73,79.21
3.823,170.76,10.73,79.25
3.875,170.59,10.65,79.23
3.927,171.18,10.67,79.22
3.977,170.96,10.62,79.20
4.032,170.66,10.61,79.19
4.081,169.77,10.64,79.19
4.136,171.30,10.62,79.19
4.189,171.30,10.62,79.19
4.238,169.89,10.72,79.23
4.291,170.49,10.75,79.28
4.342,171.07,10.71,79.22
4.396,170.08,10.74,79.24
4.446,170.43,10.57,79.21
4.500,171.21,10.59,79.17
4.550,170.17,10.71,79.22
4.602,172.00,10.71,79.24
4.657,170.77,10.72,79.23
4.711,170.79,10.62,79.22
4.765,171.37,10.64,79.21
4.814,170.93,10.69,79.24
4.868,170.70,10.63,79.23
