time_s,H,S,V
0.038,155.54,11.50,69.56
0.112,156.19,11.57,69.74
0.189,155.87,11.45,69.69
0.265,156.24,11.41,69.66
0.344,157.02,11.60,69.70
0.424,156.34,11.54,69.66
0.500,155.37,11.62,69.70
0.577,156.10,11.46,69.68
0.653,156.70,11.60,69.67
0.732,156.94,11.60,69.63
0.810,156.98,11.62,69.58
0.885,156.68,11.67,69.48
0.962,156.56,11.61,69.49
1.042,156.64,11.74,69.53
1.119,156.96,11.53,69.39
1.196,156.00,11.65,69.46
1.288,156.78,11.66,69.45
1.386,157.57,11.68,69.50
1.480,156.26,11.50,69.43
1.556,157.33,11.84,69.51
1.630,156.77,11.76,69.48
1.707,156.43,11.63,69.45
1.788,157.14,11.71,69.46
1.879,157.20,11.63,69.41
1.957,157.95,11.70,69.42
2.033,156.88,11.81,69.47
2.113,157.86,11.80,69.43
2.191,157.43,11.74,69.42
2.268,157.26,11.72,69.46
2.345,158.12,11.79,69.48
2.436,155.97,11.58,69.52
2.503,155.63,11.56,69.54
2.582,157.35,11.54,69.52
2.658,157.02,11.55,69.63
2.733,157.12,11.50,69.61
2.812,156.45,11.70,69.66
2.891,157.16,11.55,69.67
2.953,157.78,11.75,69.68
3.030,156.89,11.63,69.64
3.109,156.00,11.62,69.61
3.188,156.01,11.62,69.63
3.265,155.72,11.53,69.65
3.343,157.92,11.71,69.62
3.423,156.76,11.65,69.58
3.498,157.00,11.61,69.68
3.562,155.74,11.58,69.62
3.639,155.58,11.65,69.70
3.717,156.97,11.59,69.69
3.794,156.90,11.72,69.72
3.870,155.47,11.49,69.69
3.947,157.35,11.57,69.69
4.026,156.26,11.63,69.69
4.103,155.28,11.43,69.68
4.179,155.09,11.49,69.65
4.257,156.01,11.51,69.74
4.334,155.87,11.46,69.68
4.414,156.37,11.57,69.73
4.474,155.49,11.62,69.74
4.553,155.09,11.46,69.64
4.629,156.03,11.59,69.70
4.692,155.71,11.52,69.69
4.768,155.79,11.54,69.68
4.846,156.82,11.61,69.69
4.923,157.39,11.62,69.63
5.001,155.60,11.66,69.56
5.079,156.58,11.66,69.52
5.158,157.39,11.57,69.53
5.235,156.17,11.59,69.53
5.311,157.08,11.40,69.49
5.390,156.51,11.71,69.59
5.467,156.46,11.49,69.65
5.543,155.80,11.64,69.73
5.620,156.40,11.43,69.64
5.697,155.15,11.57,69.68
5.774,155.88,11.63,69.72
5.855,155.88,11.64,69.69
5.933,154.95,11.48,69.67
6.008,156.20,11.51,69.67
6.084,155.96,11.57,69.68
6.164,155.97,11.51,69.70
6.239,156.47,11.45,69.68
6.318,155.84,11.59,69.75
6.396,156.52,11.50,69.72
6.471,156.52,11.50,69.72
6.548,156.29,11.51,69.74
6.628,156.21,11.58,69.72
6.703,156.25,11.55,69.75
6.781,155.85,11.45,69.73
6.860,157.07,11.63,69.74
6.935,156.12,11.56,69.74
7.015,157.06,11.46,69.67
7.090,156.73,11.58,69.73
7.168,156.35,11.51,69.74
7.229,155.63,11.52,69.71
7.293,156.77,11.53,69.79
7.371,155.48,11.38,69.68
7.450,155.56,11.52,69.70
7.527,155.79,11.49,69.74
7.590,155.04,11.53,69.69
7.652,155.18,11.58,69.73
7.729,156.05,11.45,69.72
7.793,156.26,11.46,69.67
7.873,156.01,11.60,69.69
7.948,156.65,11.46,69.69
8.025,156.84,11.60,69.72
8.105,155.87,11.55,69.72
8.181,156.71,11.63,69.72
8.258,155.89,11.57,69.74
8.335,156.32,11.61,69.76
8.415,155.52,11.51,69.69
8.491,156.20,11.57,69.76
8.555,157.11,11.52,69.76
8.629,155.94,11.62,69.76
8.707,156.70,11.55,69.74
8.770,156.19,11.62,69.73
8.847,156.07,11.64,69.77
8.909,156.19,11.57,69.75
8.986,157.20,11.55,69.72
9.049,155.72,11.52,69.71
9.126,156.03,11.41,69.59
9.205,156.72,11.69,69.66
9.281,155.84,11.55,69.61
9.359,156.51,11.61,69.60
9.439,156.01,11.64,69.64
9.515,156.76,11.64,69.64
9.586,157.19,11.64,69.74
9.634,156.23,11.51,69.70
9.683,156.77,11.52,69.68
9.731,154.86,11.60,69.72
9.784,155.05,11.57,69.74
9.835,157.31,11.58,69.76
9.890,155.57,11.55,69.69
9.937,156.56,11.52,69.71
9.986,156.28,11.53,69.68
10.039,156.02,11.65,69.76
10.095,156.74,11.50,69.71
10.149,158.43,11.63,69.76
10.206,156.52,11.55,69.70
10.259,155.58,11.52,69.75
10.311,156.39,11.47,69.68
10.361,155.02,11.54,69.71
10.410,156.03,11.52,69.76
10.457,155.49,11.53,69.75
10.506,154.71,11.40,69.74
10.556,154.71,11.40,69.74
10.606,155.90,11.66,69.79
10.658,154.92,11.36,69.78
10.721,155.69,11.35,69.77
10.774,156.26,11.37,69.78
10.823,155.26,11.46,69.79
10.875,155.19,11.61,69.85
10.924,155.19,11.61,69.85
10.980,155.38,11.51,69.78
11.031,156.86,11.50,69.79
11.083,155.73,11.60,69.83
11.134,156.55,11.35,69.76
11.182,156.02,11.42,69.80
11.239,154.94,11.41,69.78
11.295,155.05,11.54,69.77
11.350,156.07,11.59,69.80
11.402,154.44,11.42,69.79
11.452,155.89,11.50,69.76
11.504,156.50,11.47,69.77
11.555,155.21,11.37,69.72
11.606,156.28,11.52,69.82
11.656,155.49,11.47,69.77
11.708,155.89,11.46,69.77
11.759,156.82,11.52,69.77
11.810,156.01,11.35,69.75
11.862,155.83,11.62,69.78
11.915,156.57,11.52,69.82
11.966,156.18,11.39,69.75
12.018,156.25,11.43,69.78
12.068,157.25,11.55,69.92
12.116,156.26,11.42,69.79
12.166,155.49,11.33,69.77
12.218,156.15,11.47,69.86
12.268,156.89,11.41,69.88
12.318,154.50,11.42,69.83
12.371,156.20,11.49,69.92
12.423,156.08,11.41,69.86
12.472,155.64,11.48,69.92
12.523,157.07,11.40,69.94
12.576,156.43,11.52,69.94
12.623,155.96,11.49,69.95
12.675,156.19,11.34,69.93
