time_s,H,S,V
0.016,192.49,35.86,14.63
0.104,188.54,35.63,14.67
0.198,191.98,36.12,14.61
0.291,191.54,35.83,14.67
0.383,198.76,37.49,14.68
0.462,195.48,37.47,14.63
0.552,198.13,36.80,14.64
0.632,195.79,36.96,14.64
0.710,196.56,37.31,14.63
0.803,199.17,37.61,14.65
0.896,199.99,37.40,14.65
0.976,194.81,36.71,14.62
1.068,197.24,37.16,14.65
1.145,200.30,37.51,14.62
1.238,195.36,36.39,14.59
1.332,200.83,37.52,14.63
1.425,201.99,38.27,14.65
1.520,195.73,36.61,14.61
1.612,198.08,37.18,14.63
1.705,198.55,37.70,14.62
1.798,200.90,37.30,14.60
1.876,200.24,37.66,14.65
1.952,198.24,37.80,14.64
2.030,203.16,38.28,14.60
2.124,202.62,38.15,14.65
2.215,203.20,38.53,14.65
2.309,200.23,38.39,14.63
2.403,201.54,38.70,14.64
2.496,201.82,38.86,14.66
2.573,198.25,37.69,14.62
2.667,202.60,37.97,14.63
2.746,203.31,38.55,14.64
2.838,197.32,37.55,14.63
2.918,190.86,36.35,14.66
3.009,194.35,37.02,14.64
3.101,196.54,36.61,14.67
3.196,192.65,36.27,14.67
3.289,192.77,36.95,14.69
3.367,190.88,36.78,14.74
3.444,184.99,36.09,14.69
3.523,195.13,36.07,14.70
3.616,188.87,36.58,14.73
3.710,190.93,37.29,14.73
3.789,185.95,36.28,14.74
3.882,189.61,37.37,14.76
3.960,181.60,35.35,14.75
4.039,189.77,36.58,14.76
4.131,184.63,36.26,14.75
4.210,185.76,36.18,14.72
4.301,188.37,36.96,14.76
4.395,183.74,35.62,14.78
4.490,189.34,36.74,14.77
4.567,186.07,36.45,14.75
4.660,187.22,36.69,14.74
4.754,185.18,36.44,14.77
4.845,186.93,35.54,14.77
4.923,188.74,35.72,14.73
5.016,186.87,36.24,14.76
5.093,182.41,35.40,14.74
5.171,190.27,37.36,14.77
5.248,188.78,37.24,14.77
5.344,182.25,35.64,14.75
5.437,185.80,35.91,14.75
5.530,186.75,35.89,14.75
