time_s,H,S,V
0.039,193.02,48.53,15.59
0.092,191.57,48.41,15.54
0.146,195.70,48.65,15.61
0.200,191.18,48.28,15.54
0.251,200.65,48.90,15.55
0.304,191.99,47.79,15.51
0.354,197.50,48.91,15.56
0.405,197.50,48.91,15.56
0.458,196.15,48.41,15.53
0.512,196.10,48.25,15.54
0.563,199.65,47.12,15.47
0.616,190.42,49.00,15.59
0.669,194.11,48.56,15.50
0.722,192.02,48.51,15.50
0.771,184.38,49.00,15.54
0.821,185.01,48.84,15.51
0.869,190.26,48.76,15.54
0.915,187.81,49.46,15.52
0.963,190.28,48.38,15.47
1.010,187.34,50.05,15.63
1.062,195.66,48.94,15.56
1.113,185.58,48.35,15.56
1.160,195.25,48.38,15.50
1.222,194.68,49.14,15.53
1.271,190.99,48.46,15.49
1.322,187.67,48.78,15.52
1.371,193.50,49.56,15.54
1.418,192.99,48.89,15.51
1.465,196.14,47.75,15.49
1.511,196.79,48.11,15.50
1.560,192.02,47.33,15.44
1.606,194.57,48.91,15.49
1.655,190.45,47.90,15.48
1.704,191.35,47.91,15.46
1.753,197.95,48.45,15.44
1.800,193.90,47.04,15.41
1.848,194.13,47.18,15.41
1.895,193.23,47.62,15.42
1.941,195.06,46.56,15.39
1.989,202.95,47.80,15.43
2.036,199.77,47.28,15.43
2.086,191.33,47.85,15.43
2.133,195.63,47.24,15.40
2.178,202.43,47.15,15.38
2.227,197.61,47.42,15.37
2.278,206.29,46.48,15.38
2.329,199.89,46.86,15.40
2.384,195.59,47.77,15.39
2.437,196.48,47.53,15.45
2.489,193.57,47.63,15.41
2.543,195.25,46.55,15.35
2.595,192.04,47.09,15.35
2.650,188.00,47.33,15.37
2.704,195.21,46.81,15.36
2.755,196.69,47.20,15.36
2.808,193.30,46.61,15.35
2.860,196.45,47.30,15.39
2.913,200.07,46.17,15.33
2.965,194.67,46.77,15.37
3.018,197.30,46.35,15.35
3.070,204.58,45.99,15.32
3.120,199.45,46.31,15.38
3.171,200.97,46.34,15.36
3.222,201.41,45.76,15.31
3.271,198.04,46.06,15.31
3.325,195.60,46.40,15.35
3.378,197.15,47.99,15.39
3.431,198.91,46.75,15.34
3.487,197.76,47.11,15.37
3.541,200.70,47.26,15.36
3.590,192.31,46.52,15.33
3.645,198.50,46.60,15.36
3.691,196.38,47.54,15.40
3.743,195.99,47.38,15.34
3.793,196.06,47.51,15.36
3.845,193.05,47.12,15.35
3.893,200.61,46.72,15.34
3.943,197.03,45.99,15.31
