time_s,H,S,V
0.024,191.44,10.07,71.18
0.101,190.62,10.12,71.16
0.175,189.84,10.00,71.09
0.251,190.64,10.07,71.14
0.332,190.62,10.12,71.18
0.408,191.02,10.14,71.19
0.484,190.57,10.16,71.19
0.548,191.60,10.12,71.20
0.628,190.80,10.11,71.19
0.704,190.64,10.04,71.14
0.794,190.85,10.04,71.15
0.890,190.59,10.08,71.16
0.967,190.95,10.02,71.13
1.043,190.79,10.12,71.16
1.121,190.35,10.00,71.13
1.198,191.46,10.07,71.21
1.276,190.64,10.10,71.16
1.352,191.39,10.18,71.19
1.414,191.21,10.15,71.23
1.491,190.98,10.20,71.21
1.567,191.02,10.07,71.17
1.631,190.45,10.09,71.18
1.710,191.09,10.16,71.20
1.786,191.25,10.10,71.20
1.849,191.36,10.09,71.17
1.914,190.63,10.06,71.15
1.994,190.61,10.04,71.14
2.068,191.04,10.16,71.19
2.146,190.90,10.17,71.20
2.226,191.70,10.14,71.21
2.301,190.67,10.06,71.15
2.379,190.98,10.10,71.19
2.459,190.90,10.15,71.20
2.535,191.79,10.13,71.19
2.611,191.59,10.15,71.20
2.692,191.05,10.04,71.18
2.766,190.49,10.07,71.16
2.843,191.15,10.14,71.18
2.919,191.12,10.08,71.18
2.998,191.20,10.15,71.20
3.075,191.72,10.14,71.18
3.153,190.21,10.01,71.15
3.230,191.18,10.17,71.18
3.308,190.97,10.10,71.16
3.383,190.77,10.15,71.18
3.462,191.16,10.16,71.18
3.539,190.14,10.11,71.17
3.616,191.19,10.11,71.17
3.696,191.62,10.12,71.19
3.773,190.73,10.09,71.16
3.851,190.80,10.06,71.14
3.929,190.94,10.00,71.14
4.006,190.91,10.05,71.13
4.083,191.20,10.02,71.13
4.162,190.91,10.07,71.16
4.240,191.19,10.08,71.13
4.318,190.61,10.04,71.13
4.397,190.84,10.15,71.16
4.474,190.48,10.07,71.13
4.554,190.50,10.04,71.13
4.629,190.76,10.10,71.13
4.709,190.46,10.06,71.13
4.787,190.71,10.12,71.15
4.863,191.03,10.10,71.17
4.940,190.83,10.01,71.14
5.016,191.95,10.09,71.17
5.093,191.26,10.06,71.14
5.173,190.45,10.09,71.14
5.251,191.59,10.13,71.17
5.328,190.56,10.06,71.15
5.407,190.56,10.06,71.15
5.484,191.06,10.00,71.12
5.561,190.26,10.13,71.18
5.642,190.41,10.05,71.14
5.719,190.91,10.13,71.17
5.794,190.05,10.07,71.15
5.872,190.97,10.11,71.14
5.951,190.60,10.10,71.17
6.028,191.06,10.12,71.16
6.107,191.15,10.10,71.15
6.185,190.42,10.03,71.13
6.261,190.58,10.03,71.15
6.339,191.78,10.04,71.19
6.417,191.78,10.04,71.19
6.495,191.03,10.15,71.17
6.572,191.11,10.07,71.16
6.658,190.58,10.10,71.17
6.728,191.36,10.10,71.17
6.807,190.44,10.00,71.13
6.884,191.04,10.03,71.15
6.960,191.10,9.98,71.13
7.038,190.23,10.06,71.17
7.115,190.26,10.01,71.13
7.194,191.14,10.12,71.19
7.271,191.12,10.11,71.19
7.350,190.93,10.12,71.17
7.426,190.55,10.17,71.17
7.505,191.17,10.11,71.16
7.581,191.59,10.08,71.17
7.663,190.71,10.09,71.17
7.736,190.44,10.14,71.15
7.815,190.69,10.07,71.15
7.891,191.25,10.14,71.15
7.956,190.72,10.08,71.13
8.033,190.43,10.12,71.14
8.109,190.84,10.09,71.14
8.191,189.70,10.11,71.14
8.267,190.85,10.09,71.14
8.345,190.42,10.11,71.15
8.423,190.82,10.08,71.15
8.501,190.37,10.20,71.16
8.577,190.66,10.11,71.16
8.654,190.11,10.06,71.13
8.732,189.90,10.05,71.09
8.810,191.07,10.01,71.15
8.889,190.70,10.09,71.15
8.965,190.14,10.12,71.18
9.041,190.65,10.04,71.15
9.119,190.52,10.05,71.12
9.197,190.35,10.03,71.14
9.273,190.76,10.18,71.18
9.354,191.03,10.08,71.17
9.430,190.13,10.06,71.14
9.509,190.80,10.09,71.13
9.585,190.30,9.97,71.07
9.665,191.11,10.06,71.15
9.744,190.60,10.04,71.11
9.822,190.14,10.01,71.10
9.899,190.47,10.04,71.11
9.977,190.97,10.04,71.13
10.055,191.47,10.06,71.15
10.132,190.36,9.95,71.09
10.210,190.63,9.93,71.07
10.288,190.79,10.09,71.14
10.366,191.30,10.12,71.18
10.442,190.14,10.14,71.14
10.519,189.82,10.12,71.12
10.597,190.66,10.08,71.13
10.675,190.77,10.15,71.19
10.752,190.47,10.03,71.13
10.827,190.94,10.04,71.16
10.905,190.70,10.02,71.12
10.984,190.55,10.09,71.15
11.061,190.19,10.05,71.14
11.139,191.37,10.12,71.18
11.216,190.23,9.99,71.10
11.291,190.54,10.09,71.14
11.370,191.66,10.02,71.13
11.447,190.15,10.18,71.15
11.524,190.92,10.07,71.15
11.598,190.67,10.11,71.13
11.677,189.52,10.06,71.14
11.754,190.45,10.13,71.16
11.829,190.87,10.03,71.11
11.909,191.03,10.11,71.14
11.985,191.32,10.12,71.19
12.063,190.46,10.11,71.17
12.141,190.37,10.15,71.13
12.219,191.07,10.18,71.18
12.295,190.43,10.15,71.17
12.374,191.42,10.11,71.13
12.451,190.53,10.12,71.15
12.529,191.18,10.14,71.19
12.605,191.13,10.08,71.16
12.687,190.55,10.10,71.15
12.761,191.17,10.11,71.15
12.836,190.32,10.09,71.16
12.916,190.89,10.06,71.13
12.995,190.38,10.07,71.12
13.071,190.17,10.10,71.14
13.150,191.55,10.15,71.17
13.227,191.26,10.17,71.19
13.304,190.59,10.20,71.18
13.380,191.21,10.23,71.19
13.461,190.53,10.08,71.14
13.535,190.50,10.17,71.18
13.612,190.96,10.17,71.18
13.692,190.31,10.17,71.16
13.767,190.94,10.25,71.17
13.845,190.42,10.14,71.15
13.923,189.88,10.13,71.11
13.999,190.77,10.22,71.15
14.077,190.98,10.12,71.15
14.152,190.99,10.11,71.13
14.227,190.28,10.11,71.15
14.307,190.83,10.12,71.15
14.385,191.29,10.13,71.15
14.465,190.19,10.07,71.14
14.542,190.54,10.08,71.13
14.620,190.70,10.09,71.14
14.701,190.64,10.12,71.15
14.774,190.86,10.05,71.13
14.851,190.35,10.10,71.15
14.929,191.23,10.22,71.22
15.007,190.53,10.09,71.14
15.085,190.22,10.12,71.12
15.162,191.25,10.13,71.15
15.239,190.83,10.10,71.17
15.316,190.70,10.12,71.15
15.394,190.70,10.12,71.15
15.473,190.60,10.09,71.14
15.549,190.62,10.09,71.12
15.628,191.29,10.04,71.15
15.707,191.05,10.03,71.13
15.783,189.96,9.98,71.10
15.861,190.82,10.11,71.16
15.963,190.32,10.02,71.09
16.036,190.88,10.01,71.12
16.114,190.53,10.00,71.12
16.192,190.88,10.11,71.15
16.268,190.74,10.14,71.14
16.346,190.75,10.07,71.13
16.425,190.75,10.07,71.13
16.504,191.05,10.06,71.14
16.579,190.40,10.02,71.12
16.657,190.39,10.06,71.11
16.734,189.93,10.12,71.13
16.816,190.44,10.09,71.13
16.892,190.76,10.06,71.11
16.968,190.09,10.13,71.13
17.046,190.45,10.09,71.12
17.123,190.45,10.09,71.12
17.199,190.28,10.19,71.16
17.281,190.49,10.20,71.15
17.359,189.93,10.06,71.11
17.433,190.52,10.17,71.13
17.510,190.54,10.15,71.16
17.590,190.66,10.06,71.12
17.666,190.42,10.04,71.09
17.742,190.38,10.05,71.10
17.820,190.49,10.10,71.14
17.896,191.75,9.99,71.13
17.976,190.22,10.07,71.13
18.054,190.67,10.15,71.14
18.132,190.85,10.14,71.17
18.210,190.18,10.05,71.11
18.289,190.93,10.04,71.12
18.365,190.12,9.96,71.07
18.442,190.36,10.10,71.12
18.524,190.87,10.06,71.11
18.598,190.21,9.99,71.09
18.676,190.47,10.03,71.09
18.753,190.36,9.99,71.10
18.830,190.26,10.03,71.11
18.910,190.40,10.07,71.10
18.987,190.01,10.01,71.10
19.064,190.76,10.04,71.09
19.141,190.29,10.09,71.13
19.221,190.23,10.04,71.13
19.301,190.40,10.05,71.11
19.377,190.51,10.05,71.13
19.454,190.61,10.13,71.13
19.532,189.90,10.02,71.09
19.610,190.79,10.06,71.15
19.687,190.81,10.09,71.13
19.763,190.42,10.05,71.13
19.843,190.31,10.03,71.10
19.921,190.85,10.05,71.11
19.997,190.28,10.12,71.12
20.079,190.89,10.08,71.14
20.157,190.92,10.15,71.16
20.234,191.11,10.15,71.17
20.310,190.27,10.20,71.15
20.386,189.65,10.07,71.11
20.465,191.07,10.15,71.14
20.544,190.53,10.11,71.13
20.621,190.73,10.08,71.11
20.700,191.43,10.19,71.17
20.778,190.84,10.18,71.15
20.855,190.03,10.08,71.14
20.931,191.14,10.11,71.14
21.009,190.92,10.16,71.15
21.087,191.07,10.08,71.13
21.164,190.76,10.05,71.13
21.241,190.84,10.16,71.17
21.320,190.69,10.16,71.15
21.397,190.93,10.15,71.15
21.477,191.38,10.10,71.14
21.555,190.90,10.11,71.13
21.633,191.24,10.10,71.16
21.709,190.32,10.06,71.13
21.785,190.49,10.03,71.10
21.863,190.59,10.09,71.14
21.941,190.55,10.16,71.14
22.018,190.79,10.09,71.13
22.095,190.76,10.12,71.17
22.172,190.31,10.13,71.11
22.249,190.96,10.16,71.17
22.327,190.16,10.13,71.11
22.403,190.89,10.18,71.14
22.482,190.83,10.13,71.15
22.560,190.33,10.12,71.13
22.635,190.39,10.15,71.14
22.714,190.13,10.12,71.13
22.790,190.43,10.14,71.13
22.868,190.35,10.13,71.14
22.947,190.59,10.13,71.13
23.024,190.62,10.14,71.13
23.103,189.45,10.13,71.12
23.182,190.36,10.11,71.10
23.259,189.98,10.08,71.08
23.337,190.76,10.16,71.16
23.412,191.29,10.15,71.17
23.489,190.14,10.18,71.15
23.553,190.48,10.19,71.14
23.631,189.85,10.13,71.10
23.707,191.05,10.16,71.15
23.787,191.32,10.19,71.16
23.864,190.55,10.19,71.18
23.942,190.41,10.08,71.12
24.020,190.78,10.08,71.10
24.101,189.66,10.15,71.13
24.176,190.83,10.19,71.15
24.254,190.42,10.07,71.10
24.329,190.43,10.09,71.13
24.407,190.95,10.13,71.12
24.484,190.19,10.10,71.13
24.564,190.33,10.11,71.13
24.641,190.65,10.08,71.10
24.719,190.44,10.11,71.15
24.798,190.41,10.10,71.12
24.877,190.99,10.14,71.17
24.955,190.51,10.21,71.16
25.032,191.07,10.14,71.14
25.117,190.35,10.17,71.15
25.194,191.05,10.18,71.15
25.267,190.85,10.12,71.10
25.352,190.16,10.14,71.13
25.434,190.16,10.14,71.13
25.521,189.81,10.08,71.11
25.600,190.62,10.15,71.13
25.675,190.28,10.07,71.12
25.757,190.68,10.15,71.15
25.834,190.11,10.09,71.11
25.918,189.61,10.08,71.10
26.004,190.45,10.00,71.08
26.098,190.75,10.07,71.14
26.206,190.76,10.10,71.13
26.304,190.84,10.18,71.20
26.395,190.72,10.06,71.08
26.474,190.54,10.11,71.12
26.553,190.84,10.14,71.16
26.623,189.90,10.09,71.12
26.706,190.20,10.07,71.09
26.786,190.08,10.13,71.11
26.861,190.44,10.13,71.14
26.941,190.57,10.11,71.14
27.017,190.90,10.14,71.16
27.100,190.43,10.11,71.13
27.174,190.20,10.15,71.12
27.250,190.04,10.06,71.10
27.331,190.31,10.13,71.17
27.409,190.87,10.09,71.13
27.485,190.15,10.07,71.10
27.556,190.01,10.03,71.12
27.637,190.79,10.09,71.12
27.726,190.52,10.11,71.17
27.806,190.67,10.04,71.12
27.886,191.17,10.10,71.14
27.970,190.43,10.05,71.08
28.050,189.98,10.00,71.06
28.129,190.29,10.12,71.12
28.209,190.09,10.11,71.11
28.298,189.92,10.01,71.09
28.363,190.42,10.08,71.14
28.440,190.68,10.06,71.11
28.521,189.59,10.07,71.11
28.607,189.81,10.07,71.12
28.714,189.41,10.03,71.03
28.818,189.88,10.04,71.09
28.899,190.17,10.07,71.09
28.991,191.36,10.15,71.16
29.082,190.17,10.13,71.13
29.158,190.53,10.04,71.10
29.234,189.96,10.00,71.07
29.314,190.48,9.92,71.06
29.403,190.72,10.00,71.10
29.493,190.29,10.01,71.09
29.573,189.84,10.04,71.07
29.650,190.63,10.02,71.12
29.743,189.84,9.99,71.08
29.857,190.20,9.94,71.05
29.944,190.54,10.03,71.11
30.034,190.88,10.05,71.11
30.111,189.68,10.01,71.08
30.190,189.39,10.07,71.10
30.265,189.82,10.06,71.10
30.344,190.50,10.05,71.12
30.420,190.39,10.04,71.08
30.498,190.33,10.10,71.12
30.579,189.98,10.03,71.10
30.657,190.60,10.06,71.11
30.733,190.79,10.08,71.14
30.811,190.07,10.09,71.13
30.891,190.54,10.11,71.11
30.965,190.55,9.98,71.10
31.044,190.09,10.10,71.10
31.125,190.60,10.11,71.11
31.199,190.00,10.10,71.09
31.278,190.18,10.06,71.12
31.358,190.87,10.06,71.10
31.436,190.23,9.99,71.09
31.513,190.06,10.01,71.05
31.591,190.06,10.01,71.05
31.667,190.11,10.04,71.07
31.745,189.53,10.03,71.06
31.826,190.22,10.06,71.10
31.902,190.58,10.03,71.07
31.979,190.75,10.10,71.09
32.057,190.08,10.12,71.13
32.132,190.34,10.11,71.12
32.211,189.78,10.11,71.10
32.287,189.78,10.11,71.10
32.367,190.07,10.06,71.07
32.442,190.31,10.00,71.06
32.522,190.00,10.11,71.08
32.598,189.50,9.96,71.03
32.676,190.11,10.08,71.12
32.752,190.46,10.12,71.10
32.830,190.20,10.12,71.10
32.911,190.42,10.07,71.09
32.989,190.44,10.14,71.11
33.064,189.75,10.12,71.10
33.147,190.20,10.09,71.07
33.222,190.60,10.01,71.06
33.301,189.63,10.04,71.07
33.380,190.80,10.12,71.12
33.457,190.65,10.15,71.12
33.534,189.94,10.08,71.09
33.613,189.59,10.06,71.06
33.690,190.15,10.02,71.09
33.769,190.52,10.08,71.09
33.840,190.58,10.07,71.10
33.909,190.06,10.19,71.13
33.988,190.31,10.11,71.08
34.066,189.73,10.11,71.09
34.141,189.13,10.07,71.03
34.220,190.83,10.03,71.06
34.295,189.49,10.01,71.05
34.372,189.57,10.06,71.07
34.452,189.64,9.97,71.02
34.529,190.55,10.07,71.10
34.605,189.92,10.07,71.09
34.684,190.25,10.11,71.10
34.760,190.13,10.07,71.08
34.840,190.14,10.04,71.05
34.918,189.99,10.07,71.09
34.993,190.84,10.09,71.10
35.071,190.26,10.10,71.07
35.148,190.44,10.18,71.12
35.223,189.99,10.13,71.08
35.302,190.11,10.09,71.09
35.379,189.93,10.04,71.06
35.458,190.45,10.12,71.08
35.534,189.71,10.16,71.10
35.611,190.07,10.11,71.07
35.689,189.91,10.12,71.09
35.768,190.23,10.02,71.06
35.851,189.54,10.02,71.06
35.923,190.28,10.09,71.12
35.999,190.00,10.07,71.06
36.078,189.78,10.13,71.09
36.155,190.01,10.04,71.07
36.233,190.16,10.11,71.07
36.307,190.64,10.06,71.08
36.386,190.70,10.16,71.14
36.465,189.72,10.06,71.05
36.542,190.66,10.08,71.09
36.618,189.64,10.12,71.08
36.695,190.88,10.10,71.10
36.773,189.59,10.11,71.08
36.853,190.05,10.20,71.11
36.928,190.16,10.12,71.08
37.008,190.82,10.11,71.12
37.084,190.36,10.09,71.09
37.162,190.73,10.16,71.10
37.239,189.72,10.10,71.09
37.319,189.76,10.03,71.05
37.397,190.35,10.10,71.10
37.476,190.05,10.16,71.11
37.540,190.58,10.10,71.08
37.618,190.35,10.16,71.12
37.694,190.25,10.16,71.09
37.773,190.93,10.19,71.12
37.858,189.84,10.05,71.07
37.949,190.59,10.15,71.10
38.024,190.47,10.07,71.07
38.099,190.25,10.08,71.08
38.179,190.35,10.16,71.11
38.255,190.00,10.12,71.10
38.333,190.18,10.15,71.10
38.407,190.28,10.06,71.07
38.487,189.93,10.08,71.07
38.566,190.54,10.19,71.14
38.642,189.51,10.09,71.07
38.718,190.75,10.10,71.10
38.794,190.27,10.09,71.10
38.870,190.39,10.12,71.13
38.934,190.76,10.08,71.10
39.013,190.32,10.11,71.10
39.091,190.14,10.06,71.10
39.168,190.48,10.09,71.08
39.245,190.75,10.12,71.13
39.323,189.40,10.12,71.07
39.400,190.44,10.08,71.08
39.477,190.64,10.03,71.10
39.556,190.14,10.11,71.08
39.633,190.29,10.08,71.11
39.711,189.49,10.06,71.05
39.788,190.52,10.05,71.09
39.866,190.09,10.03,71.07
39.944,190.00,10.08,71.08
40.021,189.91,10.04,71.04
40.098,189.70,10.07,71.10
40.174,190.99,10.07,71.10
40.252,189.73,10.07,71.09
40.328,189.65,10.05,71.07
40.404,190.28,10.06,71.05
40.483,190.02,10.12,71.10
40.560,190.67,10.08,71.12
40.638,190.57,10.07,71.10
40.714,190.26,10.11,71.13
40.790,190.86,10.08,71.10
40.869,189.74,10.13,71.10
40.949,190.07,10.08,71.09
41.025,190.70,10.14,71.13
41.105,189.89,10.06,71.11
41.184,190.53,10.07,71.10
41.260,190.65,10.06,71.10
41.339,189.62,10.04,71.08
41.416,189.99,10.13,71.12
41.491,190.23,10.08,71.09
41.554,189.52,10.10,71.09
41.631,189.52,10.10,71.09
41.710,190.34,10.06,71.07
41.787,190.04,10.04,71.08
41.862,190.22,10.07,71.06
41.940,190.58,10.09,71.11
42.021,190.07,10.08,71.10
42.096,190.32,10.11,71.10
42.174,190.44,10.08,71.13
42.253,189.44,10.07,71.07
42.331,190.27,10.09,71.08
42.407,190.59,10.01,71.08
42.485,190.87,10.02,71.08
42.563,190.33,10.00,71.08
42.643,189.52,10.08,71.08
42.720,190.33,10.09,71.10
42.794,190.10,10.06,71.07
42.873,190.77,10.19,71.12
42.952,190.13,10.12,71.10
43.029,190.07,10.14,71.10
43.106,190.04,10.16,71.12
43.188,190.03,10.08,71.09
43.263,190.08,10.14,71.09
43.341,190.68,10.17,71.11
43.420,190.07,10.10,71.12
43.497,189.80,10.08,71.04
43.575,190.03,10.03,71.07
43.660,189.26,10.14,71.10
43.736,190.28,10.10,71.10
43.814,190.37,10.12,71.11
43.892,190.48,10.17,71.11
43.967,190.35,10.08,71.07
44.044,189.96,10.07,71.09
44.122,190.36,10.15,71.12
44.199,189.89,10.14,71.10
44.277,190.49,10.02,71.07
44.355,190.02,10.07,71.07
44.428,189.69,10.12,71.09
44.512,189.73,10.11,71.08
44.600,190.30,10.13,71.08
44.681,189.91,10.07,71.08
