time_s,H,S,V
0.053,189.52,10.42,77.24
0.107,188.02,10.48,77.20
0.162,187.88,10.49,77.18
0.219,187.69,10.63,77.19
0.272,186.75,10.54,77.14
0.324,188.02,10.61,77.19
0.376,188.47,10.60,77.19
0.423,188.11,10.59,77.19
0.474,189.07,10.63,77.21
0.524,188.42,10.62,77.16
0.577,188.52,10.48,77.13
0.627,187.90,10.62,77.10
0.681,188.80,10.66,77.19
0.731,188.18,10.57,77.13
0.787,189.18,10.70,77.16
0.843,187.53,10.53,77.09
0.891,188.65,10.48,77.09
0.942,188.10,10.65,77.16
0.994,188.71,10.69,77.17
1.045,189.42,10.54,77.14
1.100,188.29,10.56,77.14
1.155,188.82,10.49,77.14
1.214,187.79,10.61,77.12
1.287,187.85,10.53,77.12
1.354,189.79,10.56,77.15
1.406,189.07,10.48,77.11
1.459,189.07,10.48,77.11
1.510,188.97,10.57,77.17
1.560,188.36,10.61,77.13
1.613,187.57,10.39,77.04
1.662,187.47,10.65,77.15
1.712,188.19,10.49,77.13
1.763,186.37,10.51,77.10
1.814,186.37,10.51,77.10
1.864,188.88,10.51,77.12
1.917,187.63,10.44,77.09
1.967,188.27,10.61,77.18
2.020,188.27,10.63,77.19
2.071,188.89,10.52,77.14
2.123,187.90,10.49,77.13
2.171,188.49,10.53,77.16
2.224,186.96,10.54,77.11
2.279,187.80,10.61,77.16
2.329,189.28,10.60,77.18
2.384,187.52,10.51,77.12
2.434,189.38,10.57,77.23
2.486,188.02,10.56,77.21
2.535,189.72,10.50,77.17
2.584,188.95,10.54,77.23
2.633,189.35,10.52,77.17
2.685,189.11,10.65,77.22
2.741,189.29,10.48,77.19
2.794,187.71,10.57,77.21
2.846,186.70,10.62,77.18
2.900,187.85,10.54,77.18
2.953,186.85,10.58,77.14
3.003,187.55,10.57,77.20
3.057,187.78,10.43,77.15
3.109,187.86,10.47,77.17
3.164,187.86,10.47,77.17
3.213,187.97,10.59,77.20
3.263,188.37,10.56,77.20
3.318,188.03,10.53,77.15
3.366,190.38,10.65,77.24
3.416,188.51,10.53,77.16
3.468,188.99,10.53,77.16
3.521,188.92,10.64,77.17
3.572,188.10,10.57,77.15
3.623,189.44,10.65,77.19
3.674,187.43,10.46,77.07
3.726,188.51,10.52,77.14
3.776,187.11,10.49,77.04
3.829,188.60,10.67,77.19
3.885,187.98,10.49,77.10
3.937,187.93,10.54,77.11
3.988,187.05,10.54,77.11
4.041,188.29,10.55,77.17
4.089,188.74,10.52,77.13
4.141,188.89,10.46,77.17
4.190,188.46,10.51,77.10
4.241,188.80,10.49,77.12
4.291,188.14,10.54,77.13
4.344,189.16,10.57,77.19
4.394,188.43,10.57,77.19
4.445,188.19,10.47,77.10
4.496,186.66,10.64,77.17
4.547,188.03,10.46,77.13
4.598,189.11,10.47,77.15
4.654,188.84,10.57,77.19
4.706,188.14,10.41,77.13
4.757,186.74,10.56,77.12
4.807,187.80,10.50,77.17
4.855,188.70,10.57,77.19
4.906,187.98,10.52,77.15
4.966,188.30,10.45,77.13
5.021,188.00,10.40,77.08
5.072,187.75,10.44,77.12
5.124,187.69,10.41,77.09
5.175,188.31,10.58,77.14
5.226,188.29,10.51,77.14
5.276,188.78,10.54,77.17
5.327,188.26,10.50,77.11
5.376,189.32,10.51,77.16
5.428,189.43,10.59,77.14
5.481,187.30,10.62,77.13
5.532,187.31,10.50,77.14
5.582,189.08,10.49,77.11
5.632,186.65,10.55,77.13
5.685,188.91,10.48,77.13
5.734,187.82,10.48,77.13
5.787,188.34,10.44,77.12
5.837,188.04,10.49,77.13
5.890,187.86,10.45,77.09
5.943,188.13,10.40,77.14
5.996,187.74,10.47,77.15
6.045,187.21,10.47,77.15
6.099,188.64,10.46,77.17
6.149,186.50,10.50,77.15
6.199,187.50,10.44,77.21
6.250,187.50,10.44,77.21
6.302,188.95,10.51,77.23
6.353,188.50,10.46,77.22
6.403,189.52,10.49,77.27
6.458,187.32,10.35,77.22
6.509,187.81,10.39,77.24
6.564,189.11,10.42,77.23
6.628,188.83,10.34,77.19
6.692,189.65,10.46,77.31
6.742,188.61,10.49,77.30
6.796,188.24,10.38,77.28
6.846,189.11,10.41,77.27
6.901,187.33,10.48,77.30
6.953,188.14,10.46,77.27
7.003,188.18,10.40,77.28
7.059,188.15,10.44,77.23
7.110,187.98,10.41,77.23
7.161,188.08,10.44,77.21
7.209,188.36,10.38,77.20
7.264,188.59,10.45,77.21
7.320,188.83,10.51,77.22
7.372,188.04,10.43,77.18
7.443,187.49,10.42,77.18
7.496,188.92,10.37,77.13
7.543,187.61,10.52,77.18
7.598,188.31,10.60,77.18
7.650,188.31,10.60,77.18
7.710,188.23,10.34,77.09
7.763,188.40,10.55,77.14
7.811,188.68,10.58,77.19
7.864,187.78,10.49,77.16
7.912,188.00,10.52,77.13
7.963,188.97,10.43,77.14
8.012,188.56,10.48,77.09
8.063,187.94,10.56,77.13
8.114,187.99,10.52,77.14
8.167,188.03,10.51,77.09
8.223,188.40,10.43,77.08
8.276,187.55,10.44,77.09
8.329,186.99,10.42,77.04
8.378,188.39,10.43,77.09
8.429,189.20,10.45,77.10
8.477,187.38,10.52,77.09
8.529,187.72,10.48,77.09
8.577,188.03,10.59,77.15
8.627,188.14,10.40,77.07
8.678,188.50,10.46,77.13
8.730,188.93,10.60,77.17
8.780,187.89,10.55,77.14
8.835,188.74,10.45,77.16
8.886,188.12,10.44,77.13
8.935,188.21,10.43,77.16
8.987,188.68,10.42,77.18
9.036,187.05,10.54,77.18
9.086,188.39,10.44,77.19
9.138,187.83,10.46,77.14
9.189,189.02,10.49,77.21
9.240,187.65,10.43,77.14
9.289,188.76,10.51,77.16
9.341,188.19,10.38,77.08
9.394,188.08,10.40,77.12
9.445,187.05,10.44,77.04
9.499,188.71,10.53,77.13
9.554,190.12,10.64,77.14
9.604,187.61,10.51,77.10
9.659,188.08,10.40,77.05
9.710,187.84,10.61,77.08
9.760,188.87,10.60,77.17
9.812,188.46,10.48,77.08
9.864,189.57,10.60,77.14
9.919,188.88,10.56,77.14
9.969,189.09,10.48,77.09
10.021,187.48,10.58,77.07
10.076,188.50,10.51,77.07
10.127,188.39,10.59,77.08
10.177,186.87,10.60,77.06
10.231,187.75,10.61,77.09
10.286,188.34,10.64,77.09
10.335,188.72,10.65,77.12
