time_s,H,S,V
0.039,188.86,10.42,70.85
0.119,187.56,10.35,70.76
0.211,189.04,10.32,70.81
0.289,188.20,10.26,70.78
0.380,188.59,10.37,70.83
0.457,189.22,10.39,70.84
0.551,187.86,10.44,70.83
0.646,188.69,10.32,70.79
0.736,189.13,10.29,70.77
0.829,188.85,10.34,70.83
0.924,189.37,10.31,70.80
1.003,187.80,10.30,70.79
1.094,188.46,10.31,70.82
1.172,188.57,10.36,70.82
1.235,188.43,10.30,70.80
1.329,188.89,10.33,70.80
1.405,188.61,10.32,70.81
1.483,188.58,10.32,70.81
1.576,187.72,10.43,70.83
1.669,187.75,10.36,70.82
1.762,188.02,10.28,70.80
1.842,188.76,10.23,70.77
1.934,188.13,10.32,70.82
2.027,188.55,10.32,70.83
2.104,188.50,10.32,70.81
2.182,187.83,10.29,70.79
2.275,188.32,10.30,70.79
2.353,188.23,10.38,70.82
2.432,188.03,10.33,70.79
2.525,188.57,10.30,70.79
2.617,188.19,10.32,70.80
2.710,188.64,10.39,70.82
2.803,188.21,10.39,70.82
2.897,187.85,10.31,70.79
2.974,188.92,10.37,70.81
3.054,188.53,10.31,70.83
3.146,188.39,10.34,70.82
3.237,189.18,10.42,70.84
3.314,188.01,10.37,70.82
3.395,188.66,10.43,70.83
3.487,188.13,10.33,70.78
3.580,188.62,10.38,70.82
3.658,188.73,10.29,70.79
3.750,187.89,10.32,70.79
3.844,188.99,10.34,70.81
3.938,187.98,10.32,70.81
4.031,188.33,10.31,70.80
4.124,188.76,10.31,70.79
4.217,188.27,10.38,70.81
4.311,188.84,10.39,70.82
4.404,188.76,10.41,70.84
4.497,188.04,10.35,70.82
4.590,188.02,10.28,70.76
4.667,187.97,10.34,70.83
4.760,188.95,10.35,70.81
4.838,188.22,10.27,70.77
4.931,188.61,10.34,70.82
5.024,188.76,10.31,70.78
5.100,188.68,10.35,70.83
5.195,188.37,10.36,70.82
5.285,188.44,10.30,70.79
5.380,188.53,10.39,70.84
5.473,188.81,10.34,70.82
5.566,188.39,10.32,70.78
5.644,188.98,10.33,70.79
5.737,189.16,10.39,70.84
5.829,188.28,10.31,70.80
5.908,188.81,10.33,70.80
5.987,188.05,10.36,70.80
6.081,188.77,10.34,70.81
6.174,188.92,10.43,70.81
6.266,189.17,10.38,70.81
6.359,188.45,10.41,70.83
6.451,188.65,10.39,70.82
6.543,188.70,10.37,70.82
6.623,188.00,10.32,70.79
6.700,188.61,10.43,70.82
6.794,188.99,10.41,70.81
6.886,188.98,10.39,70.83
6.979,188.61,10.38,70.82
7.060,187.99,10.39,70.83
7.152,189.04,10.41,70.84
7.244,187.99,10.36,70.80
7.323,188.74,10.39,70.84
7.417,188.07,10.33,70.78
7.509,187.91,10.47,70.83
7.587,188.74,10.33,70.79
7.678,188.43,10.32,70.80
7.771,188.37,10.34,70.80
7.850,188.81,10.42,70.82
7.927,188.64,10.43,70.83
8.021,188.67,10.37,70.82
8.112,188.68,10.39,70.81
8.188,188.34,10.46,70.85
8.282,188.63,10.41,70.80
8.365,189.00,10.50,70.86
8.457,188.75,10.48,70.86
8.550,188.65,10.32,70.79
8.642,188.80,10.44,70.87
8.735,189.13,10.45,70.82
8.829,188.34,10.34,70.78
8.907,188.29,10.38,70.80
9.000,188.57,10.48,70.82
9.092,188.66,10.47,70.84
9.169,189.43,10.47,70.85
9.264,189.56,10.44,70.85
9.353,188.13,10.43,70.78
9.446,188.57,10.39,70.78
9.524,187.64,10.42,70.81
9.615,188.80,10.41,70.81
9.709,188.63,10.42,70.81
9.803,188.06,10.39,70.80
9.895,188.70,10.40,70.78
9.974,188.54,10.38,70.81
10.067,188.76,10.47,70.82
10.144,188.56,10.42,70.81
10.223,188.54,10.48,70.84
10.299,188.29,10.43,70.81
10.377,188.97,10.38,70.81
10.471,188.26,10.41,70.80
10.564,188.61,10.44,70.82
10.643,188.13,10.43,70.82
10.736,188.80,10.40,70.84
10.828,189.03,10.37,70.82
10.892,188.97,10.35,70.83
10.967,188.79,10.40,70.80
11.030,188.90,10.38,70.80
11.107,188.42,10.37,70.83
11.170,188.53,10.38,70.82
11.265,188.68,10.39,70.81
11.358,187.96,10.40,70.80
11.449,188.94,10.37,70.81
11.528,189.13,10.43,70.85
11.605,188.46,10.37,70.81
11.698,188.06,10.30,70.76
