time_s,H,S,V
0.063,81.34,40.81,16.49
0.114,78.11,41.52,16.56
0.163,80.01,41.94,16.58
0.212,80.62,41.95,16.56
0.261,78.63,42.49,16.59
0.310,77.78,41.48,16.59
0.361,80.07,40.51,16.53
0.411,78.43,42.20,16.54
0.460,77.19,41.85,16.56
0.512,80.38,40.66,16.55
0.561,79.65,41.32,16.58
0.610,79.81,41.02,16.59
0.660,78.51,40.46,16.55
0.710,79.40,41.38,16.51
0.760,77.80,42.32,16.56
0.806,81.39,41.50,16.56
0.856,81.86,41.35,16.57
0.905,79.98,42.41,16.58
0.954,79.67,42.54,16.55
1.005,78.66,42.44,16.59
1.059,75.36,41.51,16.55
1.108,79.14,41.39,16.53
1.158,78.29,42.18,16.57
1.230,77.24,42.43,16.60
1.286,77.43,41.87,16.53
1.356,78.26,42.22,16.62
1.432,79.18,42.24,16.56
1.484,77.03,43.22,16.60
1.544,77.72,42.21,16.60
1.595,78.40,42.55,16.65
1.644,77.26,43.04,16.71
1.694,76.08,43.00,16.71
1.742,77.85,42.74,16.74
1.791,80.46,42.16,16.74
1.842,81.39,42.13,16.78
1.895,79.20,42.22,16.78
1.943,78.26,43.58,16.85
1.992,79.76,41.56,16.77
2.044,79.97,42.84,16.83
2.096,82.55,42.36,16.83
2.144,80.06,42.55,16.80
2.193,78.13,42.28,16.83
2.239,80.26,42.94,16.79
2.288,79.03,42.71,16.83
2.338,80.19,42.00,16.80
2.394,79.53,42.70,16.85
2.443,82.01,42.48,16.81
2.497,78.75,42.40,16.81
2.546,78.71,42.20,16.79
2.597,82.11,42.22,16.83
2.647,81.22,41.99,16.81
2.694,78.38,41.65,16.78
2.746,83.19,41.38,16.82
2.795,79.95,41.88,16.88
2.844,81.23,42.76,16.90
2.892,81.23,42.76,16.90
2.944,82.27,41.95,16.85
2.997,80.75,41.94,16.82
3.045,77.51,41.77,16.82
3.091,80.42,41.61,16.80
3.139,82.03,42.31,16.86
3.191,79.53,41.74,16.79
3.239,79.56,41.95,16.81
3.290,80.71,43.30,16.82
3.337,81.22,42.30,16.83
3.384,78.74,43.47,16.87
3.434,78.14,42.53,16.86
3.481,78.56,43.28,16.87
3.531,81.67,42.44,16.87
3.592,80.36,42.18,16.85
3.644,78.87,43.66,16.85
3.692,79.69,43.11,16.87
3.740,80.27,42.53,16.90
3.789,79.80,42.77,16.89
3.837,77.63,43.84,16.91
3.887,82.59,42.63,16.83
3.935,80.44,41.36,16.83
3.984,80.67,41.77,16.85
4.034,81.59,42.48,16.91
4.081,80.02,42.02,16.83
4.129,80.45,42.77,16.87
4.177,79.92,42.40,16.83
4.228,79.94,42.77,16.89
4.279,80.10,42.65,16.90
4.327,80.24,42.06,16.84
4.381,78.20,43.34,16.87
4.437,79.82,42.35,16.88
4.487,81.94,42.50,16.88
4.535,79.69,42.94,16.96
4.584,75.94,43.74,16.95
4.633,78.99,44.18,16.94
4.682,77.08,42.73,16.87
4.732,77.99,42.90,16.90
4.781,79.75,43.05,16.88
4.830,79.84,42.92,16.85
4.879,78.72,42.10,16.85
4.926,78.83,44.37,16.89
4.976,78.27,43.02,16.87
5.028,79.86,42.89,16.87
5.077,80.90,42.44,16.92
5.128,81.92,42.41,16.92
5.174,82.00,42.78,16.91
5.223,78.94,42.68,16.93
5.272,78.30,43.40,16.91
5.321,81.22,43.24,16.85
5.370,80.04,44.23,16.92
5.418,78.39,44.77,16.96
5.469,79.19,43.48,16.94
5.517,81.61,43.74,16.89
5.565,79.78,42.49,16.88
5.613,78.83,44.14,16.94
5.660,79.88,43.81,16.96
5.707,79.13,43.92,16.92
5.756,79.75,43.76,16.89
5.805,79.74,43.66,16.92
5.854,80.27,43.05,16.91
5.904,76.45,43.12,16.97
5.955,80.05,43.44,16.93
6.007,80.05,43.44,16.93
6.063,77.81,43.93,16.93
6.112,79.21,42.46,16.92
6.161,79.75,44.00,16.98
6.212,78.19,43.75,16.97
6.264,79.95,43.33,16.96
6.314,78.92,43.53,16.96
6.361,78.92,43.53,16.96
6.409,79.66,44.51,17.01
6.457,78.62,43.58,17.02
6.506,79.99,43.92,16.96
6.558,77.72,44.45,17.03
6.609,80.17,43.54,17.02
6.662,78.76,43.82,16.98
6.714,77.57,44.58,17.03
6.761,81.42,43.74,16.97
6.809,81.02,43.96,16.99
6.862,78.90,44.29,17.01
6.911,81.63,43.73,16.99
6.961,80.87,43.39,16.98
7.010,80.38,43.60,17.01
7.061,80.65,43.51,16.94
7.111,80.94,43.30,17.01
7.163,77.85,44.30,17.06
7.212,81.56,43.17,16.95
7.264,77.19,44.65,17.06
7.312,80.09,44.02,17.01
7.363,79.82,43.73,17.00
7.412,79.99,43.18,16.96
7.462,78.67,43.91,17.02
7.512,80.54,44.38,16.98
7.561,78.43,43.82,17.01
7.608,78.40,43.40,16.99
7.661,81.13,44.36,17.05
7.709,77.94,44.18,17.00
7.760,78.32,44.05,16.98
7.807,80.39,42.96,17.03
7.857,78.97,44.15,17.03
7.906,76.75,44.90,17.02
7.960,79.21,44.56,17.00
8.018,78.19,42.50,16.99
8.071,78.68,43.97,17.00
