time_s,H,S,V
0.020,232.62,51.25,11.77
0.139,233.50,51.22,11.77
0.233,233.08,50.59,11.78
0.311,233.75,50.74,11.76
0.403,233.57,50.88,11.75
0.495,233.88,51.17,11.80
0.588,230.82,50.89,11.78
0.684,232.46,50.40,11.77
0.775,233.25,50.50,11.78
0.855,233.90,51.27,11.77
0.950,234.15,50.70,11.78
1.042,234.41,50.90,11.79
1.134,234.55,50.77,11.75
1.227,234.08,51.11,11.78
1.320,233.07,50.94,11.78
1.411,235.35,51.04,11.79
1.488,234.20,51.27,11.78
1.566,232.85,51.37,11.78
1.644,234.04,51.65,11.78
1.720,235.10,51.20,11.79
1.796,234.16,51.19,11.78
1.875,234.45,51.21,11.77
1.951,235.83,51.21,11.77
2.046,236.89,51.16,11.76
2.122,233.60,51.30,11.75
2.203,234.30,51.58,11.76
2.296,234.67,51.49,11.77
2.389,237.08,51.64,11.76
2.483,236.76,51.19,11.76
2.576,235.12,51.33,11.75
2.667,235.05,51.20,11.74
2.745,235.18,51.29,11.74
2.839,235.33,51.30,11.75
2.934,234.31,51.41,11.76
3.030,237.32,51.70,11.78
3.122,235.52,51.07,11.75
3.213,236.55,51.75,11.77
3.295,235.90,51.57,11.76
3.388,235.12,51.53,11.76
3.479,235.69,51.43,11.78
3.573,235.78,51.62,11.78
3.666,236.19,51.06,11.76
3.759,235.20,51.12,11.75
3.855,235.75,51.30,11.76
3.945,234.84,51.36,11.76
4.039,236.37,51.53,11.77
4.130,235.89,51.85,11.78
4.225,234.52,50.90,11.74
4.318,233.80,51.10,11.75
4.413,235.80,51.29,11.78
4.505,234.57,51.68,11.77
4.599,235.30,51.69,11.76
4.692,234.53,51.81,11.78
4.770,236.03,51.23,11.75
4.863,235.60,51.78,11.77
4.956,233.96,51.67,11.78
5.050,235.34,51.29,11.79
5.142,234.75,50.88,11.77
5.233,233.41,51.52,11.78
5.326,234.60,50.69,11.78
5.417,235.16,51.16,11.78
5.483,235.31,51.55,11.78
5.562,233.34,51.02,11.78
5.656,232.04,50.69,11.78
5.750,232.52,50.62,11.80
5.841,231.27,51.28,11.80
5.935,232.62,50.78,11.80
6.026,234.94,50.86,11.80
6.115,233.71,50.67,11.82
6.210,230.83,50.28,11.78
