time_s,H,S,V
0.055,108.28,73.82,18.34
0.107,111.08,74.54,18.32
0.159,108.72,73.80,18.17
0.209,110.12,73.76,18.15
0.261,112.36,73.57,18.20
0.312,119.53,73.96,18.10
0.369,124.99,72.59,17.64
0.421,134.06,71.68,17.44
0.473,141.48,71.02,17.16
0.531,147.62,70.20,16.96
0.583,147.37,69.86,16.75
0.634,152.49,69.64,16.64
0.685,163.87,67.41,16.07
0.735,168.81,67.61,16.12
0.792,164.22,68.05,16.13
0.841,162.88,67.42,16.13
0.894,166.06,67.33,16.08
0.947,143.46,70.20,16.82
1.002,138.33,70.72,17.05
1.059,131.91,71.50,17.39
1.111,127.57,72.95,17.74
1.161,116.09,74.16,18.10
1.211,109.38,75.16,18.52
1.263,115.33,74.92,18.54
1.313,108.12,75.02,18.56
1.365,100.61,75.40,18.62
1.416,110.04,74.87,18.53
1.467,102.28,75.16,18.64
1.519,90.68,74.98,18.80
1.571,77.74,74.81,18.89
1.624,79.41,75.15,18.92
1.672,79.19,75.01,18.96
1.720,80.44,75.18,18.97
1.770,77.80,75.30,19.03
1.823,76.18,75.07,19.11
1.876,76.64,74.87,19.13
1.931,81.83,75.09,19.17
1.985,73.67,74.94,19.14
2.038,67.00,75.04,19.15
2.089,74.17,75.27,19.10
2.139,84.28,75.23,19.07
2.190,87.05,75.36,19.09
2.242,73.87,75.57,19.11
2.293,78.44,75.27,19.14
2.346,84.48,75.74,19.14
2.397,73.41,74.90,19.05
2.450,73.41,74.90,19.05
2.505,82.51,74.94,19.03
2.559,75.61,75.08,19.09
2.612,77.89,75.56,19.15
2.664,74.98,75.13,19.13
2.720,77.32,75.38,19.18
2.774,83.28,75.42,19.15
2.828,82.87,74.66,19.11
2.877,69.58,74.90,19.09
2.930,72.29,75.19,19.16
2.982,73.17,75.00,19.17
3.031,65.46,75.18,19.21
3.081,64.24,74.81,19.23
3.130,66.66,75.08,19.24
3.180,63.01,74.98,19.18
3.228,72.84,75.28,19.23
3.278,64.11,75.34,19.27
3.330,62.49,75.51,19.33
3.382,60.48,75.07,19.21
3.434,61.70,75.03,19.31
3.484,65.60,75.37,19.21
3.535,68.51,74.81,19.23
3.589,66.66,75.36,19.26
3.642,62.02,75.26,19.31
3.694,71.84,74.94,19.18
3.755,72.86,75.42,19.20
3.802,72.86,75.42,19.20
3.855,72.59,75.23,19.20
3.906,70.12,75.14,19.21
3.959,71.76,74.98,19.21
4.013,68.65,75.06,19.22
4.061,70.34,75.15,19.31
4.113,67.82,75.41,19.31
4.163,68.53,75.94,19.31
4.215,71.53,75.59,19.24
4.266,68.12,74.98,19.22
4.314,70.68,75.41,19.19
4.364,67.85,75.34,19.26
4.413,77.38,75.13,19.22
4.463,64.23,75.02,19.17
4.513,74.35,75.57,19.18
4.563,65.11,75.53,19.27
4.613,63.01,75.54,19.30
4.664,74.21,75.77,19.22
4.714,75.37,75.57,19.22
4.763,68.90,75.60,19.29
4.814,70.19,75.65,19.31
4.863,76.56,75.31,19.26
4.914,76.44,75.16,19.23
4.966,71.54,75.28,19.28
5.018,69.93,75.02,19.18
5.068,77.86,75.44,19.23
5.121,73.68,74.76,19.18
5.172,73.75,75.49,19.25
5.224,66.40,75.72,19.33
5.276,76.99,75.58,19.36
5.331,69.70,75.33,19.28
5.386,75.92,75.59,19.29
5.443,68.08,75.41,19.35
5.497,74.59,75.47,19.35
5.553,79.64,75.62,19.33
5.604,57.93,75.29,19.35
5.656,60.06,75.23,19.37
5.707,65.30,75.55,19.35
5.760,69.93,75.41,19.34
5.811,68.59,75.48,19.36
5.860,73.32,75.21,19.30
5.911,84.79,75.52,19.25
5.961,75.87,75.26,19.25
6.015,78.77,75.45,19.28
6.074,72.95,75.51,19.36
6.127,74.20,75.38,19.35
6.181,70.44,75.48,19.28
6.230,72.07,75.26,19.37
6.284,77.26,75.75,19.31
6.338,73.01,75.83,19.33
6.392,78.76,75.72,19.35
6.446,81.33,75.56,19.40
6.498,81.42,75.83,19.35
6.551,68.83,75.35,19.29
6.603,78.56,75.80,19.40
6.654,76.15,75.68,19.36
6.706,81.68,75.76,19.37
6.760,75.83,76.14,19.37
