time_s,H,S,V
0.031,154.40,33.94,13.87
0.123,158.53,33.13,13.83
0.218,150.07,32.56,13.84
0.311,155.54,32.67,13.82
0.402,157.42,34.17,13.85
0.496,157.93,33.72,13.86
0.575,165.39,33.11,13.83
0.666,148.81,32.91,13.84
0.745,149.04,32.62,13.86
0.837,162.31,32.15,13.80
0.913,150.48,32.88,13.84
0.992,162.52,33.53,13.83
1.086,155.12,33.32,13.83
1.178,161.48,32.26,13.81
1.256,159.15,31.95,13.79
1.348,152.00,32.28,13.81
1.439,153.85,33.56,13.81
1.533,158.82,32.99,13.80
1.622,152.27,32.92,13.83
1.717,161.23,32.30,13.82
1.810,154.23,32.51,13.83
1.904,166.47,32.96,13.82
1.997,164.75,33.30,13.85
2.088,153.82,33.76,13.84
2.184,153.31,31.64,13.80
2.273,153.31,31.64,13.80
2.370,160.79,33.25,13.84
2.462,148.94,32.11,13.85
2.554,149.22,32.28,13.88
2.648,155.63,32.67,13.82
2.739,154.93,33.03,13.83
2.832,153.63,32.73,13.83
2.924,163.62,32.91,13.84
3.019,150.86,33.22,13.79
3.080,159.11,33.25,13.85
3.293,158.02,32.56,13.80
3.352,155.82,32.91,13.79
3.416,148.46,30.75,13.78
3.468,158.79,32.05,13.78
3.517,161.74,31.41,13.79
3.566,155.18,32.53,13.86
3.614,157.03,33.34,13.82
3.663,156.05,32.59,13.76
3.712,154.99,33.06,13.80
3.761,158.95,34.20,13.86
3.854,152.36,31.52,13.85
3.936,160.50,33.14,13.85
4.025,163.85,32.69,13.78
4.103,169.61,31.96,13.78
4.200,150.90,32.01,13.80
4.288,156.48,32.56,13.83
4.367,148.24,31.99,13.80
4.445,164.95,33.05,13.82
4.554,163.48,32.31,13.79
4.630,157.79,31.26,13.78
4.707,157.68,32.06,13.81
4.785,151.45,30.38,13.75
4.864,157.13,31.47,13.77
4.943,157.08,32.59,13.82
5.020,162.49,32.04,13.75
5.099,152.77,33.15,13.78
5.176,164.33,31.50,13.79
5.255,154.18,32.33,13.82
5.333,146.56,31.67,13.79
5.409,148.50,32.84,13.84
5.486,146.69,32.48,13.84
5.563,152.37,32.09,13.83
5.643,147.41,33.99,13.84
5.722,147.32,31.04,13.82
5.799,146.59,33.47,13.84
5.880,158.26,32.42,13.77
5.956,153.41,32.20,13.81
6.032,170.51,32.82,13.83
6.127,149.42,33.28,13.86
6.204,151.05,33.11,13.88
6.267,152.00,31.96,13.82
6.345,142.95,32.22,13.80
6.424,154.46,32.85,13.81
6.500,154.04,32.03,13.78
6.579,149.40,32.78,13.84
6.657,168.99,32.63,13.82
6.736,154.44,31.53,13.81
6.815,167.64,33.36,13.83
6.891,169.08,32.19,13.80
6.967,158.79,32.27,13.83
7.175,157.21,33.52,13.90
7.230,146.72,31.88,13.81
7.284,146.35,31.18,13.82
7.334,154.50,31.92,13.81
7.383,155.37,32.14,13.86
7.435,149.68,33.39,13.87
7.494,160.88,32.15,13.79
7.542,156.15,33.15,13.89
