time_s,H,S,V
0.037,112.77,10.98,58.16
0.115,111.16,10.95,58.12
0.192,112.23,11.05,58.13
0.269,112.10,10.99,58.16
0.348,112.64,11.02,58.21
0.423,111.47,10.92,58.20
0.502,110.89,10.94,58.33
0.579,111.13,11.07,58.36
0.641,111.49,11.06,58.34
0.720,112.06,10.79,58.32
0.798,111.35,10.99,58.35
0.878,112.56,10.97,58.43
0.954,111.65,10.91,58.41
1.032,110.65,10.96,58.44
1.110,111.44,10.92,58.45
1.188,111.19,10.89,58.43
1.265,111.30,10.88,58.49
1.343,111.63,10.86,58.49
1.421,112.11,11.00,58.55
1.499,112.41,10.89,58.55
1.576,111.39,10.93,58.49
1.638,112.74,10.83,58.53
1.715,111.82,10.86,58.52
1.792,110.58,10.89,58.49
1.870,111.31,10.87,58.49
1.948,110.86,10.93,58.50
2.024,111.20,10.91,58.54
2.114,111.48,10.89,58.52
2.201,111.73,10.83,58.50
2.291,111.09,10.96,58.53
2.365,112.50,10.85,58.53
2.445,111.97,10.93,58.51
2.521,110.82,10.86,58.49
2.599,110.82,10.86,58.49
2.677,111.75,10.86,58.49
2.754,111.07,10.94,58.51
2.832,111.99,10.84,58.50
2.909,111.99,10.84,58.50
2.988,111.80,10.89,58.50
3.064,111.43,10.93,58.52
3.143,111.95,10.89,58.50
3.221,110.81,10.80,58.47
3.298,112.71,10.84,58.51
3.379,110.70,10.90,58.49
3.453,111.44,10.88,58.49
3.532,111.24,10.93,58.51
3.609,111.24,10.93,58.51
3.686,111.02,10.98,58.49
3.763,110.87,10.85,58.49
3.843,112.08,10.85,58.46
3.919,110.46,11.00,58.50
3.997,110.60,10.98,58.46
4.074,110.96,10.90,58.48
4.152,111.58,10.97,58.51
4.230,111.37,11.05,58.50
4.306,111.26,10.98,58.51
4.383,111.45,10.86,58.46
4.462,111.59,10.78,58.48
4.527,111.35,10.86,58.49
4.600,109.67,10.97,58.48
4.678,110.61,10.95,58.48
4.756,111.80,10.89,58.47
4.830,111.43,10.93,58.46
4.910,109.71,11.02,58.50
4.986,111.07,10.85,58.47
5.063,110.17,10.97,58.44
5.141,111.89,10.92,58.48
5.217,110.79,10.96,58.49
5.296,111.20,11.02,58.46
5.370,110.53,10.90,58.46
